Name,Date,Competition,Round,VT,UB,BB,FX,AA
Simone Biles,2024-08-24,Olympic Games,TF,0,0,0,0,0
Skye Blakely,2024-08-24,Olympic Games,TF,0,0,0,0,0
Jordan Chiles,2024-08-24,Olympic Games,TF,0,0,0,0,0
Kayla DiCello,2024-08-24,Olympic Games,TF,0,0,0,0,0
Shilese Jones,2024-08-24,Olympic Games,TF,0,0,0,0,0
Zoe Miller,2024-08-24,Olympic Games,TF,0,0,0,0,0
Joscelyn Roberson,2024-08-24,Olympic Games,TF,0,0,0,0,0
Ashlee Sullivan,2024-08-24,Olympic Games,TF,0,0,0,0,0
Tiana Sumanasekera,2024-08-24,Olympic Games,TF,0,0,0,0,0
Leanne Wong,2024-08-24,Olympic Games,TF,0,0,0,0,0
Nola Matthews,2024-08-24,Olympic Games,TF,0,0,0,0,0
Sunisa Lee,2024-08-24,Olympic Games,TF,0,0,0,0,0
Jade Carey,2024-08-24,Olympic Games,TF,0,0,0,0,0
Katelyn Jong,2024-08-24,Olympic Games,TF,0,0,0,0,0
