Vendor	Cleanliness
1	682.2
1	695.7
1	737.1
1	679.5
1	686.9
1	683.7
1	666.3
1	692.7
1	670.8
1	700.1
1	667.4
1	697.7
1	739.9
1	701.0
1	748.3
1	701.1
1	673.5
1	694.9
1	647.8
1	712.3
2	678.5
2	678.6
2	685.4
2	666.0
2	668.2
2	688.4
2	679.4
2	691.8
2	689.4
2	680.8
2	694.7
2	661.1
2	693.6
2	681.3
2	690.8
2	666.4
2	689.0
2	685.0
2	690.3
2	676.7
3	664.3
3	663.7
3	694.6
3	714.1
3	670.6
3	672.6
3	675.1
3	662.6
3	715.7
3	664.8
3	651.8
3	666.1
3	631.8
3	692.1
3	677.5
3	623.1
3	683.3
3	668.2
3	671.2
3	628.3
4	643.4
4	646.1
4	635.2
4	643.9
4	640.8
4	644.8
4	643.0
4	638.1
4	645.1
4	647.3
4	645.1
4	645.6
4	643.1
4	643.5
4	641.8
4	640.8
4	639.0
4	645.3
4	643.0
4	638.9
5	642.7
5	531.5
5	606.9
5	654.1
5	561.8
5	604.1
5	529.9
5	621.1
5	655.2
5	707.9
5	625.6
5	658.9
5	655.2
5	579.9
5	545.2
5	665.5
5	619.2
5	612.0
5	625.5
5	621.2
6	600.7
6	633.3
6	623.5
6	628.3
6	616.6
6	630.1
6	600.4
6	609.3
6	651.8
6	616.8
6	641.4
6	610.9
6	592.6
6	596.9
6	620.0
6	638.6
6	623.3
6	641.0
6	623.8
6	629.1
7	630.4
7	578.4
7	665.9
7	592.7
7	592.3
7	603.1
7	623.1
7	613.5
7	571.7
7	593.7
7	626.6
7	605.6
7	633.7
7	597.9
7	646.0
7	577.4
7	591.0
7	623.2
7	579.8
7	567.8
