Rank,Athlete,Nation,D,E,ND,Total
1,Max Whitlock,Great Britain,6.9,8.366,,15.266
2,Rhys McClenaghan,Ireland,6.3,8.9,,15.2
3,Lee Chih Kai,Chinese Taipei,6.2,8.766,,14.966
4,Zou Jingyuan,China,6,8.958,,14.958
5,Daiki Hashimoto,Japan,6,8.883,,14.883
6,Shiao Yu-Jan,Chinese Taipei,6,8.683,,14.683
7,Cyril Tommasone,France,6.3,8.366,,14.666
8,Kazuma Kaya,Japan,6.4,8.233,,14.633
8,David Belyavskiy,Russia,6.4,8.233,,14.633
10,Oleg Verniaiev,Ukraine,6.5,8.1,,14.6
11,Kakeru Tanigawa,Japan,6.3,8.1,,14.4
12,Nariman Kurbanov,Kazakhstan,5.9,8.4,,14.3
13,Harutyun Merdinyan,Armenia,5.8,8.333,,14.133
14,Akim Mussayev,Kazakhstan,6.1,8.033,,14.133
15,Marios Georgiou,Cyprus,6.3,7.8,,14.1
16,Nikita Nagornyy,Russia,6.2,7.833,,14.033
17,Abdulla Azimov,Uzbekistan,6.2,7.8,,14
18,Daniel Corral,Mexico,5.8,8.166,,13.966
19,Artem Dolgopyat,Israel,5.6,8.333,,13.933
20,Ferhat Arican,Turkey,5.6,8.233,,13.833
21,Francisco Barretto,Brazil,5.6,8.133,,13.733
22,Ivan Stretovich,Russia,5.9,7.833,,13.733
23,Petro Pakhniuk,Ukraine,6.2,7.5,,13.7
24,Benjamin Gischard,Switzerland,5.6,8.033,,13.633
25,Ludovico Edalli,Italy,5.7,7.866,,13.566
25,Andreas Toba,Germany,5.7,7.866,,13.566
27,Lee Jung-hyo,South Korea,6,7.566,,13.566
28,David Jessen,Czech Republic,5.1,8.433,,13.533
29,Loris Frasca,France,5.2,8.333,,13.533
30,Yevgen Yudenkov,Ukraine,5.2,8.333,,13.533
31,Akash Modi,United States,5.7,7.833,,13.533
32,Joe Fraser,Great Britain,5.9,7.6,,13.5
33,Artur Davtyan,Armenia,5.4,8.066,,13.466
34,David Vecsernyes,Hungary,5.3,8.133,,13.433
35,Antoine Borello,France,4.9,8.5,,13.4
