Rank,Athlete,Nation,FX,PH,SR,VT,PB,HB,AA
1,Nikita Nagornyy,Russia,15.041,14.566,14.633,15.066,15.3,14.166,88.772
2,Artur Dalaloyan,Russia,15.2,14,14.433,14.066,15.233,14.233,87.165
3,Oleg Verniaiev,Ukraine,14.166,14.866,14,14.8,15.475,13.666,86.973
4,Xiao Ruoteng,China,15.025,15,13.933,14.8,15.266,12.666,86.69
5,Sun Wei,China,14.033,14.991,13.966,14.6,14.933,14,86.523
6,Kazuma Kaya,Japan,14.3,14.566,14.3,14,15,13.733,85.899
7,Samuel Mikulak,United States,14.4,13,14,14.266,15.325,14.7,85.691
8,Joe Fraser,Great Britain,14.166,13.8,13.966,14.266,14.9,14,85.098
9,Petro Pakhniuk,Ukraine,14.033,14.233,13.433,14.566,14.9,13.766,84.931
10,Carlos Edriel Yulo,Philippines,14.633,12.816,13.666,14.6,14.833,13.5,84.048
11,Tang Chia-Hung,Chinese Taipei,14.2,13.1,13.6,14.283,13.933,14.7,83.816
12,Lee Chih Kai,Chinese Taipei,14.3,15,13.166,14.366,13.866,13.1,83.798
13,Caio Souza,Brazil,13.833,13.033,13.933,14.366,14.7,13.9,83.765
14,James Hall,Great Britain,14.2,14.066,13.633,14.633,14.2,12.8,83.532
15,Pablo Brägger,Switzerland,14.225,13.2,13.4,12.9,14.666,14.433,82.824
16,Yul Moldauer,United States,13.666,13.133,13.733,14.366,14.666,12.766,82.33
17,Ludovico Edalli,Italy,13.533,13.8,13.366,13.866,13.6,13.733,81.898
18,Loris Frasca,France,14.066,13.566,12.933,14.833,13.433,13.033,81.864
19,Andreas Toba,Germany,13.5,12.566,13.6,14.366,13.908,13.7,81.64
20,Lee Jung-hyo,South Korea,13.666,14,13.566,14.2,14,11.991,81.423
21,Milad Karimi,Kazakhstan,14.3,11.833,13.133,13.366,14.1,13.4,80.132
22,Nestor Abad,Spain,12.2,12.666,13.7,14.233,13.766,13.533,80.098
23,Oliver Hegi,Switzerland,12.266,14.233,12.766,12.966,14.066,12.333,78.63
24,Robert Tvorogal,Lithuania,13.233,11.633,13.166,13.7,13.833,11.7,77.265
