Name,Date,Competition,Round,VT,UB,BB,FX,AA
Shilese Jones,2021-06-24,U.S. Olympic Trials,AA,14.9,12.9,13.3,13.533,54.633
Shilese Jones,2021-06-24,U.S. Olympic Trials,QF,14.9,13.166,13.533,13.4,54.999
Shilese Jones,2021-06-03,U.S. Championships,AA,15.0,14.4,11.75,13.25,54.4
Shilese Jones,2021-06-03,U.S. Championships,QF,14.85,14.3,12.45,12.5,54.1
Shilese Jones,2021-05-21,U.S. Classic,AA,14.85,12.95,12.1,0.0,0.0
Shilese Jones,2021-02-26,Winter Cup,AA,14.55,14.4,13.2,12.95,55.1
Shilese Jones,2022-10-29,World Championships,EF,0.0,14.766,0.0,0.0,0.0
Shilese Jones,2022-10-29,World Championships,AA,14.233,14.366,13.1,13.7,55.399
Shilese Jones,2022-10-29,World Championships,TF,13.933,14.333,0.0,13.733,0.0
Shilese Jones,2022-10-29,World Championships,QF,14.2,14.566,13.2,13.8,55.766
Shilese Jones,2022-10-21,U.S. Worlds Trials,EF,0.0,14.6,12.75,0.0,0.0
Shilese Jones,2022-10-21,U.S. Worlds Trials,AA,14.5,14.5,13.6,14.1,56.7
Shilese Jones,2022-09-24,Paris Challenge Cup,EF,0.0,14.7,13.4,13.5,0.0
Shilese Jones,2022-09-24,Paris Challenge Cup,QF,0.0,13.2,13.45,12.55,0.0
Shilese Jones,2022-08-18,U.S. Championships,AA,14.5,13.6,12.45,14.25,54.8
Shilese Jones,2022-08-18,U.S. Championships,QF,14.55,14.85,13.7,14.1,57.2
Shilese Jones,2022-07-29,U.S. Classic,AA,14.4,14.5,11.5,13.65,54.05
Shilese Jones,2022-04-09,City of Jesolo Trophy,EF,0.0,14.3,13.55,0.0,0.0
Shilese Jones,2022-04-09,City of Jesolo Trophy,AA,14.033,14.133,13.467,12.1,53.733
Shilese Jones,2022-03-31,March National Team Camp,AA,14.3,14.15,12.4,13.7,54.55
Shilese Jones,2023-08-24,U.S. Championships,AA,14.4,15.0,14.3,14.1,57.8
Shilese Jones,2023-08-24,U.S. Championships,QF,14.35,14.9,13.45,14.05,56.75
