Date,Competition,Round,VT,UB,BB,FX,AA,Name
2022-08-18,U.S. Championships,AA,14.65,13.45,13.3,13.85,55.25,Jade Carey
2022-08-18,U.S. Championships,QF,14.8,13.6,13.2,14.05,55.65,Jade Carey
2023-08-24,U.S. Championships,AA,14.55,13.25,12.05,13.1,52.95,Jade Carey
2023-08-24,U.S. Championships,QF,13.95,12.05,12.15,13.35,51.5,Jade Carey
2023-08-04,U.S. Classic,AA,0.0,0.0,13.0,0.0,0.0,Jade Carey
2023-07-09,July National Team Camp,AA,13.6,13.6,11.75,13.45,52.4,Jade Carey
2021-06-03,U.S. Championships,AA,14.55,13.6,14.25,13.3,55.7,Skye Blakely
2021-06-03,U.S. Championships,QF,14.7,12.95,12.75,13.45,53.85,Skye Blakely
2021-05-21,U.S. Classic,AA,14.0,14.05,12.65,13.3,54.0,Skye Blakely
2021-04-24,American Classic,AA,13.85,14.1,14.3,13.1,55.35,Skye Blakely
2021-03-13,March National Team Camp,AA,14.35,0.0,14.6,11.95,0.0,Skye Blakely
2021-02-26,Winter Cup,AA,0.0,0.0,14.5,12.65,0.0,Skye Blakely
2022-10-29,World Championships,EF,0.0,0.0,13.3,0.0,0.0,Skye Blakely
2022-10-29,World Championships,TF,0.0,0.0,13.266,0.0,0.0,Skye Blakely
2022-10-29,World Championships,QF,0.0,12.566,13.733,13.6,0.0,Skye Blakely
2022-10-21,U.S. Worlds Trials,EF,0.0,14.2,14.55,0.0,0.0,Skye Blakely
2022-10-21,U.S. Worlds Trials,AA,14.2,13.45,13.55,13.45,54.65,Skye Blakely
2022-08-18,U.S. Championships,AA,14.3,13.9,12.95,13.45,54.6,Skye Blakely
2022-08-18,U.S. Championships,QF,14.1,13.85,13.45,13.3,54.7,Skye Blakely
2022-07-14,Pan American Championships,TF,13.867,13.9,13.067,13.1,53.934,Skye Blakely
2022-07-14,Pan American Championships,AA,13.433,13.933,12.3,13.267,52.933,Skye Blakely
2022-07-04,U.S. Pan Ams Trials,EF,0.0,12.266,0.0,0.0,0.0,Skye Blakely
2022-07-04,U.S. Pan Ams Trials,AA,14.0,13.4,14.3,13.55,55.25,Skye Blakely
2022-03-18,DTB Pokal Team Challenge,AA,14.266,12.0,12.9,13.366,52.532,Skye Blakely
2022-02-24,Winter Cup,AA,13.8,13.15,13.5,13.25,53.7,Skye Blakely
2022-02-12,WOGA Classic,AA,0.0,0.0,14.25,13.25,0.0,Skye Blakely
2023-08-24,U.S. Championships,AA,14.25,14.4,14.2,12.2,55.05,Skye Blakely
2023-08-24,U.S. Championships,QF,14.35,14.4,14.05,12.9,55.7,Skye Blakely
2023-08-04,U.S. Classic,AA,14.1,14.35,14.3,0.0,0.0,Skye Blakely
2023-07-09,July National Team Camp,AA,14.25,14.35,14.05,0.0,0.0,Skye Blakely
2023-02-23,Winter Cup,AA,0.0,13.15,13.4,0.0,0.0,Skye Blakely
2023-02-17,WOGA Classic,AA,0.0,14.7,13.45,0.0,0.0,Skye Blakely
2021-07-23,Olympic Games,TF,14.666,14.166,13.433,11.7,53.965,Jordan Chiles
2021-07-23,Olympic Games,QF,14.7,12.866,11.566,13.566,52.698,Jordan Chiles
2021-06-24,U.S. Olympic Trials,AA,14.933,14.433,13.9,14.233,57.499,Jordan Chiles
2021-06-24,U.S. Olympic Trials,QF,14.966,14.3,14.233,13.633,57.132,Jordan Chiles
2021-06-03,U.S. Championships,AA,14.9,14.6,14.05,14.0,57.55,Jordan Chiles
2021-06-03,U.S. Championships,QF,14.95,14.45,13.95,13.55,56.9,Jordan Chiles
2021-05-21,U.S. Classic,AA,14.95,14.15,14.05,13.95,57.1,Jordan Chiles
2021-02-26,Winter Cup,AA,14.9,14.05,14.5,13.6,57.05,Jordan Chiles
2021-02-06,WOGA Classic,AA,14.85,14.4,14.3,11.9,55.45,Jordan Chiles
2022-10-29,World Championships,EF,14.35,0.0,0.0,13.833,0.0,Jordan Chiles
2022-10-29,World Championships,TF,14.4,14.1,13.333,14.0,55.833,Jordan Chiles
2022-10-29,World Championships,QF,14.466,14.066,11.366,14.1,53.998,Jordan Chiles
2022-10-21,U.S. Worlds Trials,EF,0.0,14.25,13.6,0.0,0.0,Jordan Chiles
2022-10-21,U.S. Worlds Trials,AA,14.2,14.35,13.3,14.25,56.1,Jordan Chiles
2022-09-24,Paris Challenge Cup,EF,14.025,13.75,0.0,14.05,0.0,Jordan Chiles
2022-09-24,Paris Challenge Cup,QF,13.95,13.4,0.0,13.5,0.0,Jordan Chiles
2022-08-18,U.S. Championships,AA,14.3,14.1,13.45,13.9,55.75,Jordan Chiles
2022-08-18,U.S. Championships,QF,14.35,14.25,13.6,13.95,56.15,Jordan Chiles
2023-08-24,U.S. Championships,AA,14.25,12.95,12.1,13.85,53.15,Jordan Chiles
2023-08-24,U.S. Championships,QF,14.3,14.2,13.0,13.1,54.6,Jordan Chiles
2023-08-04,U.S. Classic,AA,0.0,13.9,12.8,0.0,0.0,Jordan Chiles
2021-10-18,World Championships,EF,0.0,0.0,11.866,13.633,0.0,Kayla DiCello
2021-10-18,World Championships,AA,14.6,12.766,13.4,13.8,54.566,Kayla DiCello
2021-10-18,World Championships,QF,14.5,13.9,13.5,13.8,55.7,Kayla DiCello
2021-10-08,U.S. Worlds Trials,AA,14.55,13.95,13.25,13.6,55.35,Kayla DiCello
2021-06-24,U.S. Olympic Trials,AA,14.833,12.8,13.8,13.5,54.933,Kayla DiCello
2021-06-24,U.S. Olympic Trials,QF,14.6,13.966,13.766,13.966,56.298,Kayla DiCello
2021-06-03,U.S. Championships,AA,14.4,13.55,12.55,14.05,54.55,Kayla DiCello
2021-06-03,U.S. Championships,QF,14.65,12.9,12.65,14.05,54.25,Kayla DiCello
2021-05-21,U.S. Classic,AA,14.35,14.6,13.3,13.85,56.1,Kayla DiCello
2021-04-24,American Classic,AA,0.0,14.6,13.2,0.0,0.0,Kayla DiCello
2021-03-13,March National Team Camp,AA,14.8,13.15,14.05,13.85,55.85,Kayla DiCello
2022-08-18,U.S. Championships,AA,14.3,13.5,13.55,13.65,55.0,Kayla DiCello
2022-08-18,U.S. Championships,QF,14.2,14.1,13.8,13.85,55.95,Kayla DiCello
2022-07-14,Pan American Championships,TF,0.0,13.967,12.3,13.5,0.0,Kayla DiCello
2022-07-14,Pan American Championships,AA,13.167,13.6,11.733,13.467,51.967,Kayla DiCello
2022-07-04,U.S. Pan Ams Trials,EF,0.0,13.766,13.333,0.0,0.0,Kayla DiCello
2022-07-04,U.S. Pan Ams Trials,AA,12.55,13.7,11.3,13.7,51.25,Kayla DiCello
2023-08-24,U.S. Championships,AA,14.1,13.8,12.75,13.75,54.4,Kayla DiCello
2023-08-24,U.S. Championships,QF,14.0,12.3,11.7,13.5,51.5,Kayla DiCello
2023-08-04,U.S. Classic,AA,13.4,12.2,13.2,13.15,51.95,Kayla DiCello
2023-07-09,July National Team Camp,AA,0.0,0.0,12.4,0.0,0.0,Kayla DiCello
2023-07-08,American Classic,AA,13.25,0.0,13.0,0.0,0.0,Kayla DiCello
2021-06-24,U.S. Olympic Trials,AA,14.9,12.9,13.3,13.533,54.633,Shilese Jones
2021-06-24,U.S. Olympic Trials,QF,14.9,13.166,13.533,13.4,54.999,Shilese Jones
2021-06-03,U.S. Championships,AA,15.0,14.4,11.75,13.25,54.4,Shilese Jones
2021-06-03,U.S. Championships,QF,14.85,14.3,12.45,12.5,54.1,Shilese Jones
2021-05-21,U.S. Classic,AA,14.85,12.95,12.1,0.0,0.0,Shilese Jones
2021-02-26,Winter Cup,AA,14.55,14.4,13.2,12.95,55.1,Shilese Jones
2022-10-29,World Championships,EF,0.0,14.766,0.0,0.0,0.0,Shilese Jones
2022-10-29,World Championships,AA,14.233,14.366,13.1,13.7,55.399,Shilese Jones
2022-10-29,World Championships,TF,13.933,14.333,0.0,13.733,0.0,Shilese Jones
2022-10-29,World Championships,QF,14.2,14.566,13.2,13.8,55.766,Shilese Jones
2022-10-21,U.S. Worlds Trials,EF,0.0,14.6,12.75,0.0,0.0,Shilese Jones
2022-10-21,U.S. Worlds Trials,AA,14.5,14.5,13.6,14.1,56.7,Shilese Jones
2022-09-24,Paris Challenge Cup,EF,0.0,14.7,13.4,13.5,0.0,Shilese Jones
2022-09-24,Paris Challenge Cup,QF,0.0,13.2,13.45,12.55,0.0,Shilese Jones
2022-08-18,U.S. Championships,AA,14.5,13.6,12.45,14.25,54.8,Shilese Jones
2022-08-18,U.S. Championships,QF,14.55,14.85,13.7,14.1,57.2,Shilese Jones
2022-07-29,U.S. Classic,AA,14.4,14.5,11.5,13.65,54.05,Shilese Jones
2022-04-09,City of Jesolo Trophy,EF,0.0,14.3,13.55,0.0,0.0,Shilese Jones
2022-04-09,City of Jesolo Trophy,AA,14.033,14.133,13.467,12.1,53.733,Shilese Jones
2022-03-31,March National Team Camp,AA,14.3,14.15,12.4,13.7,54.55,Shilese Jones
2023-08-24,U.S. Championships,AA,14.4,15.0,14.3,14.1,57.8,Shilese Jones
2023-08-24,U.S. Championships,QF,14.35,14.9,13.45,14.05,56.75,Shilese Jones
2021-11-25,Junior Pan American Games,EF,13.933,0.0,12.7,13.0,0.0,Katelyn Jong
2021-11-25,Junior Pan American Games,AA,14.35,13.1,12.45,13.35,53.25,Katelyn Jong
2021-11-15,U.S. Junior Pan Am Games Trials,EF,0.0,12.8,13.15,0.0,0.0,Katelyn Jong
2021-11-15,U.S. Junior Pan Am Games Trials,AA,14.3,13.6,13.25,13.25,54.4,Katelyn Jong
2021-06-18,Junior Pan American Championships,EF,13.784,13.567,12.034,0.0,0.0,Katelyn Jong
2021-06-18,Junior Pan American Championships,AA,14.6,13.55,12.55,13.4,54.1,Katelyn Jong
2021-06-03,U.S. Championships,AA,14.2,13.3,12.05,13.65,53.2,Katelyn Jong
2021-06-03,U.S. Championships,QF,14.15,13.2,13.15,13.5,54.0,Katelyn Jong
2021-05-21,U.S. Classic,AA,14.1,13.3,13.75,13.5,54.65,Katelyn Jong
2021-04-24,American Classic,AA,0.0,13.2,13.6,0.0,0.0,Katelyn Jong
2021-03-13,March National Team Camp,AA,14.35,12.25,11.6,13.1,51.3,Katelyn Jong
2021-02-26,Winter Cup,AA,14.3,11.5,11.4,12.55,49.75,Katelyn Jong
2021-02-06,WOGA Classic,AA,13.45,13.75,10.8,12.7,50.7,Katelyn Jong
2022-09-30,Szombathely Challenge Cup,EF,0.0,13.133,0.0,13.5,0.0,Katelyn Jong
2022-09-30,Szombathely Challenge Cup,QF,0.0,13.366,0.0,13.466,0.0,Katelyn Jong
2022-08-18,U.S. Championships,AA,13.85,12.7,13.35,13.0,52.9,Katelyn Jong
2022-08-18,U.S. Championships,QF,13.95,12.2,13.2,13.1,52.45,Katelyn Jong
2022-07-04,U.S. Pan Ams Trials,EF,0.0,13.3,12.033,0.0,0.0,Katelyn Jong
2022-07-04,U.S. Pan Ams Trials,AA,13.5,13.1,11.3,13.5,51.4,Katelyn Jong
2022-03-31,March National Team Camp,AA,14.0,11.45,0.0,0.0,0.0,Katelyn Jong
2022-03-20,DTB Pokal Mixed Cup,AA,14.35,0.0,11.7,13.25,0.0,Katelyn Jong
2022-02-24,Winter Cup,AA,13.8,12.75,13.05,13.05,52.65,Katelyn Jong
2023-08-24,U.S. Championships,AA,13.8,13.5,12.45,13.5,53.25,Katelyn Jong
2023-08-24,U.S. Championships,QF,13.85,14.05,11.85,13.15,52.9,Katelyn Jong
2023-08-04,U.S. Classic,AA,13.7,13.75,12.95,13.05,53.45,Katelyn Jong
2023-07-09,July National Team Camp,AA,13.85,13.75,12.25,13.4,53.25,Katelyn Jong
2023-04-30,Pan American Trials,AA,14.15,13.2,12.6,12.4,52.35,Katelyn Jong
2023-02-23,Winter Cup,AA,13.5,12.2,10.5,12.7,48.9,Katelyn Jong
2023-02-17,WOGA Classic,AA,13.25,14.0,12.5,12.25,52.0,Katelyn Jong
2021-10-04,World Championships,EF,0.0,14.8,0.0,14.133,0.0,Sunisa Lee
2021-10-04,World Championships,AA,14.466,13.133,13.833,14.2,55.632,Sunisa Lee
2021-10-04,World Championships,TF,0.0,14.733,12.533,14.233,0.0,Sunisa Lee
2021-10-04,World Championships,QF,14.566,15.0,13.4,14.2,57.166,Sunisa Lee
2021-08-08,U.S. Worlds Trials,AA,14.55,15.0,14.55,14.1,58.2,Sunisa Lee
2021-08-08,U.S. Championships,AA,13.75,15.05,13.85,14.0,56.65,Sunisa Lee
2021-08-08,U.S. Championships,QF,13.85,14.75,14.35,13.95,56.9,Sunisa Lee
2021-07-20,U.S. Classic,AA,0.0,14.65,13.9,0.0,0.0,Sunisa Lee
2021-06-22,American Classic,AA,0.0,11.65,14.3,0.0,0.0,Sunisa Lee
2021-03-02,City of Jesolo Trophy,EF,0.0,14.45,14.15,14.2,0.0,Sunisa Lee
2021-03-02,City of Jesolo Trophy,AA,14.2,14.7,13.233,14.333,56.466,Sunisa Lee
2022-07-23,Olympic Games,EF,0.0,14.5,13.866,0.0,0.0,Sunisa Lee
2022-07-23,Olympic Games,AA,14.6,15.3,13.833,13.7,57.433,Sunisa Lee
2022-07-23,Olympic Games,TF,0.0,15.4,14.133,13.666,0.0,Sunisa Lee
2022-07-23,Olympic Games,QF,14.333,15.2,14.2,13.433,57.166,Sunisa Lee
2022-06-24,U.S. Olympic Trials,AA,14.6,14.9,14.733,13.933,58.166,Sunisa Lee
2022-06-24,U.S. Olympic Trials,QF,14.4,15.3,14.733,13.233,57.666,Sunisa Lee
2022-06-03,U.S. Championships,AA,14.3,14.9,14.7,13.7,57.6,Sunisa Lee
2022-06-03,U.S. Championships,QF,14.4,15.3,13.9,13.75,57.35,Sunisa Lee
2022-05-21,U.S. Classic,AA,0.0,13.5,13.35,0.0,0.0,Sunisa Lee
2022-04-24,American Classic,AA,0.0,15.2,14.55,13.0,0.0,Sunisa Lee
2022-03-13,March National Team Camp,AA,0.0,14.55,13.6,0.0,0.0,Sunisa Lee
2022-02-26,Winter Cup,AA,0.0,15.05,14.25,0.0,0.0,Sunisa Lee
2023-08-24,U.S. Championships,AA,13.4,0.0,14.2,0.0,0.0,Sunisa Lee
2023-08-24,U.S. Championships,QF,13.35,0.0,13.65,0.0,0.0,Sunisa Lee
2023-08-04,U.S. Classic,AA,13.5,0.0,14.5,0.0,0.0,Sunisa Lee
2021-11-15,Junior Pan Am Games Trials,EF,0.0,13.1,12.25,0.0,0.0,Nola Matthews
2021-11-15,Junior Pan Am Games Trials,AA,12.95,12.5,12.1,11.95,49.5,Nola Matthews
2021-06-03,U.S. Championships,AA,13.4,11.9,13.2,10.55,49.05,Nola Matthews
2021-06-03,U.S. Championships,QF,13.6,13.05,11.8,11.85,50.3,Nola Matthews
2021-05-21,U.S. Classic,AA,12.95,12.45,12.15,0.0,0.0,Nola Matthews
2021-04-24,American Classic,AA,12.8,11.7,13.1,12.2,49.8,Nola Matthews
2021-03-13,March National Team Camp,AA,13.5,11.5,13.65,12.6,51.25,Nola Matthews
2021-02-26,Winter Cup,AA,12.95,13.15,12.1,12.35,50.55,Nola Matthews
2022-10-21,U.S. Worlds Trials,EF,0.0,12.45,13.35,0.0,0.0,Nola Matthews
2022-10-21,U.S. Worlds Trials,AA,12.9,12.55,12.45,13.05,50.95,Nola Matthews
2022-08-18,U.S. Championships,AA,12.95,14.05,12.5,12.2,51.7,Nola Matthews
2022-08-18,U.S. Championships,QF,13.1,13.75,11.95,12.35,51.15,Nola Matthews
2022-07-29,U.S. Classic,AA,13.0,13.9,12.5,11.7,51.1,Nola Matthews
2022-07-04,U.S. Pan Ams Trials,EF,0.0,12.833,12.966,0.0,0.0,Nola Matthews
2022-07-04,U.S. Pan Ams Trials,AA,13.1,13.85,11.75,12.1,50.8,Nola Matthews
2022-03-31,March National Team Camp,AA,12.65,12.2,12.15,12.5,49.5,Nola Matthews
2022-03-18,DTB Pokal Team Challenge,EF,0.0,13.7,0.0,0.0,0.0,Nola Matthews
2022-03-18,DTB Pokal Team Challenge,AA,0.0,14.033,0.0,0.0,0.0,Nola Matthews
2022-02-24,Winter Cup,AA,12.85,13.95,13.05,12.8,52.65,Nola Matthews
2022-02-12,WOGA Classic,AA,12.4,13.15,12.55,12.65,50.75,Nola Matthews
2022-01-28,All American National Qualifier,AA,12.95,10.9,12.7,0.0,0.0,Nola Matthews
2022-01-21,Vegas Cup National Qualifier,AA,0.0,13.5,12.7,0.0,0.0,Nola Matthews
2023-08-24,U.S. Championships,AA,13.2,14.05,12.45,13.2,52.9,Nola Matthews
2023-08-24,U.S. Championships,QF,13.15,12.4,13.0,13.4,51.95,Nola Matthews
2023-08-04,U.S. Classic,AA,13.05,13.9,13.3,13.3,53.55,Nola Matthews
2023-07-09,July National Team Camp,AA,12.9,13.6,13.15,13.15,52.8,Nola Matthews
2023-05-26,Pan American Championships,TF,0.0,14.067,0.0,13.1,0.0,Nola Matthews
2023-05-26,Pan American Championships,AA,12.9,14.0,12.7,12.667,52.267,Nola Matthews
2023-04-30,Pan American Trials,AA,13.3,14.05,13.5,13.35,54.2,Nola Matthews
2023-03-19,DTB Pokal Mixed Cup,AA,0.0,12.366,13.066,0.0,0.0,Nola Matthews
2023-03-17,DTB Pokal Team Challenge,AA,13.1,13.65,13.2,12.9,52.85,Nola Matthews
2023-02-23,Winter Cup,AA,13.25,13.45,12.7,13.2,52.6,Nola Matthews
2023-02-17,WOGA Classic,AA,13.25,13.35,12.1,13.1,51.8,Nola Matthews
2023-01-27,Vegas Cup National Qualifier,AA,0.0,12.45,12.7,12.8,0.0,Nola Matthews
2021-06-24,U.S. Olympic Trials,AA,13.7,13.633,13.133,12.866,53.332,Zoe Miller
2021-06-24,U.S. Olympic Trials,QF,13.933,13.766,12.566,12.2,52.465,Zoe Miller
2021-06-03,U.S. Championships,AA,14.2,13.9,13.05,12.3,53.45,Zoe Miller
2021-06-03,U.S. Championships,QF,14.1,14.3,11.75,12.8,52.95,Zoe Miller
2021-05-21,U.S. Classic,AA,13.5,14.0,11.75,12.0,51.25,Zoe Miller
2021-02-26,Winter Cup,AA,13.6,14.05,12.15,12.7,52.5,Zoe Miller
2021-02-06,WOGA Classic,AA,13.9,12.45,13.7,13.0,53.05,Zoe Miller
2022-07-14,Pan American Championships,TF,0.0,14.467,0.0,0.0,0.0,Zoe Miller
2022-07-14,Pan American Championships,AA,0.0,14.133,0.0,0.0,0.0,Zoe Miller
2022-07-04,U.S. Pan Ams Trials,EF,0.0,14.633,11.833,0.0,0.0,Zoe Miller
2022-07-04,U.S. Pan Ams Trials,AA,13.3,13.9,11.85,12.35,51.4,Zoe Miller
2022-04-09,City of Jesolo Trophy,EF,0.0,14.45,0.0,0.0,0.0,Zoe Miller
2022-04-09,City of Jesolo Trophy,AA,13.067,14.033,12.133,12.3,51.533,Zoe Miller
2022-03-31,March National Team Camp,AA,13.4,14.25,11.95,12.35,51.95,Zoe Miller
2022-02-24,Winter Cup,AA,13.65,13.1,10.95,12.65,50.35,Zoe Miller
2022-02-12,WOGA Classic,AA,13.6,13.7,11.95,12.5,51.75,Zoe Miller
2023-08-24,U.S. Championships,AA,13.4,14.4,12.25,12.4,52.45,Zoe Miller
2023-08-24,U.S. Championships,QF,13.15,11.0,13.05,11.8,49.0,Zoe Miller
2023-08-04,U.S. Classic,AA,13.65,14.75,12.45,12.15,53.0,Zoe Miller
2023-07-09,July National Team Camp,AA,13.9,14.55,11.1,12.05,51.6,Zoe Miller
2023-04-30,Pan American Trials,AA,13.6,14.75,12.9,12.7,53.95,Zoe Miller
2023-03-17,DTB Pokal Team Challenge,EF,0.0,14.633,0.0,0.0,0.0,Zoe Miller
2023-03-17,DTB Pokal Team Challenge,AA,13.9,14.85,12.9,10.85,52.5,Zoe Miller
2023-02-23,Winter Cup,AA,13.65,13.9,12.55,12.4,52.5,Zoe Miller
2021-11-15,U.S. Junior Pan Am Games Trials,EF,0.0,0.0,13.6,13.0,0.0,Joscelyn Roberson
2021-11-15,U.S. Junior Pan Am Games Trials,AA,14.15,11.7,13.65,11.9,51.4,Joscelyn Roberson
2021-06-03,U.S. Championships,AA,14.3,12.15,13.55,13.1,53.1,Joscelyn Roberson
2021-06-03,U.S. Championships,QF,14.35,10.6,13.25,13.1,51.3,Joscelyn Roberson
2021-05-21,U.S. Classic,AA,14.1,11.35,12.6,13.25,51.3,Joscelyn Roberson
2021-02-26,Winter Cup,AA,13.55,10.95,13.8,12.85,51.15,Joscelyn Roberson
2021-02-11,Brestyan’s National Qualifier,AA,13.2,11.45,13.2,12.9,50.75,Joscelyn Roberson
2021-01-21,Biles National Qualifier,AA,12.8,11.1,11.75,12.75,48.4,Joscelyn Roberson
2022-08-18,U.S. Championships,AA,13.8,11.2,11.95,12.95,49.9,Joscelyn Roberson
2022-08-18,U.S. Championships,QF,13.75,10.9,13.25,12.85,50.75,Joscelyn Roberson
2022-07-29,U.S. Classic,AA,14.0,10.55,12.3,12.7,49.55,Joscelyn Roberson
2022-07-04,U.S. Pan Ams Trials,EF,0.0,0.0,12.333,0.0,0.0,Joscelyn Roberson
2022-07-04,U.S. Pan Ams Trials,AA,13.35,10.95,10.55,12.45,47.3,Joscelyn Roberson
2022-03-31,March National Team Camp,AA,13.4,11.15,12.85,13.2,50.6,Joscelyn Roberson
2022-02-24,Winter Cup,AA,12.9,9.75,13.4,12.65,48.7,Joscelyn Roberson
2023-08-24,U.S. Championships,AA,14.55,11.8,13.2,13.6,53.15,Joscelyn Roberson
2023-08-24,U.S. Championships,QF,14.65,11.8,13.2,13.3,52.95,Joscelyn Roberson
2023-08-04,U.S. Classic,AA,14.65,11.1,14.3,14.0,54.05,Joscelyn Roberson
2023-07-09,July National Team Camp,AA,14.25,12.9,13.0,14.0,54.15,Joscelyn Roberson
2023-05-26,Pan American Championships,TF,13.8,0.0,13.733,14.067,0.0,Joscelyn Roberson
2023-05-26,Pan American Championships,AA,13.733,0.0,13.267,14.1,0.0,Joscelyn Roberson
2023-04-27,Cairo World Cup,EF,13.983,0.0,13.233,13.7,0.0,Joscelyn Roberson
2023-04-27,Cairo World Cup,QF,14.016,11.4,12.833,14.066,0.0,Joscelyn Roberson
2023-03-17,DTB Pokal Team Challenge,EF,14.083,0.0,0.0,13.3,0.0,Joscelyn Roberson
2023-03-17,DTB Pokal Team Challenge,AA,14.2,13.0,12.5,14.15,53.85,Joscelyn Roberson
2023-02-23,Winter Cup,AA,14.0,10.85,13.3,13.55,51.7,Joscelyn Roberson
2021-02-26,Winter Cup,AA,14.1,12.35,10.2,12.45,49.1,Ashlee Sullivan
2022-03-18,DTB Pokal Team Challenge,AA,14.033,0.0,13.6,13.533,0.0,Ashlee Sullivan
2022-02-24,Winter Cup,AA,13.9,12.6,13.5,12.85,52.85,Ashlee Sullivan
2022-02-12,WOGA Classic,AA,13.35,13.0,13.6,13.6,53.55,Ashlee Sullivan
2022-01-21,Vegas Cup National Qualifier,AA,13.1,13.3,13.45,12.8,52.65,Ashlee Sullivan
2023-08-24,U.S. Championships,AA,13.4,9.95,12.85,13.35,49.55,Ashlee Sullivan
2023-08-24,U.S. Championships,QF,13.2,12.95,12.2,13.1,51.45,Ashlee Sullivan
2023-04-30,Pan American Trials,AA,13.55,12.55,13.2,13.55,52.85,Ashlee Sullivan
2023-03-17,DTB Pokal Team Challenge,EF,0.0,0.0,12.4,0.0,0.0,Ashlee Sullivan
2023-03-17,DTB Pokal Team Challenge,AA,13.1,12.55,13.8,12.65,52.1,Ashlee Sullivan
2023-02-23,Winter Cup,AA,13.6,12.6,13.2,13.35,52.75,Ashlee Sullivan
2023-02-17,WOGA Classic,AA,0.0,11.3,12.0,0.0,0.0,Ashlee Sullivan
2021-11-25,Junior Pan American Games,EF,13.95,0.0,0.0,0.0,0.0,Tiana Sumanasekera
2021-11-25,Junior Pan American Games,AA,14.4,10.0,12.15,13.0,49.55,Tiana Sumanasekera
2021-11-15,U.S. Junior Pan Am Games Trials,EF,0.0,0.0,14.05,13.3,0.0,Tiana Sumanasekera
2021-11-15,U.S. Junior Pan Am Games Trials,AA,14.3,11.25,13.8,11.9,51.25,Tiana Sumanasekera
2021-05-21,U.S. Classic,AA,13.85,10.85,13.4,12.05,50.15,Tiana Sumanasekera
2021-05-21,American Classic,AA,13.95,10.95,12.25,13.15,50.3,Tiana Sumanasekera
2021-02-26,Winter Cup,AA,13.65,10.65,12.45,13.05,49.8,Tiana Sumanasekera
2022-08-18,U.S. Championships,AA,14.0,10.25,13.35,13.6,51.2,Tiana Sumanasekera
2022-08-18,U.S. Championships,QF,14.15,10.95,12.6,13.55,51.25,Tiana Sumanasekera
2022-07-14,Pan American Championships,EF,13.45,0.0,13.2,13.133,0.0,Tiana Sumanasekera
2022-07-14,Pan American Championships,AA,14.1,10.467,13.7,13.3,51.567,Tiana Sumanasekera
2022-07-04,U.S. Pan Ams Trials,EF,0.0,11.6,13.7,0.0,0.0,Tiana Sumanasekera
2022-07-04,U.S. Pan Ams Trials,AA,14.15,11.65,13.25,13.65,52.7,Tiana Sumanasekera
2022-04-09,City of Jesolo Trophy,EF,13.5,0.0,13.8,12.85,0.0,Tiana Sumanasekera
