Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Price Allman,--,0,0,,2.08,5,0,,,0,0,4.1,5,1,1,0,2,,0,1,0,0,19,1.615,10.4,0,4.2,0,0,
2,Josh Caravalho?,--,5,1,0.833,2.98,15,10,,,0,0,51.1,44,21,17,6,24,,40,5,2,5,218,1.325,7.7,1.1,4.2,7,1.67,
3,Cade Denton,21,2,1,0.667,1.85,33,0,,,0,15,58.1,44,12,12,2,11,,78,5,0,3,227,0.943,6.8,0.3,1.7,12,7.09,
4,Conner Floyd?,--,1,0,1,3,3,0,,,0,0,3,1,1,1,0,3,,7,1,0,0,15,1.333,3,0,9,21,2.33,
5,Brooks Fowler?,--,9,1,0.9,3.27,16,16,,,0,0,77,65,30,28,13,29,,74,7,1,1,328,1.221,7.6,1.5,3.4,8.6,2.55,
6,Harley Gollert*,24,10,1,0.909,4.3,17,16,,,0,0,88,83,43,42,16,31,,88,7,1,1,376,1.295,8.5,1.6,3.2,9,2.84,
7,Jakob Hall?,--,8,3,0.727,3.56,17,17,,,0,0,93.2,89,41,37,13,15,,91,10,0,3,380,1.11,8.6,1.2,1.4,8.7,6.07,
8,Hudson Hart?,--,0,0,,10.38,5,0,,,0,0,4.1,6,6,5,1,6,,4,1,0,0,26,2.769,12.5,2.1,12.5,8.3,0.67,
9,Caleb Isaacs?,--,8,0,1,5.04,27,0,,,0,0,44.2,46,26,25,9,21,,43,3,1,1,194,1.5,9.3,1.8,4.2,8.7,2.05,
10,Evan Kowalski,24,2,1,0.667,6.25,19,2,,,0,2,31.2,37,23,22,6,17,,27,0,2,5,145,1.705,10.5,1.7,4.8,7.7,1.59,
11,Dalton Patten?,--,4,2,0.667,4.43,27,0,,,0,5,44.2,26,22,22,3,22,,48,3,1,10,183,1.075,5.2,0.6,4.4,9.7,2.18,
12,Andrew Roach?,--,0,0,,13.5,7,0,,,0,0,4.2,12,7,7,1,3,,6,1,0,0,30,3.214,23.1,1.9,5.8,11.6,2,
13,Reed Ronan?,--,0,0,,27,5,0,,,0,0,2.2,7,8,8,3,8,,2,0,0,0,24,5.625,23.6,10.1,27,6.8,0.25,
14,Ryan Tressler?,--,0,0,,inf,1,0,,,0,0,0,0,2,2,0,2,,0,0,0,0,2,,,,,,0,
15,Jacob Widener*,22,2,2,0.5,3.06,29,2,,,0,1,47,30,20,16,4,20,,76,16,1,1,200,1.064,5.7,0.8,3.8,14.6,3.8,
,15 Players,22.5,51,12,0.81,3.97,63,63,,,5,23,555.1,495,263,245,77,214,,584,60,9,30,2367,1.277,8,1.2,3.5,9.5,2.73,
