Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes
1,Pierce Bennett,22,56,263,221,59,79,19,0,7,65,1,0,26,21,0.358,0.434,0.539,0.973,119,,7,5,4,,
2,Adam Cecere*,22,40,172,135,40,39,11,0,10,37,1,0,30,49,0.289,0.436,0.593,1.029,80,,6,0,1,,
3,Danny Corona*,19,44,159,136,28,41,9,0,13,43,2,0,15,45,0.302,0.378,0.654,1.033,89,,3,3,2,,
4,Lucas Costello,21,45,188,155,43,47,9,1,4,24,2,1,17,28,0.303,0.41,0.452,0.861,70,,11,5,0,,
5,Gio Cueto,19,32,98,78,14,15,4,0,2,8,0,0,11,15,0.192,0.337,0.321,0.657,25,,7,0,2,,
6,Tommy Hawke*,20,62,309,254,72,90,19,1,7,33,13,1,50,48,0.354,0.466,0.52,0.986,132,,4,0,1,,
7,Marek Houston,19,61,245,205,38,46,5,1,4,29,4,0,32,38,0.224,0.332,0.317,0.649,65,,2,4,2,,
8,Justin Johnson,23,61,276,223,60,76,15,3,16,76,7,0,32,42,0.341,0.442,0.65,1.092,145,,13,2,6,,
9,Kyle Joye,24,17,46,39,13,11,4,0,2,10,0,0,5,10,0.282,0.391,0.539,0.93,21,,2,0,0,,
10,Chris Katz,20,26,78,63,10,13,4,0,3,16,0,0,13,15,0.206,0.346,0.413,0.759,26,,1,0,1,,
11,Nick Kurtz*,20,53,252,181,75,67,10,0,24,69,5,0,59,45,0.37,0.538,0.823,1.361,149,,9,1,2,,
12,Bennett Lee,21,42,170,130,29,40,3,0,7,33,5,0,29,28,0.308,0.438,0.492,0.93,64,,5,1,5,,
13,Andrew Noland#,19,7,11,10,1,2,0,0,0,1,0,0,1,4,0.2,0.273,0.2,0.473,2,,0,0,0,,
14,Jake Reinisch*,21,27,91,73,8,13,1,0,0,9,1,0,15,22,0.178,0.308,0.192,0.5,14,,0,0,3,,
15,Brock Wilken,21,62,302,224,88,80,15,1,30,80,1,0,65,51,0.357,0.517,0.835,1.351,187,,11,0,2,,
16,Jack Winnay,20,15,22,15,5,3,0,0,0,1,1,0,4,4,0.2,0.455,0.2,0.655,3,,3,0,0,,
,16 Players,20.8,62,2682,2142,583,662,128,7,129,534,43,2,404,465,0.309,0.432,0.556,0.988,1191,,84,21,31,,
