Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes
1,Cade Beloso*,23,50,198,158,39,50,4,1,14,41,1,2,28,26,0.317,0.442,0.62,1.062,98,,9,1,2,,
2,Dylan Crews,21,63,304,226,89,98,15,1,17,67,6,0,65,40,0.434,0.576,0.735,1.31,166,,12,0,1,,
3,Gavin Dugas,23,60,268,198,70,57,10,2,15,42,1,0,34,58,0.288,0.453,0.586,1.039,116,,30,1,5,,
4,Ethan Frey,19,18,22,18,3,5,1,0,0,9,0,1,3,6,0.278,0.364,0.333,0.697,6,,0,0,1,,
5,Gavin Guidry,19,31,9,7,4,1,0,0,0,1,0,0,1,4,0.143,0.333,0.143,0.476,1,,1,0,0,,
6,Brayden Jobert*,22,52,195,162,34,49,8,1,11,42,4,2,20,48,0.303,0.415,0.568,0.983,92,,12,0,1,,
7,Jared Jones?,--,52,199,158,37,48,12,0,14,45,2,0,36,69,0.304,0.427,0.646,1.073,102,,1,0,4,,
8,Paxton Kling?,--,51,103,87,29,25,5,2,4,9,3,0,9,26,0.287,0.392,0.529,0.921,46,,6,1,0,,
9,Jack Merrifield,23,24,15,9,2,0,0,0,0,4,0,0,3,1,0,0.267,0,0.267,0,,1,0,2,,
10,Alex Milazzo,22,47,99,82,19,24,1,0,0,15,1,0,10,18,0.293,0.366,0.305,0.671,25,,0,6,1,,
11,Tre' Morgan*,20,61,292,237,60,74,12,3,9,47,0,1,33,28,0.312,0.425,0.502,0.927,119,,17,0,5,,
12,Brady Neal*,18,26,95,67,18,14,1,1,3,9,0,0,21,27,0.209,0.411,0.388,0.799,26,,4,0,3,,
13,Ben Nippolt*,22,47,59,42,9,8,1,0,0,7,1,1,10,9,0.191,0.368,0.214,0.583,9,,3,2,2,,
14,Mic Paul?,--,12,10,9,5,1,0,0,0,0,0,0,1,3,0.111,0.2,0.111,0.311,1,,0,0,0,,
15,Josh Pearson*,20,47,143,111,24,28,4,3,3,25,1,0,25,31,0.252,0.406,0.423,0.829,47,,5,0,2,,
16,Josh Stevenson*,21,24,10,10,9,1,0,0,0,1,0,0,0,4,0.1,0.1,0.1,0.2,1,,0,0,0,,
17,Jordan Thompson,21,63,275,220,49,60,12,1,11,49,7,2,32,56,0.273,0.401,0.486,0.887,107,,17,3,3,,
18,Hayden Travinski,--,36,109,89,29,36,5,0,10,29,2,0,15,19,0.405,0.505,0.798,1.302,71,,4,0,1,,
19,Tommy White,20,58,271,236,59,89,22,0,22,97,0,0,21,32,0.377,0.439,0.75,1.189,177,,9,0,5,,
,19 Players,21.1,63,2676,2126,588,668,113,15,133,539,29,9,367,505,0.314,0.438,0.569,1.007,1210,,131,14,38,,
