Rank,Athlete,D,E,ND,Score,Total,round,year,Nation
1,colin van wicklen,5.6,8.35,0.0,13.95,27.6,final,2020,USA
1,colin van wicklen,5.6,8.05,0.0,13.65,27.6,final,2020,USA
2,sam mikulak,6.0,8.35,0.0,14.35,27.55,final,2020,USA
2,sam mikulak,6.3,6.9,0.0,13.2,27.55,final,2020,USA
3,paul juda,5.0,8.65,0.0,13.65,27.5,final,2020,USA
3,paul juda,5.0,8.85,0.0,13.85,27.5,final,2020,USA
4,marvin kimble,6.1,7.45,0.0,13.55,27.4,final,2020,USA
4,marvin kimble,6.3,7.55,0.0,13.85,27.4,final,2020,USA
5,grant breckenridge,5.6,8.5,0.0,14.1,27.0,final,2020,USA
5,grant breckenridge,5.9,7.0,0.0,12.9,27.0,final,2020,USA
6,ian gunther,4.9,8.3,0.0,13.2,26.65,final,2020,USA
6,ian gunther,4.9,8.55,0.0,13.45,26.65,final,2020,USA
7,shane wiskus,5.7,7.95,0.0,13.65,26.6,final,2020,USA
7,shane wiskus,5.9,7.05,0.0,12.95,26.6,final,2020,USA
8,nicolas kuebler,4.2,9.3,0.0,13.5,26.55,final,2020,USA
8,nicolas kuebler,4.2,8.85,0.0,13.05,26.55,final,2020,USA
8,gage dyer,5.2,8.2,0.0,13.4,26.55,final,2020,USA
8,gage dyer,5.2,7.95,0.0,13.15,26.55,final,2020,USA
10,isaiah drake,4.7,8.65,0.0,13.35,26.5,final,2020,USA
10,isaiah drake,4.4,8.75,0.0,13.15,26.5,final,2020,USA
11,allan bower,5.3,8.15,0.0,13.45,26.3,final,2020,USA
11,allan bower,5.5,7.35,0.0,12.85,26.3,final,2020,USA
12,robert neff,6.0,7.0,0.0,13.0,25.55,final,2020,USA
12,robert neff,6.0,6.55,0.0,25.55,25.55,final,2020,USA
13,colt walker,4.4,8.35,0.0,12.75,25.4,final,2020,USA
13,colt walker,4.4,8.25,0.0,12.65,25.4,final,2020,USA
14,akash modi,6.0,7.15,0.0,13.15,25.2,final,2020,USA
14,akash modi,5.6,6.45,0.0,12.05,25.2,final,2020,USA
15,yul moldauer,4.7,7.3,0.0,12.0,25.1,final,2020,USA
15,yul moldauer,5.4,7.7,0.0,13.1,25.1,final,2020,USA
16,kiwan watts,4.8,6.6,0.0,11.4,25.0,final,2020,USA
16,kiwan watts,5.1,8.5,0.0,13.6,25.0,final,2020,USA
16,genki suzuki,4.9,6.75,0.0,11.65,25.0,final,2020,USA
16,genki suzuki,5.6,7.75,0.0,13.35,25.0,final,2020,USA
18,matt wenske,5.0,7.2,0.0,12.2,24.7,final,2020,USA
18,matt wenske,5.0,7.5,0.0,12.5,24.7,final,2020,USA
19,alex diab,5.1,7.4,0.0,12.5,24.6,final,2020,USA
19,alex diab,4.8,7.3,0.0,12.1,24.6,final,2020,USA
20,cameron bock,4.9,7.55,0.0,12.45,24.35,final,2020,USA
20,cameron bock,5.2,6.7,0.0,11.9,24.35,final,2020,USA
