Rank,Athlete,D,E,ND,Score,Total,round,year,Nation
1,gage dyer,6.0,8.4,0.0,14.4,29.05,final,2020,USA
1,gage dyer,6.0,8.65,0.0,14.65,29.05,final,2020,USA
2,sam mikulak,5.9,8.7,0.0,14.6,28.8,final,2020,USA
2,sam mikulak,6.2,8.3,-0.3,14.2,28.8,final,2020,USA
3,cameron bock,5.5,8.85,0.0,14.35,28.5,final,2020,USA
3,cameron bock,5.5,8.65,0.0,14.15,28.5,final,2020,USA
4,adrian de los angeles,5.6,8.45,0.0,14.05,28.25,final,2020,USA
4,adrian de los angeles,5.6,8.6,0.0,14.2,28.25,final,2020,USA
5,paul juda,5.8,8.05,0.0,13.85,28.1,final,2020,USA
5,paul juda,5.8,8.45,0.0,14.25,28.1,final,2020,USA
5,eddie penev,5.9,8.0,0.0,13.9,28.1,final,2020,USA
5,eddie penev,6.3,7.9,0.0,14.2,28.1,final,2020,USA
7,michael moran,5.6,8.35,0.0,13.95,28.05,final,2020,USA
7,michael moran,5.6,8.5,0.0,14.1,28.05,final,2020,USA
8,shane wiskus,5.8,8.4,0.0,14.2,27.95,final,2020,USA
8,shane wiskus,6.0,7.75,0.0,13.75,27.95,final,2020,USA
9,colin van wicklen,5.4,8.6,-0.1,13.9,27.8,final,2020,USA
9,colin van wicklen,5.4,8.5,0.0,13.9,27.8,final,2020,USA
10,akash modi,5.9,8.0,0.0,13.9,27.7,final,2020,USA
10,akash modi,5.8,8.0,0.0,13.8,27.7,final,2020,USA
11,yul moldauer,6.1,7.75,0.0,13.85,27.6,final,2020,USA
11,yul moldauer,6.1,7.95,-0.3,13.75,27.6,final,2020,USA
12,nicolas kuebler,5.0,8.9,0.0,13.9,27.5,final,2020,USA
12,nicolas kuebler,5.0,8.7,-0.1,13.6,27.5,final,2020,USA
13,allan bower,5.7,7.55,0.0,13.25,27.45,final,2020,USA
13,allan bower,5.7,8.5,0.0,14.2,27.45,final,2020,USA
14,timothy wang,5.7,8.3,0.0,14.0,27.2,final,2020,USA
14,timothy wang,5.7,7.5,0.0,13.2,27.2,final,2020,USA
15,donothan bailey,5.5,8.2,-0.1,13.6,27.0,final,2020,USA
15,donothan bailey,5.5,7.9,0.0,13.4,27.0,final,2020,USA
15,alex diab,5.6,7.8,0.0,13.4,27.0,final,2020,USA
15,alex diab,5.7,8.0,-0.1,13.6,27.0,final,2020,USA
17,ian gunther,5.0,8.3,0.0,13.3,26.45,final,2020,USA
17,ian gunther,5.0,8.25,-0.1,13.15,26.45,final,2020,USA
18,isaiah drake,5.5,8.15,0.0,13.65,26.35,final,2020,USA
18,isaiah drake,5.4,7.3,0.0,12.7,26.35,final,2020,USA
19,colt walker,5.5,7.7,-0.1,13.1,25.85,final,2020,USA
19,colt walker,5.3,7.45,0.0,12.75,25.85,final,2020,USA
20,sean melton,5.3,7.95,0.0,13.25,25.4,final,2020,USA
20,sean melton,5.5,6.65,0.0,12.15,25.4,final,2020,USA
21,robert neff,6.2,7.0,0.0,13.2,24.85,final,2020,USA
21,robert neff,6.4,5.25,0.0,11.65,24.85,final,2020,USA
22,kiwan watts,5.1,6.95,0.0,12.05,24.35,final,2020,USA
22,kiwan watts,5.1,7.2,0.0,12.3,24.35,final,2020,USA
