Rank,Athlete,Nation,D,E,ND,Total,round,year
1,ibrahim colak,TUR,6.2,8.733,0.0,14.933,final,2019
2,marco lodadio,ITA,6.3,8.6,0.0,14.9,final,2019
3,samir aït saïd,FRA,6.2,8.6,0.0,14.8,final,2019
4,eleftherios petrounias,GRE,6.3,8.433,0.0,14.733,final,2019
5,arthur zanetti,BRA,6.2,8.525,0.0,14.725,final,2019
6,denis abliazin,RUS,6.3,8.366,0.0,14.666,final,2019
7,artur tovmasyan,ARM,6.1,8.1,0.0,14.2,final,2019
8,nick klessing,none,6.1,8.066,0.0,14.166,final,2019
1,ibrahim colak,TUR,6.2,8.658,0.0,14.858,qual,2019
2,arthur zanetti,BRA,6.1,8.6,0.0,14.7,qual,2019
3,samir aït saïd,FRA,6.2,8.5,0.0,14.7,qual,2019
4,eleftherios petrounias,GRE,6.3,8.4,0.0,14.7,qual,2019
5,marco lodadio,ITA,6.3,8.366,0.0,14.666,qual,2019
6,denis abliazin,RUS,6.1,8.5,0.0,14.6,qual,2019
7,nick klessing,none,6.0,8.566,0.0,14.566,qual,2019
8,artur tovmasyan,ARM,6.1,8.466,0.0,14.566,qual,2019
9,igor radivilov,UKR,6.3,8.233,0.0,14.533,qual,2019
10,federico molinari,ARG,6.2,8.3,0.0,14.5,qual,2019
11,mahdi ahmad kohani,IRI,6.2,8.233,0.0,14.433,qual,2019
12,nikita nagornyy,RUS,6.0,8.4,0.0,14.4,qual,2019
13,ali zahran,EGY,6.2,8.2,0.0,14.4,qual,2019
14,andrei muntean,ROU,5.9,8.433,0.0,14.333,qual,2019
15,zou jingyuan,CHN,5.8,8.5,0.0,14.3,qual,2019
16,vinzenz höck,AUT,6.2,8.1,0.0,14.3,qual,2019
17,yuya kamoto,JPN,6.2,8.083,0.0,14.283,qual,2019
18,konstantinos konstantinidis,GRE,6.0,8.133,0.0,14.133,qual,2019
18,artur dalaloyan,RUS,6.0,8.133,0.0,14.133,qual,2019
20,ng kiu chung,HKG,6.2,7.933,0.0,14.133,qual,2019
