Rank,Athlete,Nation,D,E,ND,Total,year,round
1,carlos edriel yulo,PHI,6.2,8.366,0.0,14.566,2019,final
2,hibiki arayashiki,JPN,5.9,8.6,0.0,14.5,2019,final
3,rayderley zapata,ESP,6.1,8.4,0.0,14.5,2019,final
3,dominick cunningham,none,6.1,8.4,0.0,14.5,2019,final
5,kim han-sol,SKR,6.2,8.0,0.0,14.2,2019,final
6,casimir schmidt,NED,6.1,7.733,0.0,13.833,2019,final
7,christopher remkes,AUS,6.9,6.833,0.0,13.733,2019,final
8,ahmet önder,TUR,5.9,7.266,0.0,13.166,2019,final
1,ahmet önder,TUR,5.9,8.366,0.0,14.266,2019,qual
2,rayderley zapata,ESP,6.1,8.225,-0.1,14.225,2019,qual
3,carlos edriel yulo,PHI,6.2,8.033,-0.1,14.133,2019,qual
4,kim han-sol,SKR,6.2,7.933,0.0,14.133,2019,qual
5,hibiki arayashiki,JPN,5.9,8.2,0.0,14.1,2019,qual
6,dominick cunningham,none,5.8,8.266,0.0,14.066,2019,qual
7,casimir schmidt,NED,5.9,8.066,0.0,13.966,2019,qual
8,christopher remkes,AUS,6.3,7.633,-0.1,13.833,2019,qual
9,arthur zanetti,BRA,5.8,7.966,0.0,13.766,2019,qual
10,milad karimi,KAZ,6.0,7.733,0.0,13.733,2019,qual
11,alexander shatilov,ISR,5.4,8.266,0.0,13.666,2019,qual
12,heikki saarenketo,FIN,6.0,7.666,0.0,13.666,2019,qual
13,bram verhofstad,NED,5.9,7.733,-0.1,13.533,2019,qual
14,akim mussayev,KAZ,6.0,7.233,-0.3,12.933,2019,qual
15,zhou caisong,CHN,6.0,6.866,0.0,12.866,2019,qual
16,hung shih-tung,none,5.4,7.633,-0.2,12.833,2019,qual
17,rok klavora,SLO,5.7,7.133,0.0,12.833,2019,qual
18,loris frasca,FRA,5.8,7.033,0.0,12.833,2019,qual
19,daniel villafane,ARG,5.6,7.2,0.0,12.8,2019,qual
20,valgard reinhardsson,ISL,5.3,7.466,0.0,12.766,2019,qual
21,lincoln liqht man,SIN,4.8,7.833,0.0,12.633,2019,qual
22,heath thorpe,AUS,5.7,6.933,0.0,12.633,2019,qual
23,tomomasa hasegawa,JPN,5.4,7.233,-0.1,12.533,2019,qual
24,shin jea-hwan,SKR,5.4,7.333,-0.3,12.433,2019,qual
25,wei an terry tay,SIN,5.5,6.7,0.0,12.2,2019,qual
26,yazan al souliman,SYR,4.9,6.8,0.0,11.7,2019,qual
