Rank,Athlete,Nation,D,E,ND,Total,round,year
1,joe fraser,none,6.6,8.4,0.0,15.0,final,2019
2,ahmet önder,TUR,6.2,8.783,0.0,14.983,final,2019
3,kazuma kaya,JPN,6.3,8.666,0.0,14.966,final,2019
4,xiao ruoteng,CHN,6.4,8.566,0.0,14.9,final,2019
5,ferhat arican,TUR,6.5,8.4,0.0,14.9,final,2019
6,sun wei,CHN,6.2,8.266,0.0,14.466,final,2019
7,petro pakhniuk,UKR,6.5,7.7,0.0,14.2,final,2019
8,lukas dauser,none,6.3,7.533,0.0,13.833,final,2019
1,lukas dauser,none,6.3,8.733,0.0,15.033,qual,2019
2,petro pakhniuk,UKR,6.5,8.533,0.0,15.033,qual,2019
3,joe fraser,none,6.6,8.4,0.0,15.0,qual,2019
4,xiao ruoteng,CHN,6.2,8.766,0.0,14.966,qual,2019
5,ferhat arican,TUR,6.5,8.433,0.0,14.933,qual,2019
6,sun wei,CHN,6.2,8.6,0.0,14.8,qual,2019
6,ahmet önder,TUR,6.2,8.6,0.0,14.8,qual,2019
8,kazuma kaya,JPN,6.3,8.5,0.0,14.8,qual,2019
9,nikita nagornyy,RUS,6.4,8.4,0.0,14.8,qual,2019
10,oleg verniaiev,UKR,6.6,8.2,0.0,14.8,qual,2019
11,artur dalaloyan,RUS,6.4,8.333,0.0,14.733,qual,2019
12,yuya kamoto,JPN,6.5,8.2,0.0,14.7,qual,2019
13,pablo brägger,SUI,6.2,8.466,0.0,14.666,qual,2019
14,caio souza,BRA,6.1,8.533,0.0,14.633,qual,2019
15,kakeru tanigawa,JPN,6.2,8.433,0.0,14.633,qual,2019
16,zou jingyuan,CHN,6.3,8.333,0.0,14.633,qual,2019
17,christian baumann,SUI,5.9,8.666,0.0,14.566,qual,2019
18,akash modi,USA,6.1,8.433,0.0,14.533,qual,2019
19,deng shudi,CHN,6.4,8.066,0.0,14.466,qual,2019
19,dinh phuong thanh,VIE,6.4,8.066,0.0,14.466,qual,2019
21,nicolau mir,ESP,5.8,8.633,0.0,14.433,qual,2019
22,carlos edriel yulo,PHI,5.9,8.533,0.0,14.433,qual,2019
22,andrei muntean,ROU,5.9,8.533,0.0,14.433,qual,2019
