Rank,Athlete,Nation,D,E,ND,Total,round,year
1,zou jingyuan,CHN,7.0,9.433,0.0,16.433,final,2018
2,oleg verniaiev,UKR,6.7,8.891,0.0,15.591,final,2018
3,artur dalaloyan,RUS,6.4,8.966,0.0,15.366,final,2018
4,samuel mikulak,USA,6.4,8.833,0.0,15.233,final,2018
5,lin chaopan,CHN,6.4,8.8,0.0,15.2,final,2018
6,jossimar calvo,COL,6.5,8.533,0.0,15.033,final,2018
7,david belyavskiy,RUS,6.4,8.233,0.0,14.633,final,2018
8,lukas dauser,none,6.0,7.7,0.0,13.7,final,2018
1,zou jingyuan,CHN,6.6,9.2,0.0,15.8,qual,2018
2,oleg verniaiev,UKR,6.7,8.758,0.0,15.458,qual,2018
3,lin chapoan,CHN,6.4,8.866,0.0,15.266,qual,2018
4,jossimar calvo,COL,6.5,8.6,0.0,15.1,qual,2018
5,artur dalaloyan,RUS,6.4,8.641,0.0,15.041,qual,2018
6,david belyavskiy,RUS,6.4,8.633,0.0,15.033,qual,2018
6,samuel mikulak,USA,6.4,8.633,0.0,15.033,qual,2018
8,xiao ruoteng,CHN,6.2,8.8,0.0,15.0,qual,2018
9,nikita nagornyy,RUS,6.4,8.566,0.0,14.966,qual,2018
10,lukas dauser,none,6.3,8.633,0.0,14.933,qual,2018
11,ferhat arican,TUR,6.6,8.266,0.0,14.866,qual,2018
12,yusuke tanaka,JPN,6.3,8.533,0.0,14.833,qual,2018
13,wataru tanigawa,JPN,6.2,8.6,0.0,14.8,qual,2018
13,petro pakhniuk,UKR,6.2,8.6,0.0,14.8,qual,2018
15,caio souza,BRA,6.1,8.666,0.0,14.766,qual,2018
16,sun wei,CHN,5.7,9.033,0.0,14.733,qual,2018
17,dmitrii lankin,RUS,6.4,8.333,0.0,14.733,qual,2018
18,kazuma kaya,JPN,6.3,8.391,0.0,14.691,qual,2018
19,epke zonderland,NED,5.9,8.733,0.0,14.633,qual,2018
20,marcel nguyen,none,6.4,8.166,0.0,14.566,qual,2018
20,dinh phuong thanh,VIE,6.4,8.166,0.0,14.566,qual,2018
22,brinn bevan,none,5.9,8.625,0.0,14.525,qual,2018
23,yul moldauer,USA,5.9,8.6,0.0,14.5,qual,2018
24,james hall,none,6.0,8.466,0.0,14.466,qual,2018
25,kenzo shirai,JPN,6.2,8.266,0.0,14.466,qual,2018
26,andrei muntean,ROU,5.9,8.5,0.0,14.4,qual,2018
27,carlos edriel yulo,PHI,5.7,8.666,0.0,14.366,qual,2018
28,pham phuoc hung,VIE,6.3,8.066,0.0,14.366,qual,2018
29,lee jun-ho,SKR,5.7,8.633,0.0,14.333,qual,2018
30,pablo brägger,SUI,6.3,8.033,0.0,14.333,qual,2018
31,ahmet önder,TUR,6.0,8.3,0.0,14.3,qual,2018
32,philipp herder,none,6.1,8.2,0.0,14.3,qual,2018
33,nicolau mir,ESP,5.5,8.766,0.0,14.266,qual,2018
34,isaac nuñez,MEX,5.6,8.633,0.0,14.233,qual,2018
35,ludovico edalli,ITA,5.8,8.4,0.0,14.2,qual,2018
36,nestor abad,ESP,5.5,8.675,0.0,14.175,qual,2018
37,kim han-sol,SKR,5.6,8.533,0.0,14.133,qual,2018
38,andrey likhovitskiy,BLR,5.5,8.6,0.0,14.1,qual,2018
39,vladyslav hryko,UKR,5.7,8.4,0.0,14.1,qual,2018
40,ruben lopez,ESP,5.6,8.466,0.0,14.066,qual,2018
41,eddy yusof,SUI,6.0,8.066,0.0,14.066,qual,2018
42,marco sarrugerio,ITA,5.5,8.533,0.0,14.033,qual,2018
42,frank rijken,NED,5.5,8.533,0.0,14.033,qual,2018
44,casimir schmidt,NED,5.2,8.766,0.0,13.966,qual,2018
45,tomas kuzmickas,LTU,5.4,8.566,0.0,13.966,qual,2018
46,arthur mariano,BRA,5.2,8.733,0.0,13.933,qual,2018
47,cory paterson,CAN,5.5,8.433,0.0,13.933,qual,2018
48,ilias georgiou,CYP,5.2,8.7,0.0,13.9,qual,2018
49,samuel zakutney,CAN,5.4,8.5,0.0,13.9,qual,2018
50,randy leru,CUB,5.9,8.0,0.0,13.9,qual,2018
50,joe fraser,none,5.9,8.0,0.0,13.9,qual,2018
52,bram louwije,NED,5.5,8.366,0.0,13.866,qual,2018
53,dominick cunningham,none,5.6,8.266,0.0,13.866,qual,2018
53,bae ga-ram,SKR,5.6,8.266,0.0,13.866,qual,2018
55,carlo macchini,ITA,5.2,8.633,0.0,13.833,qual,2018
56,andreas toba,none,5.3,8.5,0.0,13.8,qual,2018
57,akim mussayev,KAZ,5.2,8.566,0.0,13.766,qual,2018
58,park min-soo,SKR,5.3,8.466,0.0,13.766,qual,2018
59,ri yong min,none,5.8,7.966,0.0,13.766,qual,2018
60,rene cournoyer,CAN,5.5,8.233,0.0,13.733,qual,2018
61,alec yoder,USA,5.0,8.7,0.0,13.7,qual,2018
62,paul degouy,FRA,5.1,8.6,0.0,13.7,qual,2018
62,nikolaos iliopoulos,GRE,5.1,8.6,0.0,13.7,qual,2018
64,zachary clay,CAN,5.6,8.1,0.0,13.7,qual,2018
65,noah kuavita,BEL,5.7,8.0,0.0,13.7,qual,2018
