Rank,Athlete,Nation,FX,PH,SR,VT,PB,HB,AA,round,year
1,nikita nagornyy,RUS,15.041,14.566,14.633,15.066,15.3,14.166,88.772,final,2019
2,artur dalaloyan,RUS,15.2,14.0,14.433,14.066,15.233,14.233,87.165,final,2019
3,oleg verniaiev,UKR,14.166,14.866,14.0,14.8,15.475,13.666,86.973,final,2019
4,xiao ruoteng,CHN,15.025,15.0,13.933,14.8,15.266,12.666,86.69,final,2019
5,sun wei,CHN,14.033,14.991,13.966,14.6,14.933,14.0,86.523,final,2019
6,kazuma kaya,JPN,14.3,14.566,14.3,14.0,15.0,13.733,85.899,final,2019
7,samuel mikulak,USA,14.4,13.0,14.0,14.266,15.325,14.7,85.691,final,2019
8,joe fraser,none,14.166,13.8,13.966,14.266,14.9,14.0,85.098,final,2019
9,petro pakhniuk,UKR,14.033,14.233,13.433,14.566,14.9,13.766,84.931,final,2019
10,carlos edriel yulo,PHI,14.633,12.816,13.666,14.6,14.833,13.5,84.048,final,2019
11,tang chia-hung,none,14.2,13.1,13.6,14.283,13.933,14.7,83.816,final,2019
12,lee chih kai,none,14.3,15.0,13.166,14.366,13.866,13.1,83.798,final,2019
13,caio souza,BRA,13.833,13.033,13.933,14.366,14.7,13.9,83.765,final,2019
14,james hall,none,14.2,14.066,13.633,14.633,14.2,12.8,83.532,final,2019
15,pablo brägger,SUI,14.225,13.2,13.4,12.9,14.666,14.433,82.824,final,2019
16,yul moldauer,USA,13.666,13.133,13.733,14.366,14.666,12.766,82.33,final,2019
17,ludovico edalli,ITA,13.533,13.8,13.366,13.866,13.6,13.733,81.898,final,2019
18,loris frasca,FRA,14.066,13.566,12.933,14.833,13.433,13.033,81.864,final,2019
19,andreas toba,none,13.5,12.566,13.6,14.366,13.908,13.7,81.64,final,2019
20,lee jung-hyo,SKR,13.666,14.0,13.566,14.2,14.0,11.991,81.423,final,2019
21,milad karimi,KAZ,14.3,11.833,13.133,13.366,14.1,13.4,80.132,final,2019
22,nestor abad,ESP,12.2,12.666,13.7,14.233,13.766,13.533,80.098,final,2019
23,oliver hegi,SUI,12.266,14.233,12.766,12.966,14.066,12.333,78.63,final,2019
24,robert tvorogal,LTU,13.233,11.633,13.166,13.7,13.833,11.7,77.265,final,2019
1,nikita nagornyy,RUS,14.9,14.033,14.4,14.9,14.8,14.3,87.333,qual,2019
2,artur dalaloyan,RUS,14.733,13.366,14.133,15.133,14.733,14.433,86.531,qual,2019
3,xiao ruoteng,CHN,14.833,13.4,13.833,14.766,14.966,14.033,85.831,qual,2019
4,kazuma kaya,JPN,13.933,14.633,14.033,14.266,14.8,14.066,85.731,qual,2019
5,sun wei,CHN,14.166,12.9,14,14.7,14.8,14.333,84.899,qual,2019
6,petro pakhniuk,UKR,14.133,13.7,13.466,14.5,15.033,13.766,84.598,qual,2019
7,lee chih kai,none,14.333,14.966,13.5,14.483,13.966,13.233,84.481,qual,2019
8,oleg verniaiev,UKR,13,14.6,13.933,14.733,14.8,13.233,84.299,qual,2019
9,pablo brägger,SUI,14.141,13.266,13.266,14.2,14.666,13.966,83.505,qual,2019
10,ivan stretovich,RUS,13.766,13.733,13.341,14.266,14.266,14.066,83.438,qual,2019
11,yul moldauer,USA,14.466,12.666,13.8,14.533,14.4,13.033,82.898,qual,2019
12,oliver hegi,SUI,13.733,12.566,13.233,14.5,14.433,14.366,82.831,qual,2019
13,andreas toba,none,13.633,13.566,14,14.166,13.8,13.616,82.781,qual,2019
14,tang chia-hung,none,14.166,11.766,13.766,14.566,13.566,14.933,82.763,qual,2019
15,deng shudi,CHN,14.166,12.366,14.1,13.7,14.466,13.9,82.698,qual,2019
16,joe fraser,none,13.8,13.5,13.866,14.066,15,12.333,82.565,qual,2019
17,kim han-sol,SKR,14.666,12.7,13.533,14.566,14,12.966,82.431,qual,2019
18,carlos edriel yulo,PHI,14.633,12.466,13.166,14.433,14.433,13.033,82.164,qual,2019
19,nestor abad,ESP,14.1,13,13.6,14.266,14,12.966,81.932,qual,2019
20,james hall,none,14.166,12,13.766,14.066,13.766,14.166,81.93,qual,2019
21,manrique larduet,CUB,13.833,12.8,13.666,14.633,13.1,13.866,81.898,qual,2019
22,caio souza,BRA,14.033,13.033,14.066,14.466,14.633,11.666,81.897,qual,2019
23,yevgen yudenkov,UKR,14.133,13.533,13.666,13.733,14.033,12.733,81.831,qual,2019
24,lee jung-hyo,SKR,13.433,13.566,13.566,13.633,14.266,13.366,81.83,qual,2019
25,ludovico edalli,ITA,13.833,13.566,13.166,14,13.9,13.233,81.698,qual,2019
26,milad karimi,KAZ,14.433,11.8,13.1,14.366,14,13.9,81.599,qual,2019
27,samuel mikulak,USA,11.533,12.6,13.7,14.566,14.333,14.866,81.598,qual,2019
28,loris frasca,FRA,14.166,13.533,13.1,14.433,13.266,13.1,81.598,qual,2019
29,robert tvorogal,LTU,13.566,12.866,13.2,13.733,14.1,14.075,81.54,qual,2019
30,alexander shatilov,ISR,14.3,13.3,12.766,14.041,13.6,13.5,81.507,qual,2019
