Rank,Athlete,Nation,D,E,ND,Total,round,year
1,artur avetisyan,ARM,5.9,9.0,0.0,14.9,final,2019
2,ibrahim colak,TUR,6.2,8.6,0.0,14.8,final,2019
2,vinzenz höck,AUT,6.2,8.6,0.0,14.8,final,2019
4,wataru tanigawa,JPN,6.0,8.65,0.0,14.65,final,2019
5,ahmet önder,TUR,6.0,8.45,0.0,14.45,final,2019
6,kazuma kaya,JPN,6.1,8.35,0.0,14.45,final,2019
7,alexander diab,USA,5.8,8.5,0.0,14.3,final,2019
8,tang chia-hung,none,5.5,8.625,0.0,14.125,final,2019
1,ibrahim colak,TUR,6.2,8.65,0.0,14.85,qual,2019
2,artur avetisyan,ARM,5.9,8.85,0.0,14.75,qual,2019
3,vinzenz höck,AUT,5.9,8.55,0.0,14.45,qual,2019
4,wataru tanigawa,JPN,6.0,8.45,0.0,14.45,qual,2019
5,alexander diab,USA,5.8,8.55,0.0,14.35,qual,2019
6,kazuma kaya,JPN,6.1,8.2,0.0,14.3,qual,2019
7,tang chia-hung,none,5.5,8.75,0.0,14.25,qual,2019
8,ahmet önder,TUR,6.0,8.25,0.0,14.25,qual,2019
9,marco sarrugerio,ITA,5.5,8.55,0.0,14.05,qual,2019
10,andrea russo,ITA,5.5,8.475,0.0,13.975,qual,2019
11,kakeru tanigawa,JPN,5.4,8.55,0.0,13.95,qual,2019
12,fabian de luna,MEX,5.8,8.1,0.0,13.9,qual,2019
13,eduard yermakov,UKR,5.5,8.375,0.0,13.875,qual,2019
14,lee jung-hyo,SKR,5.6,8.25,0.0,13.85,qual,2019
15,vladyslav hryko,UKR,5.5,8.3,0.0,13.8,qual,2019
16,kirill prokopev,RUS,5.0,8.6,0.0,13.6,qual,2019
17,kim han-sol,SKR,5.5,8.1,0.0,13.6,qual,2019
18,ilya kibartas,RUS,6.2,7.4,0.0,13.6,qual,2019
19,luis porto,BRA,4.5,9.0,0.0,13.5,qual,2019
20,ivan stretovich,RUS,4.9,8.55,0.0,13.45,qual,2019
21,michael tone,AUS,5.3,8.15,0.0,13.45,qual,2019
22,maxime gentges,BEL,4.9,8.5,0.0,13.4,qual,2019
23,ivan tikhonov,AZE,5.3,8.1,0.0,13.4,qual,2019
24,joonas kukkonen,FIN,5.4,8.0,0.0,13.4,qual,2019
25,lee chih-kai,none,5.3,8.0,0.0,13.3,qual,2019
26,marco walter,SUI,4.8,8.45,0.0,13.25,qual,2019
27,fellipe ferreira,BRA,5.0,8.25,0.0,13.25,qual,2019
28,stefano patron,ITA,4.8,8.4,0.0,13.2,qual,2019
29,antoine pochon,FRA,4.2,8.95,0.0,13.15,qual,2019
30,justin pesesse,BEL,4.7,8.45,0.0,13.15,qual,2019
31,damien cachia,CAN,5.7,7.45,0.0,13.15,qual,2019
32,martino morosi,SUI,4.2,8.9,0.0,13.1,qual,2019
33,tom nicolaou,CYP,4.4,8.7,0.0,13.1,qual,2019
34,hsu ping-chien,none,4.5,8.55,0.0,13.05,qual,2019
35,milad karimi,KAZ,4.6,8.45,0.0,13.05,qual,2019
36,antoine borello,FRA,4.6,8.35,0.0,12.95,qual,2019
37,abdulla azimov,UZB,4.3,8.6,0.0,12.9,qual,2019
38,jeremy bartholomeusz,CAN,4.3,8.5,0.0,12.8,qual,2019
39,julian jato,ARG,4.4,8.4,0.0,12.8,qual,2019
40,lee seung-min,SKR,4.8,8.0,0.0,12.8,qual,2019
41,sviataslau dranitski,BLR,4.7,8.0,0.0,12.7,qual,2019
42,guilherme campos,POR,3.9,8.75,0.0,12.65,qual,2019
43,bernardo almeida,POR,5.1,7.5,0.0,12.6,qual,2019
44,franz card,FIN,4.2,8.35,0.0,12.55,qual,2019
45,rasuljon abdurakhimov,UZB,3.6,8.9,0.0,12.5,qual,2019
46,luka bojanc,SLO,4.3,8.2,0.0,12.5,qual,2019
47,killian mermet,FRA,4.7,7.75,0.0,12.45,qual,2019
48,roland modoianu,ROU,5.1,7.2,0.0,12.3,qual,2019
49,alexander benda,AUT,3.8,8.4,0.0,12.2,qual,2019
50,ivo chiapponi,ARG,4.1,8.1,0.0,12.2,qual,2019
51,hudson irwin,AUS,4.2,8.0,0.0,12.2,qual,2019
52,robert ghiuzan,ROU,5.1,7.0,0.0,12.1,qual,2019
53,nikolai rønbeck,NOR,3.8,8.2,0.0,12.0,qual,2019
54,batuhan yazici,NZL,4.2,7.6,0.0,11.8,qual,2019
55,heath thorpe,AUS,4.1,7.4,0.0,11.5,qual,2019
