Rank,Athlete,Nation,D,E,ND,Total
1,eleftherios petrounias,GRE,6.3,8.8,0.0,15.1
2,liu yang,CHN,6.4,8.6,0.0,15.0
3,lan xingyu,CHN,6.4,8.533,0.0,14.933
4,arthur zanetti,BRA,6.2,8.566,0.0,14.766
5,courtney tulloch,,6.2,8.433,0.0,14.633
6,igor radivilov,UKR,6.0,8.6,0.0,14.6
7,ali zahran,EGY,6.2,8.233,0.0,14.433
8,ng kiu chung,HKG,6.0,8.133,0.0,14.133
9,konstantinos konstantinidis,GRE,6.1,7.758,0.0,13.858
10,yunus gündogdu,TUR,5.9,7.933,0.0,13.833
11,alexey rostov,RUS,5.5,8.266,0.0,13.766
12,abdelrahman magdy elgamal,TUR,5.7,8.033,0.0,13.733
13,federico molinari,ARG,5.9,7.8,0.0,13.7
14,mahdi ahmad kohani,IRI,6.2,7.266,0.0,13.466
15,javidan babayev,AZE,6.0,7.433,0.0,13.433
16,mitchell morgans,AUS,4.9,8.333,0.0,13.233
17,marco rizzo,SUI,5.7,7.533,0.0,13.233
18,rick jacobs,NED,5.0,8.066,0.0,13.066
19,takaaki sugino,JPN,5.3,7.6,0.0,12.9
20,ivan tikhonov,AZE,5.7,7.133,0.0,12.833
21,sebastian gawronski,POL,4.6,8.133,0.0,12.733
22,casimir schmidt,NED,5.1,7.633,0.0,12.733
23,dmitriy patanin,KAZ,4.5,8.066,0.0,12.566
24,lin guan-yi,,5.3,7.0,0.0,12.3
25,filip sasnal,POL,4.2,7.633,0.0,11.833
26,konstantin kuzovkov,GEO,3.6,8.0,0.0,11.6
27,tseng wei-sheng,,4.4,6.333,0.0,10.733
