Rank,Athlete,Nation,D,E,ND,Total,round,year
1,tang chia-hung,none,6.3,8.4,0.0,14.7,final,2019
2,milad karimi,KAZ,6.1,8.575,0.0,14.675,final,2019
3,ivan stretovich,RUS,6.1,8.5,0.0,14.6,final,2019
4,ahmet önder,TUR,5.7,8.55,0.0,14.25,final,2019
5,antoine borello,FRA,5.9,7.85,0.0,13.75,final,2019
6,fellipe ferreira,BRA,5.5,7.85,0.0,13.35,final,2019
7,kakeru tanigawa,JPN,5.5,7.8,0.0,13.3,final,2019
8,wataru tanigawa,JPN,5.3,7.65,0.0,12.95,final,2019
9,andrea russo,ITA,5.2,7.5,0.0,12.7,final,2019
1,tang chia-hung,none,6.0,8.7,0.0,14.7,qual,2019
2,kakeru tanigawa,JPN,5.9,8.725,0.0,14.625,qual,2019
3,wataru tanigawa,JPN,5.8,8.5,0.0,14.3,qual,2019
4,ivan stretovich,RUS,5.9,8.35,0.0,14.25,qual,2019
5,kazuma kaya,JPN,6.0,8.25,0.0,14.25,qual,2019
6,milad karimi,KAZ,6.1,8.15,0.0,14.25,qual,2019
7,antoine borello,FRA,5.9,7.95,0.0,13.85,qual,2019
8,ahmet önder,TUR,5.7,8.125,0.0,13.825,qual,2019
9,fellipe ferreira,BRA,5.5,8.2,0.0,13.7,qual,2019
10,andrea russo,ITA,5.5,8.2,0.0,13.7,qual,2019
11,kirill prokopev,RUS,5.0,8.65,0.0,13.65,qual,2019
12,alexander diab,USA,5.1,8.5,0.0,13.6,qual,2019
13,martino morosi,SUI,4.6,8.95,0.0,13.55,qual,2019
14,vladyslav hryko,UKR,4.9,8.55,0.0,13.45,qual,2019
15,hsu ping-chien,none,4.6,8.75,0.0,13.35,qual,2019
16,jacob buus,DEN,4.9,8.45,0.0,13.35,qual,2019
17,maxime gentges,BEL,5.2,8.15,0.0,13.35,qual,2019
18,stefano patron,ITA,5.0,8.3,0.0,13.3,qual,2019
19,alexander benda,AUT,5.3,8.0,0.0,13.3,qual,2019
20,franz card,FIN,4.5,8.7,0.0,13.2,qual,2019
21,bernardo almeida,POR,5.0,8.2,0.0,13.2,qual,2019
22,marco sarrugerio,ITA,4.6,8.55,0.0,13.15,qual,2019
23,justin pesesse,BEL,5.2,7.95,0.0,13.15,qual,2019
24,jeremy bartholomeusz,CAN,4.8,8.325,0.0,13.125,qual,2019
25,vinzenz höck,AUT,4.9,8.2,0.0,13.1,qual,2019
26,antoine pochon,FRA,4.9,8.175,0.0,13.075,qual,2019
27,lee seung-min,SKR,4.6,8.45,0.0,13.05,qual,2019
28,killian mermet,FRA,4.7,8.3,0.0,13.0,qual,2019
29,marco walter,SUI,3.8,9.075,0.0,12.875,qual,2019
30,kim han-sol,SKR,4.4,8.45,0.0,12.85,qual,2019
31,heath thorpe,AUS,4.5,8.35,0.0,12.85,qual,2019
32,harvey humber,NZL,4.0,8.7,0.0,12.7,qual,2019
33,julian jato,ARG,4.0,8.65,0.0,12.65,qual,2019
34,luis porto,BRA,4.6,8.0,0.0,12.6,qual,2019
35,hudson irwin,AUS,4.4,8.1,0.0,12.5,qual,2019
36,lee chih-kai,none,4.6,7.8,0.0,12.4,qual,2019
37,michael tone,AUS,4.3,8.05,0.0,12.35,qual,2019
38,lee jung-hyo,SKR,5.1,7.25,0.0,12.35,qual,2019
39,ivo chiapponi,ARG,3.8,8.5,0.0,12.3,qual,2019
40,jacob bonnay,CAN,4.6,7.7,0.0,12.3,qual,2019
41,fabian de luna,MEX,4.3,7.95,0.0,12.25,qual,2019
42,roland modoianu,ROU,4.6,7.65,0.0,12.25,qual,2019
43,guilherme campos,POR,3.6,8.55,0.0,12.15,qual,2019
44,batuhan yazici,NZL,3.9,8.15,0.0,12.05,qual,2019
45,ivan tikhonov,AZE,4.6,7.45,0.0,12.05,qual,2019
46,eduard yermakov,UKR,3.8,8.2,0.0,12.0,qual,2019
47,sviataslau dranitski,BLR,4.3,7.65,0.0,11.95,qual,2019
48,tom nicolaou,CYP,4.2,7.7,0.0,11.9,qual,2019
49,robert ghiuzan,ROU,4.2,6.45,0.0,10.65,qual,2019
50,neofytos kyriakou,CYP,3.8,6.15,0.0,9.95,qual,2019
