Rank,Athlete,Nation,D,E,ND,Total,year,round
1,you hao,CHN,6.8,8.2,0.0,15.0,2020,qual
2,vladislav poliashov,RUS,6.2,8.7,0.0,14.9,2020,qual
3,ferhat arican,TUR,6.6,7.875,0.0,14.475,2020,qual
4,dinh phuong thanh,VIE,6.4,8.0,0.0,14.4,2020,qual
5,mikhail koudinov,NZL,5.8,8.5,0.0,14.3,2020,qual
6,ahmet önder,TUR,6.6,7.666,0.0,14.266,2020,qual
7,milad karimi,KAZ,5.8,8.4,0.0,14.2,2020,qual
8,taha serhani,SUI,5.7,8.466,0.0,14.166,2020,qual
9,isaac nuñez,MEX,5.6,8.425,0.0,14.025,2020,qual
10,frank rijken,NED,5.6,8.366,0.0,13.966,2020,qual
11,thierno diallo,ESP,5.7,8.166,0.0,13.866,2020,qual
12,andrey likhovitskiy,BLR,5.5,8.333,0.0,13.833,2020,qual
13,takaaki sugino,JPN,5.6,8.233,0.0,13.833,2020,qual
14,tyson bull,AUS,5.4,8.366,0.0,13.766,2020,qual
15,julian jato,ARG,5.0,8.5,0.0,13.5,2020,qual
16,farukh nabiyev,KAZ,5.3,8.2,0.0,13.5,2020,qual
17,noe seifert,SUI,5.8,7.633,0.0,13.433,2020,qual
18,ethan dick,NZL,4.9,8.5,0.0,13.4,2020,qual
19,mitchell morgans,AUS,5.8,7.508,0.0,13.308,2020,qual
20,filip sasnal,POL,4.2,8.633,0.0,12.833,2020,qual
21,levan skhiladze,GEO,4.6,7.816,0.0,12.416,2020,qual
22,ioane jimsheleishvili,GEO,4.6,7.733,0.0,12.333,2020,qual
23,sergei eltsov,RUS,4.5,7.7,0.0,12.2,2020,qual
24,yordan aleksandrov,BUL,5.2,6.9,0.0,12.1,2020,qual
25,sebastian gawronski,POL,4.8,7.2,0.0,12.0,2020,qual
26,carlos edriel yulo,PHI,5.9,6.0,0.0,11.9,2020,qual
27,rick jacobs,NED,4.4,6.9,0.0,11.3,2020,qual
28,lee chih-kai,,5.1,5.766,0.0,10.866,2020,qual
29,aghamurad gahramanov,AZE,4.3,6.4,0.0,10.7,2020,qual
30,nikolaos iliopoulos,GRE,4.1,6.4,0.0,10.5,2020,qual
31,murad agharzayev,AZE,5.3,5.1,0.0,10.4,2020,qual
