Rank,Athlete,Nation,D,E,ND,Total,D.1,E.1,ND.1,Total.1,Average,year,round
1,shin jea-hwan,SKR,6.0,9.2,0.0,15.2,5.6,8.966,0.0,14.566,14.883,2020,qual
2,andrey medvedev,ISR,5.6,8.966,0.0,14.566,5.6,9.166,0.0,14.766,14.666,2020,qual
3,igor radivilov,UKR,5.6,9.066,0.0,14.666,5.6,9.033,0.0,14.633,14.649,2020,qual
4,james bacueti,AUS,5.6,9.066,0.0,14.666,5.2,9.266,0.0,14.466,14.566,2020,qual
5,yahor sharamkou,BLR,5.2,9.2,0.0,14.4,5.6,9.033,0.0,14.633,14.516,2020,qual
6,courtney tulloch,,5.6,8.9,0.0,14.5,5.6,8.9,0.0,14.5,14.5,2020,qual
7,abdelrahman magdy elgamal,TUR,5.6,9.066,0.0,14.666,5.6,8.8,-0.1,14.3,14.483,2020,qual
8,jorge vega lopez,GUA,5.6,8.933,-0.1,14.433,5.2,9.233,0.0,14.433,14.433,2020,qual
9,sviataslau drantitski,BLR,5.2,9.2,0.0,14.4,5.2,9.0,0.0,14.2,14.3,2020,qual
10,hidenobu yonekura,JPN,5.6,8.7,0.0,14.3,5.2,8.9,0.0,14.1,14.2,2020,qual
11,audrys nin reyes,DOM,6.0,8.133,-0.3,13.833,5.6,8.966,0.0,14.566,14.199,2020,qual
12,marco rizzo,SUI,5.2,8.933,0.0,14.133,5.2,9.066,0.0,14.266,14.199,2020,qual
13,milad karimi,KAZ,5.2,9.4,0.0,14.6,5.2,8.666,-0.3,13.566,14.083,2020,qual
14,carlos edriel yulo,PHI,5.6,7.866,-0.3,13.166,5.6,9.066,0.0,14.666,13.916,2020,qual
15,shek wai hung,HKG,6.0,7.866,-0.1,13.766,6.0,7.966,-0.3,13.666,13.716,2020,qual
16,farukh nabiyev,KAZ,5.2,9.066,0.0,14.266,4.8,8.6,-0.3,13.1,13.683,2020,qual
17,ivan tikhonov,AZE,5.6,8.033,0.0,13.633,4.8,8.933,0.0,13.733,13.683,2020,qual
18,murad agharzayev,AZE,5.2,8.966,-0.1,14.066,5.2,8.033,0.0,13.233,13.649,2020,qual
19,marian dragulescu,ROU,5.0,9.066,0.0,14.066,5.2,8.0,0.0,13.2,13.633,2020,qual
20,sebastian gawronski,POL,5.2,8.133,-0.1,13.233,5.2,8.666,-0.1,13.766,13.499,2020,qual
21,jan gwynn timbang,PHI,5.2,8.7,-0.1,13.8,4.0,9.033,0.0,13.033,13.416,2020,qual
22,mustafa arca,TUR,5.2,8.0,-0.3,12.9,5.2,8.666,0.0,13.866,13.383,2020,qual
23,konstantin kuzovkov,GEO,4.8,8.866,0.0,13.666,5.2,8.1,-0.2,13.1,13.383,2020,qual
24,georgios garivaldis,GRE,5.2,8.233,-0.3,13.133,4.8,8.7,0.0,13.5,13.316,2020,qual
25,filip sasnal,POL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,qual
