Rank,Athlete,Nation,FX,PH,SR,VT,PB,HB,AA
1,Kazuma Kaya,Japan,14.45,14.6,14.6,14.3,15.05,14,87
2,Ivan Stretovich,Russia,14,14.075,13.6,14.4,14.25,14.05,84.375
3,Lee Chih-Kai,Chinese Taipei,14.25,15.225,13.15,14.225,13.85,13.25,83.95
4,Kakeru Tanigawa,Japan,14.2,13.425,14.05,14.35,14.85,12.85,83.725
5,Milad Karimi,Kazakhstan,14.25,12.9,13.15,14.5,14.35,14,83.15
6,Lee Jung-hyo,South Korea,12.4,14.35,14.05,14.2,14.15,13.3,82.45
7,Andrea Russo,Italy,14.05,12.75,14,13.75,13.6,13.65,81.8
8,Vladyslav Hryko,Ukraine,12.6,13.75,13.6,13.8,14.2,13.3,81.25
9,Stefano Patron,Italy,13.05,13.1,13.2,13.85,14,13.25,80.45
10,Kirill Prokopev,Russia,14.8,12.55,13.4,14.1,13.475,11.8,80.125
11,Ivan Tikhonov,Azerbaijan,14.2,13.4,12.7,13.75,12.3,13.25,79.6
12,Killian Mermet,France,13.55,12.6,12.25,14.05,13.85,12.8,79.1
13,Michael Tone,Australia,13.1,12.8,13.525,13.6,12.9,12.875,78.8
14,Hsu Ping-Chien,Chinese Taipei,12.95,13.575,11.8,14.25,12.75,13.1,78.425
15,Lee Seung-min,South Korea,12.25,13.2,12,13.85,13.5,13.2,78
16,Martino Morosi,Switzerland,12.65,11.1,12.9,13.85,12,13.4,75.9
17,Antoine Borello,France,12.75,11,12.8,13.75,13.75,11.75,75.8
18,Luis Porto,Brazil,12.65,11.45,12.85,14.25,12.05,12.2,75.45
