Rank,Athlete,Nation,D,E,ND,Total
1,Kakeru Tanigawa,Japan,6.2,8.75,,14.95
2,Ahmet Önder,Turkey,6.2,8.6,,14.8
3,Kazuma Kaya,Japan,6.3,8.15,,14.45
4,Wataru Tanigawa,Japan,6.4,8.05,,14.45
5,Lee Chih-Kai,Chinese Taipei,5.8,8.6,,14.4
6,Ivan Stretovich,Russia,5.9,8.5,,14.4
7,Milad Karimi,Kazakhstan,5.7,8.45,,14.15
8,Marco Sarrugerio,Italy,5.5,8.6,,14.1
9,Stefano Patron,Italy,5.5,8.55,,14.05
10,Antoine Borello,France,5.2,8.8,,14
11,Andrea Russo,Italy,5.7,8.3,,14
12,Ivan Tikhonov,Azerbaijan,5.4,8.5,,13.9
13,Lee Jung-hyo,South Korea,5.8,8.1,,13.9
14,Ibrahim Colak,Turkey,5.7,8.1,,13.8
15,Killian Mermet,France,5.5,8.5,-0.3,13.7
16,Tang Chia-Hung,Chinese Taipei,4.4,9.25,,13.65
17,Lee Seung-min,South Korea,5.5,8.1,,13.6
18,Maxime Gentges,Belgium,5.1,8.45,,13.55
19,Marco Walter,Switzerland,4.8,8.7,,13.5
20,Julian Jato,Argentina,5,8.5,,13.5
21,Luis Porto,Brazil,4.9,8.5,,13.4
22,Eduard Yermakov,Ukraine,5.8,7.55,,13.35
23,Fabian de Luna,Mexico,5.4,7.9,,13.3
24,Alexander Benda,Austria,4.8,8.45,,13.25
25,Vladyslav Hryko,Ukraine,5.1,8.15,,13.25
26,Kim Han-sol,South Korea,5.3,7.95,,13.25
27,Bernardo Almeida,Portugal,4.8,8.35,,13.15
28,Vinzenz Höck,Austria,4.5,8.5,,13
29,Michael Tone,Australia,4.6,8.4,,13
30,Kirill Prokopev,Russia,5,8,,13
31,Jacob Bonnay,Canada,4.5,8.475,,12.975
32,Franz Card,Finland,4.8,8.1,,12.9
33,Hsu Ping-Chien,Chinese Taipei,4.7,8.15,,12.85
34,Justin Pesesse,Belgium,5.2,7.65,,12.85
35,Antoine Pochon,France,5,7.8,,12.8
36,Martino Morosi,Switzerland,4.4,8.35,,12.75
37,Roland Modoianu,Romania,4.8,7.85,,12.65
38,Hudson Irwin,Australia,4.4,8,,12.4
39,Heath Thorpe,Australia,3.6,8.5,,12.1
40,Fellipe Ferreira,Brazil,5.5,6.875,-0.3,12.075
41,Tom Nicolaou,Cyprus,4.8,7.1,,11.9
42,Rasuljon Abdurakhimov,Uzbekistan,3.3,8.55,,11.85
43,Ivo Chiapponi,Argentina,3.9,7.95,,11.85
44,Nikolai Rønbeck,Norway,3.8,7.85,,11.65
45,Guilherme Campos,Portugal,3.8,7.75,,11.55
46,Abdulla Azimov,Uzbekistan,4.5,7.05,,11.55
47,Batuhan Yazici,New Zealand,3.8,7.2,,11
48,Robert Ghiuzan,Romania,4.8,6.2,,11
49,Jeremy Bartholomeusz,Canada,4.2,6.7,,10.9
50,Sviataslau Dranitski,Belarus,4.2,6.2,,10.4
