Rank,Athlete,Nation,D,E,ND,Total
1,Tang Chia-Hung,Chinese Taipei,6,8.7,,14.7
2,Kakeru Tanigawa,Japan,5.9,8.725,,14.625
3,Wataru Tanigawa,Japan,5.8,8.5,,14.3
4,Ivan Stretovich,Russia,5.9,8.35,,14.25
5,Kazuma Kaya,Japan,6,8.25,,14.25
6,Milad Karimi,Kazakhstan,6.1,8.15,,14.25
7,Antoine Borello,France,5.9,7.95,,13.85
8,Ahmet Önder,Turkey,5.7,8.125,,13.825
9,Fellipe Ferreira,Brazil,5.5,8.2,,13.7
10,Andrea Russo,Italy,5.5,8.2,,13.7
11,Kirill Prokopev,Russia,5,8.65,,13.65
12,Alexander Diab,United States,5.1,8.5,,13.6
13,Martino Morosi,Switzerland,4.6,8.95,,13.55
14,Vladyslav Hryko,Ukraine,4.9,8.55,,13.45
15,Hsu Ping-Chien,Chinese Taipei,4.6,8.75,,13.35
16,Jacob Buus,Denmark,4.9,8.45,,13.35
17,Maxime Gentges,Belgium,5.2,8.15,,13.35
18,Stefano Patron,Italy,5,8.3,,13.3
19,Alexander Benda,Austria,5.3,8,,13.3
20,Franz Card,Finland,4.5,8.7,,13.2
21,Bernardo Almeida,Portugal,5,8.2,,13.2
22,Marco Sarrugerio,Italy,4.6,8.55,,13.15
23,Justin Pesesse,Belgium,5.2,7.95,,13.15
24,Jeremy Bartholomeusz,Canada,4.8,8.325,,13.125
25,Vinzenz Höck,Austria,4.9,8.2,,13.1
26,Antoine Pochon,France,4.9,8.175,,13.075
27,Lee Seung-min,South Korea,4.6,8.45,,13.05
28,Killian Mermet,France,4.7,8.3,,13
29,Marco Walter,Switzerland,3.8,9.075,,12.875
30,Kim Han-sol,South Korea,4.4,8.45,,12.85
31,Heath Thorpe,Australia,4.5,8.35,,12.85
32,Harvey Humber,New Zealand,4,8.7,,12.7
33,Julian Jato,Argentina,4,8.65,,12.65
34,Luis Porto,Brazil,4.6,8,,12.6
35,Hudson Irwin,Australia,4.4,8.1,,12.5
36,Lee Chih-Kai,Chinese Taipei,4.6,7.8,,12.4
37,Michael Tone,Australia,4.3,8.05,,12.35
38,Lee Jung-hyo,South Korea,5.1,7.25,,12.35
39,Ivo Chiapponi,Argentina,3.8,8.5,,12.3
40,Jacob Bonnay,Canada,4.6,7.7,,12.3
41,Fabian de Luna,Mexico,4.3,7.95,,12.25
42,Roland Modoianu,Romania,4.6,7.65,,12.25
43,Guilherme Campos,Portugal,3.6,8.55,,12.15
44,Batuhan Yazici,New Zealand,3.9,8.15,,12.05
45,Ivan Tikhonov,Azerbaijan,4.6,7.45,,12.05
46,Eduard Yermakov,Ukraine,3.8,8.2,,12
47,Sviataslau Dranitski,Belarus,4.3,7.65,,11.95
48,Tom Nicolaou,Cyprus,4.2,7.7,,11.9
49,Robert Ghiuzan,Romania,4.2,6.45,,10.65
50,Neofytos Kyriakou,Cyprus,3.8,6.15,,9.95
