Rank,Athlete,Nation,D,E,ND,Total
1,Kirill Prokopev,Russia,6.2,8.9,,15.1
2,Kazuma Kaya,Japan,5.8,9,,14.8
3,Kakeru Tanigawa,Japan,5.9,8.825,,14.725
4,Milad Karimi,Kazakhstan,6.2,8.35,,14.55
5,Wataru Tanigawa,Japan,6,8.35,,14.35
6,Marco Walter,Switzerland,5.7,8.55,,14.25
7,Kim Han-sol,South Korea,5.9,8.35,,14.25
8,Andrea Russo,Italy,5.5,8.55,,14.05
9,Alexander Diab,United States,5.6,8.325,,13.925
10,Lee Chih-Kai,Chinese Taipei,5.5,8.65,-0.3,13.85
11,Ivan Stretovich,Russia,5.4,8.45,,13.85
11,Ivan Tikhonov,Azerbaijan,5.4,8.45,,13.85
13,Antoine Borello,France,5.2,8.6,,13.8
14,Lee Jung-hyo,South Korea,5.5,8.2,,13.7
15,Martino Morosi,Switzerland,5.1,8.5,,13.6
16,Maxime Gentges,Belgium,5,8.55,,13.55
17,Killian Mermet,France,5.4,8.1,,13.5
17,Luis Porto,Brazil,5.4,8.1,,13.5
19,Damien Cachia,Canada,5.3,8.15,,13.45
20,Jacob Bonnay,Canada,5.4,8.05,,13.45
21,Abdulla Azimov,Uzbekistan,4.7,8.7,,13.4
22,Tom Nicolaou,Cyprus,5.1,8.3,,13.4
22,Stefano Patron,Italy,5.1,8.3,,13.4
24,Lee Seung-min,South Korea,5.1,8.25,,13.35
25,Marco Sarrugerio,Italy,5,8.3,-0.1,13.2
26,Bernardo Almeida,Portugal,5.2,7.95,,13.15
27,Jeremy Bartholomeusz,Canada,4.4,8.65,,13.05
28,Nikolai Rønbeck,Norway,5,7.95,,12.95
29,Ivo Chiapponi,Argentina,4.5,8.4,,12.9
30,Alexander Benda,Austria,5.5,7.4,,12.9
31,Michael Tone,Australia,4.6,8.25,,12.85
32,Justin Pesesse,Belgium,5.3,7.75,-0.2,12.85
33,Heath Thorpe,Australia,5.7,7.35,-0.2,12.85
34,Julian Jato,Argentina,4.4,8.4,,12.8
35,Hsu Ping-Chien,Chinese Taipei,4.6,8.2,,12.8
36,Yahor Sharamkou,Belarus,5.1,7.7,,12.8
37,Ilya Kibartas,Russia,5.6,7.15,,12.75
38,Vinzenz Höck,Austria,4.9,7.6,,12.5
39,Roland Modoianu,Romania,4.7,7.65,,12.35
40,Fabian de Luna,Mexico,5.1,7.25,,12.35
41,Hudson Irwin,Australia,4.8,7.5,,12.3
42,Vladyslav Hryko,Ukraine,5.4,7.475,-0.6,12.275
43,Marko Jovicic,Croatia,5,7.275,,12.275
44,Neofytos Kyriakou,Cyprus,4.4,7.45,,11.85
45,Luca la Pia,Denmark,4.2,7.8,-0.3,11.7
46,Franz Card,Finland,4.2,7.3,,11.5
47,Sviataslau Dranitski,Belarus,4.3,7.15,,11.45
48,Eduard Yermakov,Ukraine,4.3,7,,11.3
49,Robert Ghiuzan,Romania,5.1,5.5,,10.6
50,Guilherme Campos,Portugal,5,5.5,-0.3,10.2
