Rank,Athlete,Nation,D,E,ND,Total
1,Lee Chih-Kai,Chinese Taipei,6.2,8.95,,15.15
2,Kazuma Kaya,Japan,6.1,8.7,,14.8
3,Nariman Kurbanov,Kazakhstan,5.5,8.9,,14.4
4,Abdulla Azimov,Uzbekistan,5.7,8.45,,14.15
5,Michael Tone,Australia,5.8,8.15,,13.95
6,Stefano Patron,Italy,5.2,8.45,,13.65
7,Lee Jung-hyo,South Korea,5.8,7.85,,13.65
8,Jacob Bonnay,Canada,4.7,8.7,,13.4
9,Jeremy Bartholomeusz,Canada,4.8,8.55,,13.35
10,Ahmet Önder,Turkey,5.3,8.05,,13.35
11,Vladyslav Hryko,Ukraine,5.6,7.65,,13.25
12,Lee Seung-min,South Korea,4.7,8.5,,13.2
13,Stephen Nedoroscik,United States,6.1,7.1,,13.2
14,Tang Chia-Hung,Chinese Taipei,4.6,8.55,,13.15
15,Ivan Tikhonov,Azerbaijan,5.5,7.65,,13.15
16,Ilya Kibartas,Russia,6,7.15,,13.15
17,Milad Karimi,Kazakhstan,4.6,8.5,,13.1
18,Andrea Russo,Italy,5,8.05,,13.05
19,Kakeru Tanigawa,Japan,6,7.05,,13.05
20,Luis Porto,Brazil,5.1,7.9,,13
21,Kirill Prokopev,Russia,5.5,7.5,,13
22,Leonardo Kusan,Croatia,5.6,7.25,,12.85
23,Killian Mermet,France,4.6,8.2,,12.8
24,Marco Walter,Switzerland,4.3,8.45,,12.75
25,Antoine Pochon,France,4.8,7.9,,12.7
26,Rasuljon Abdurakhimov,Uzbekistan,4.9,7.7,,12.6
27,Bernardo Almeida,Portugal,4.6,7.9,,12.5
28,Kim Han-sol,South Korea,5.1,7.35,,12.45
29,Wataru Tanigawa,Japan,5.4,7.05,,12.45
30,Ivan Stretovich,Russia,5.5,6.85,,12.35
31,Hsu Ping-Chien,Chinese Taipei,5,7.3,,12.3
32,Antoine Borello,France,4.5,7.75,,12.25
33,Roland Modoianu,Romania,5,7.2,,12.2
34,Tom Nicolaou,Cyprus,5.2,7,,12.2
35,Alexander Benda,Austria,4.5,7.5,,12
36,Damien Cachia,Canada,4.8,7.2,,12
37,Martino Morosi,Switzerland,4.1,7.875,,11.975
38,Fellipe Ferreira,Brazil,6,5.85,,11.85
39,Nikolai Rønbeck,Norway,4.6,7.175,,11.775
40,Vinzenz Höck,Austria,3.9,7.8,,11.7
40,Marco Sarrugerio,Italy,3.9,7.8,,11.7
42,Julian Jato,Argentina,4.3,7.3,,11.6
43,Hudson Irwin,Australia,4.2,7.25,,11.45
44,Heath Thorpe,Australia,3.3,8.1,,11.4
45,Fabian de Luna,Mexico,4.2,7.15,,11.35
46,Yahor Sharamkou,Belarus,4.4,6.95,,11.35
47,Sviataslau Dranitski,Belarus,4.3,7,,11.3
48,Franz Card,Finland,3.2,7.85,,11.05
49,Justin Pesesse,Belgium,4.4,6.6,,11
50,Eduard Yermakov,Ukraine,4.7,6.25,,10.95
51,Ivo Chiapponi,Argentina,3.6,6.95,,10.55
52,Guilherme Campos,Portugal,3.2,7.3,,10.5
53,Maxime Gentges,Belgium,4.4,6.025,,10.425
54,Harvey Humber,New Zealand,3.5,4.9,,8.4
55,Batuhan Yazici,New Zealand,4.3,3.95,,8.25
