Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Philip Abner*,21,3,0,1,3.16,25,0,,,0,3,31.1,26,15,11,2,19,,51,3,0,5,141,1.436,7.5,0.6,5.5,14.6,2.68,
2,Chris Arroyo*,18,1,0,1,5.06,7,0,,,0,0,5.1,2,3,3,0,7,,6,0,0,1,25,1.688,3.4,0,11.8,10.1,0.86,
3,Jac Caglianone*,20,7,3,0.7,3.78,16,16,,,0,0,69,46,33,29,6,49,,81,9,0,7,311,1.377,6,0.8,6.4,10.6,1.65,
4,Nick Ficarrotta?,--,0,0,,5.45,20,0,,,0,1,34.2,43,23,21,4,11,,41,6,0,4,163,1.558,11.2,1,2.9,10.6,3.73,
5,Carsten Finnvold*,21,0,0,,36,1,0,,,0,0,1,3,4,4,1,1,,1,0,0,0,7,4,27,9,9,9,1,
6,Cade Fisher*,19,6,0,1,3.02,22,2,,,0,1,41.2,39,16,14,1,11,,41,7,0,2,181,1.2,8.4,0.2,2.4,8.9,3.73,
7,Clete Hartzog?,--,1,0,1,8.53,7,1,,,0,0,6.1,7,7,6,0,6,,12,0,0,1,33,2.053,9.9,0,8.5,17.1,2,
8,Fisher Jameson,20,1,3,0.25,13.89,10,0,,,0,0,11.2,20,19,18,3,7,,14,0,0,2,61,2.314,15.4,2.3,5.4,10.8,2,
9,Brandon Neely,19,0,2,0,3.66,30,0,,,0,13,46.2,41,23,19,5,17,,64,4,1,0,202,1.243,7.9,1,3.3,12.3,3.76,
10,Tyler Nesbitt,21,1,0,1,2.95,10,3,,,0,0,21.1,22,16,7,2,8,,17,5,0,2,101,1.406,9.3,0.8,3.4,7.2,2.13,
11,Blake Purnell,21,1,0,1,7.85,15,0,,,0,0,18.1,18,17,16,2,13,,18,6,0,1,94,1.691,8.8,1,6.4,8.8,1.38,
12,Ryan Slater,21,10,1,0.909,3.51,24,3,,,0,3,56.1,49,23,22,7,17,,47,5,0,2,237,1.172,7.8,1.1,2.7,7.5,2.76,
13,Brandon Sproat,22,8,3,0.727,4.69,17,17,,,1,0,96,76,52,50,14,40,,120,14,1,7,415,1.208,7.1,1.3,3.8,11.3,3,
14,Yoel Tejeda,19,2,0,1,5.56,8,6,,,0,0,22.2,26,17,14,5,12,,11,2,0,2,107,1.676,10.3,2,4.8,4.4,0.92,
15,Anthony Ursitti,20,0,0,,20.25,3,0,,,0,0,1.1,3,4,3,1,1,,2,0,0,1,8,3,20.3,6.8,6.8,13.5,2,
16,Hurston Waldrep,21,9,3,0.75,4.15,17,17,,,0,0,93.1,74,46,43,12,48,,142,7,0,10,403,1.307,7.1,1.2,4.6,13.7,2.96,
,16 Players,20.3,50,15,0.769,4.52,65,65,,,8,21,557,495,318,280,65,267,,668,68,2,47,2489,1.368,8,1.1,4.3,10.8,2.5,
