Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Ryan Bruno*,21,2,1,0.667,5.18,28,0,,,0,9,33,20,20,19,2,34,,54,9,0,12,161,1.636,5.5,0.5,9.3,14.7,1.59,
2,Joey Dixon,21,6,0,1,4.92,19,13,,,0,0,78.2,70,49,43,10,39,,84,4,0,12,340,1.386,8,1.1,4.5,9.6,2.15,
3,Drew Dowd*,21,9,3,0.75,4.57,29,3,,,0,2,61,56,41,31,4,30,,81,4,1,5,272,1.41,8.3,0.6,4.4,12,2.7,
4,Nick Dugan,19,1,0,1,7.26,22,6,,,0,1,57,72,51,46,8,27,,60,5,1,9,272,1.737,11.4,1.3,4.3,9.5,2.22,
5,Nicolas Lopez*,22,2,1,0.667,7.04,17,2,,,0,0,15.1,16,13,12,1,11,,17,6,0,1,77,1.761,9.4,0.6,6.5,10,1.55,
6,Quinn Mathews*,22,10,4,0.714,3.6,18,17,,,0,0,120,106,55,48,12,39,,152,6,0,4,504,1.208,8,0.9,2.9,11.4,3.9,
7,Max Meier,23,2,0,1,11.57,17,0,,,0,0,18.2,29,26,24,5,11,,21,3,0,1,101,2.143,14,2.4,5.3,10.1,1.91,
8,Braden Montgomery,20,1,2,0.333,12.21,10,2,,,0,0,14,20,20,19,4,11,,19,2,0,4,75,2.214,12.9,2.6,7.1,12.2,1.73,
9,Trevor Moore?,--,0,1,0,10.8,8,1,,,0,0,6.2,9,9,8,1,10,,8,3,0,7,43,2.85,12.2,1.4,13.5,10.8,0.8,
10,Toran O'Harran?,--,1,1,0.5,11.65,17,1,,,0,0,17,21,24,22,4,20,,25,4,0,4,96,2.412,11.1,2.1,10.6,13.2,1.25,
11,Brandt Pancer,21,3,1,0.75,4.64,30,1,,,0,5,42.2,46,24,22,10,15,,39,0,0,3,189,1.43,9.7,2.1,3.2,8.2,2.6,
12,Matt Scott,19,5,4,0.556,4.8,22,12,,,0,1,65.2,56,41,35,10,36,,61,3,0,13,298,1.401,7.7,1.4,4.9,8.4,1.69,
13,Matt Swartz?,--,0,0,,0,1,0,,,0,0,0.1,1,0,0,0,0,,0,0,0,0,1,3,27,0,0,0,,
14,Ty Uber,20,1,0,1,9.86,13,3,,,0,0,21,27,23,23,6,20,,20,4,0,3,111,2.238,11.6,2.6,8.6,8.6,1,
,14 Players,20.8,43,18,0.705,5.75,61,61,,,0,18,551,549,396,352,77,303,,641,53,2,78,2540,1.546,9,1.3,4.9,10.5,2.12,
