Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Notes
1,Ben Abeldt*,19,3,3,0.5,3.72,29,1,,,0,1,48.1,44,32,20,4,23,,63,10,0,3,217,1.386,8.2,0.7,4.3,11.7,2.74,
2,Cam Brown,21,3,2,0.6,5.5,15,11,,,1,0,52.1,39,35,32,5,37,,59,10,0,7,242,1.452,6.7,0.9,6.4,10.1,1.59,
3,Cohen Feser,20,1,0,1,2.73,19,0,,,0,1,29.2,24,10,9,2,6,,26,0,2,1,114,1.011,7.3,0.6,1.8,7.9,4.33,
4,Justin Hackett,19,0,0,,11.37,6,0,,,0,0,6.1,12,8,8,2,1,,9,0,0,4,30,2.053,17.1,2.8,1.4,12.8,9,
5,Hunter Hodges,20,1,0,1,3.09,12,0,,,0,0,11.2,11,4,4,2,8,,12,0,1,3,50,1.629,8.5,1.5,6.2,9.3,1.5,
6,Chase Hoover*,19,1,1,0.5,5.14,13,4,,,0,0,35,33,21,20,6,26,,34,2,0,4,161,1.686,8.5,1.5,6.7,8.7,1.31,
7,Kole Klecker,18,10,4,0.714,3.84,17,15,,,0,0,86.2,67,39,37,16,28,,69,7,1,3,360,1.096,7,1.7,2.9,7.2,2.46,
8,Calvin Marley,24,0,0,,81,3,0,,,0,0,0.2,2,6,6,0,5,,1,0,0,2,9,10.5,27,0,67.5,13.5,0.2,
9,River Ridings*,21,1,0,1,5.91,15,0,,,0,0,10.2,12,7,7,1,11,,12,2,1,4,58,2.156,10.1,0.8,9.3,10.1,1.09,
10,Louis Rodriguez,19,2,1,0.667,4.53,17,5,,,0,3,47.2,50,26,24,4,12,,49,8,0,2,210,1.301,9.4,0.8,2.3,9.3,4.08,
11,Luke Savage,21,5,3,0.625,2.5,16,1,,,0,2,36,25,12,10,4,13,,23,2,0,2,145,1.056,6.3,1,3.3,5.8,1.77,
12,Braeden Sloan*,19,2,3,0.4,6.63,11,10,,,0,0,38,44,30,28,4,14,,28,4,1,1,173,1.526,10.4,0.9,3.3,6.6,2,
13,Mason Speaker,22,0,0,,6.46,14,0,,,0,0,15.1,18,15,11,2,9,,17,3,0,0,74,1.761,10.6,1.2,5.3,10,1.89,
14,Sam Stoutenborough,22,5,0,1,4.52,20,9,,,0,0,65.2,71,40,33,8,16,,55,4,0,3,287,1.325,9.7,1.1,2.2,7.5,3.44,
15,Jax Traeger,19,2,0,1,4.63,7,0,,,0,0,11.2,14,6,6,1,6,,12,0,0,2,54,1.714,10.8,0.8,4.6,9.3,2,
16,Ryan Vanderhei,22,4,3,0.571,6.75,13,8,,,0,0,42.2,44,34,32,7,25,,43,9,0,5,203,1.617,9.3,1.5,5.3,9.1,1.72,
17,Garrett Wright,21,2,2,0.5,3.24,18,0,,,0,5,25,14,9,9,0,16,,31,1,0,7,105,1.2,5,0,5.8,11.2,1.94,
,17 Players,20.2,42,22,0.656,4.73,64,64,,,4,12,563.1,524,334,296,68,256,,543,62,6,53,2492,1.385,8.4,1.1,4.1,8.7,2.12,
