Rk,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes
1,David Bryant*,22,43,159,127,29,27,4,2,5,25,5,1,25,42,0.213,0.346,0.394,0.74,50,,2,3,2,,
2,Chris Cannizzaro,22,51,220,193,40,65,11,2,10,45,2,1,19,27,0.337,0.397,0.57,0.967,110,,3,1,4,,
3,Henry Cooke,19,16,34,27,6,8,3,1,0,3,0,0,6,8,0.296,0.441,0.482,0.923,13,,1,0,0,,
4,Carson DeMartini*,20,52,246,189,58,61,13,4,10,57,9,4,46,42,0.323,0.455,0.593,1.048,112,,4,2,5,,
5,Brody Donay,19,39,142,123,32,32,4,0,12,38,1,0,10,42,0.26,0.352,0.585,0.938,72,,8,0,1,,
6,Lucas Donlon,22,18,32,25,5,8,0,0,0,6,0,0,5,5,0.32,0.438,0.32,0.758,8,,1,0,1,,
7,Gehrig Ebel,22,34,93,71,9,15,4,0,1,9,0,0,15,24,0.211,0.363,0.31,0.673,22,,3,2,2,,
8,Eddie Eisert#,21,46,154,126,33,31,10,0,6,21,3,2,24,48,0.246,0.37,0.468,0.838,59,,2,0,2,,
9,Clay Grady,19,48,172,150,33,46,5,1,4,34,4,1,15,23,0.307,0.386,0.433,0.819,65,,5,1,1,,
10,Nick Holesa*,23,7,6,4,2,1,0,0,1,2,0,0,2,2,0.25,0.5,1,1.5,4,,0,0,0,,
11,Warren Holzemer,20,12,10,9,3,3,1,0,0,2,0,1,1,0,0.333,0.4,0.444,0.844,4,,0,0,0,,
12,Jack Hurley*,21,45,210,178,46,57,15,2,17,49,4,2,20,40,0.32,0.414,0.714,1.128,127,,10,0,2,,
13,Carson Jones*,22,53,232,187,58,56,13,2,14,47,12,1,33,59,0.3,0.429,0.615,1.044,115,,10,1,1,,
14,Eduardo Malinowski,23,16,41,39,4,7,2,0,1,8,0,1,1,13,0.18,0.22,0.308,0.527,12,,1,0,0,,
15,Christian Martin*,20,48,217,174,39,60,7,3,3,26,8,2,32,28,0.345,0.455,0.471,0.927,82,,5,4,2,,
16,Garrett Michel*,19,51,215,171,51,58,16,0,11,45,1,0,37,66,0.339,0.465,0.626,1.091,107,,5,0,2,,
17,Carter Newman,19,9,5,4,2,2,0,0,1,3,0,0,1,1,0.5,0.6,1.25,1.85,5,,0,0,0,,
18,Chris Sparber,21,15,29,22,5,5,2,0,0,0,1,0,6,5,0.227,0.414,0.318,0.732,7,,1,0,0,,
19,Sam Tackett,21,22,46,39,9,12,2,0,2,11,0,0,6,13,0.308,0.413,0.513,0.926,20,,1,0,0,,
,19 Players,20.7,53,2263,1858,464,554,112,17,98,431,50,16,304,488,0.298,0.409,0.535,0.944,994,,62,14,25,,
