Rank,Athlete,Nation,Meet,Score
1,Jade Carey,United States,Melbourne World Cup QF,15.049
2,Qi Qi,China,Chinese Championships EF,14.566
3,MyKayla Skinner,United States,International Gymnix AA,14.517
4,Asia D’Amato,Italy,Italian Championships EF,14.4
5,Coline Devillard,France,Melbourne World Cup EF,14.249
6,Boglarka Devai,Hungary,Szombathely Challenge Cup QF,14.225
7,Teja Belak,Slovenia,Baku World Cup,14.199
8,Miyata Shoko,Japan,Melbourne World Cup QF,14.166
9,Marina Nekrasova,Azerbaijan,Baku World Cup,14.133
10,Carolina James,Italy,Italian Gold Championships EF,14.125
10,Shallon Olsen,Canada,Elite Canada AA,14.125
