pre_lrn,Trt,post_lrn
28.973,1,28.502
17.533,1,21.033
28.995,1,20.734
31.416,1,28.960
15.897,1,47.417
37.776,1,51.461
35.355,1,39.994
20.119,1,47.231
31.065,1,40.214
22.634,1,48.592
26.134,1,34.458
18.643,1,47.515
14.777,1,44.956
23.746,1,57.562
23.308,1,53.687
19.914,1,36.542
30.635,1,20.606
27.017,1,13.351
30.387,1,42.663
21.680,1,49.932
23.155,1,37.015
22.982,1,44.685
24.261,1,54.065
10.688,1,37.144
30.307,1,52.946
13.969,1,25.295
25.397,1,50.197
19.631,1,50.637
26.317,1,62.596
37.036,1,41.334
29.362,1,52.698
16.176,0,18.428
31.849,0,61.389
31.831,0,38.328
22.539,0,51.813
18.805,0,12.218
23.284,0,33.733
20.564,0,24.579
27.911,0,20.188
17.406,0,36.572
24.407,0,31.603
22.524,0,24.813
28.062,0,37.406
15.909,0,44.488
29.758,0,23.359
20.644,0,26.657
27.465,0,36.058
17.985,0,25.823
30.358,0,30.361
24.322,0,36.547
13.979,0,17.603
20.675,0,33.017
30.131,0,55.366
18.524,0,52.334
17.890,0,31.809
28.593,0,51.486
19.621,0,27.055
35.952,0,44.229
25.928,0,39.870
19.783,0,22.738
40.349,0,46.214
20.526,0,39.351
17.712,0,33.796
28.935,0,44.052
16.331,0,32.351
26.278,0,23.994
23.638,0,31.761
30.244,0,26.600
