0,1,2,3,4,5,6,7
Rank,Athlete,Nation,D,E,ND,Total,Average
1,Jake Jarman,Great Britain,6.0,9.400,,15.400,15.050
1,Jake Jarman,Great Britain,5.6,9.100,,14.700,15.050
2,Khoi Young,United States,5.6,9.433,,15.033,14.849
2,Khoi Young,United States,5.4,9.266,,14.666,14.849
3,Nazar Chepurnyi,Ukraine,5.6,9.233,,14.833,14.766
3,Nazar Chepurnyi,Ukraine,5.6,9.200,-0.1,14.700,14.766
4,Igor Radivilov,Ukraine,5.6,9.300,,14.900,14.750
4,Igor Radivilov,Ukraine,5.6,9.000,,14.600,14.750
5,Paul Juda,United States,5.6,9.100,-0.1,14.600,14.550
5,Paul Juda,United States,5.2,9.300,,14.500,14.550
6,Artur Davtyan,Armenia,5.6,8.666,-0.3,13.966,14.549
6,Artur Davtyan,Armenia,5.6,9.533,,15.133,14.549
7,Harry Hepworth,Great Britain,5.6,9.033,-0.1,14.533,14.433
7,Harry Hepworth,Great Britain,5.6,9.033,-0.3,14.333,14.433
8,Kevin Penev,Bulgaria,5.2,8.966,,14.166,14.183
8,Kevin Penev,Bulgaria,5.2,9.300,-0.3,14.200,14.183
