Rank,Athlete,Nation,D,E,ND,Total
1,Anastasia Grishina,Russia,6.1,8.8,,14.9
2,Sophie Scheder,Germany,6.2,8.1,,14.3
3,Ida Gustafsson,Sweden,5.8,8.4,,14.2
4,Maria Paula Vargas,Spain,5.7,7.9,,13.6
5,Filipa Martins,Portugal,5.3,7.9,,13.2
6,Jana Sikulova,Czech Republic,5.4,7.75,,13.15
7,Evgeniya Shelgunova,Russia,5.8,7.3,,13.1
8,Jessica Lopez,Venezuela,5.1,7.9,,13
9,Huang Huidan,China,6,7,,13
10,Ekaterina Kislinskaya,Portugal,4.8,8.05,,12.85
11,Roxana Popa,Spain,6.1,6.7,,12.8
12,Noel van Klaveren,Netherlands,5,7.7,,12.7
13,Elisa Hämmerle,Austria,5,7.7,,12.7
14,Ivana Kamnikar,Slovenia,4.9,7.65,,12.55
15,Maegan Chant,Canada,5,7.55,,12.55
16,Lisa Ecker,Austria,4.9,7.6,,12.5
17,Chantysha Netteb,Netherlands,4.6,7.7,,12.3
18,Sara Metzger,Switzerland,5.1,7,,12.1
19,Maija Leinonen,Finland,4.8,7.1,,11.9
20,Ivet Rojas,Venezuela,4.5,7.15,,11.65
21,Mai Ahmed Saad,Egypt,4.5,7.1,,11.6
22,Cagla Akyol,Germany,5.4,6.1,,11.5
23,Nadia Mülhauser,Switzerland,5.2,5.9,,11.1
24,Barbora Mokosova,Slovakia,4.4,6.65,,11.05
25,Anna Geidt,Kazakhstan,4.5,5.8,,10.3
26,Inna Vassilyeva,Kazakhstan,4.7,5.5,,10.2
27,India McPeak,Ireland,3.1,6.9,,10
28,Tan Ing Yueh,Malaysia,4.4,4.1,,8.5
29,Ang Tracie,Malaysia,4.7,3.45,,8.15
30,Kristyna Palesova,Czech Republic,1.3,1.2,,2.5
