Rank,Athlete,Nation,D,E,ND,Total
1,Anastasia Grishina,Russia,5.6,8.45,,14.05
2,Noel van Klaveren,Netherlands,5.4,8.45,,13.85
3,Vasiliki Millousi,Greece,5.3,8.5,,13.8
4,Oksana Chusovitina,Uzbekistan,5.4,8.25,,13.65
5,Anna Dementyeva,Russia,6.1,7.55,,13.65
6,Maria Paula Vargas,Spain,5.8,7.8,,13.6
7,Filipa Martins,Portugal,5.3,8.5,-0.5,13.3
8,Dilnoza Abdusalimova,Uzbekistan,5.1,8.05,-0.1,13.05
9,Kristyna Palesova,Czech Republic,5.3,7.7,,13
10,Huang Huidan,China,5.7,7.4,-0.1,13
11,Maija Leinonen,Finland,4.9,8,,12.9
12,Hiu Ying Angel Wong,Hong Kong,4.6,8.2,,12.8
13,Elisa Hämmerle,Austria,5.2,7.7,-0.1,12.8
14,Jessica Lopez,Venezuela,5.7,6.95,,12.65
15,Silvia Colussi Pelaez,Spain,5.8,6.65,,12.45
16,Chantysha Netteb,Netherlands,5,7.35,,12.35
17,Ida Gustafsson,Sweden,5.3,6.9,,12.2
18,Cagla Akyol,Germany,5.5,6.55,,12.05
19,Pauline Schäfer,Germany,4.6,7.35,,11.95
20,Emma Lunn,Ireland,5,6.85,-0.1,11.75
21,Teja Belak,Slovenia,5.5,6.15,,11.65
22,Inna Vassilyeva,Kazakhstan,4.7,6.55,,11.25
23,Nim Yan Choi,Hong Kong,4.4,6.7,,11.1
24,Ekaterina Kislinskaya,Portugal,4.5,6.6,,11.1
25,Miriam Fouad El Hajj,Egypt,5.2,5.9,,11.1
26,Maegan Chant,Canada,5.5,5.6,,11.1
27,Lisa Ecker,Austria,5.2,5.85,,11.05
28,Barbora Mokosova,Slovakia,4.8,6.15,,10.95
29,Ang Tracie,Malaysia,5,5.9,,10.9
30,India McPeak,Ireland,4.8,5.75,,10.55
31,Ivet Rojas,Venezuela,5.3,5.2,-0.1,10.4
32,Jana Sikulova,Czech Republic,5,5,,10
33,Farida Ahmed Shokry,Egypt,4.1,5.55,,9.65
34,Paula Tiitta,Finland,4.5,5.15,,9.65
