Rank,Athlete,Nation,VT,UB,BB,FX,AA
1,Simone Biles,United States,15.966,14.866,14.8,15.333,60.965
2,Morgan Hurd,United States,14.6,14.466,13.466,13.933,56.465
3,Mai Murakami,Japan,14.433,13.666,13.433,14.1,55.632
4,Nina Derwael,Belgium,13.466,15.066,13.766,13.266,55.564
5,Angelina Melnikova,Russia,14.266,14.3,12.866,14.033,55.465
6,Ellie Black,Canada,14.033,14,13.733,13.233,54.999
7,Melanie De Jesus Dos Santos,France,14.466,13.866,12.566,13.9,54.798
8,Riley McCusker,United States,14.266,14.133,13.1,13.266,54.765
9,Luo Huan,China,13.466,14.466,13.266,12.933,54.131
10,Flavia Saraiva,Brazil,14.466,12.4,13.233,13.9,53.999
11,Ellie Downie,Great Britain,14.366,13.466,12.5,13.2,53.532
12,Irina Alexeeva,Russia,13.5,13.833,13.133,13.066,53.532
13,Chen Yile,China,13.433,14.3,12.9,12.866,53.499
14,Asuka Teramoto,Japan,14.433,13.4,13.133,12.5,53.466
15,Kelly Simm,Great Britain,13.9,13.8,12.333,13.066,53.099
16,Hitomi Hatakeda,Japan,13.533,13.8,13.133,12.466,52.932
17,Naomi Visser,Netherlands,13.3,13.433,12.966,13.133,52.832
18,Elisabeth Seitz,Germany,13.666,14.566,11.7,12.866,52.798
19,Denisa Golgota,Romania,14.266,12.366,12.733,13.4,52.765
20,Jade Barbosa,Brazil,14.5,13.333,11.7,13.2,52.733
21,Brooklyn Moors,Canada,13.333,12.666,13.133,13.5,52.632
22,Zhang Jin,China,14.233,10.733,14.1,13.2,52.266
23,Lara Mori,Italy,13.366,12.633,12.8,13.4,52.199
24,Zsofia Kovacs,Hungary,13.633,12.833,13.066,12.633,52.165
25,Lorette Charpy,France,13.433,13,13.066,12.666,52.165
26,Ana Perez,Spain,13.5,12.966,12.866,12.8,52.132
27,Axelle Klinckaert,Belgium,13.7,12.033,13.175,13.166,52.074
28,Yeo Seojeong,South Korea,14.566,11.908,12.6,12.966,52.04
29,Sara Ricciardi,Italy,13.733,12.6,12.833,12.833,51.999
30,Georgia-Mae Fenton,Great Britain,13.4,13.2,12.9,12.433,51.933
31,Louise Vanhille,France,13.5,12.933,12.9,12.6,51.933
32,Frida Esparza,Mexico,13.433,13.433,12.233,12.3,51.399
33,Alexa Moreno,Mexico,14.633,12.133,11.966,12.6,51.332
34,Nagi Kajita,Japan,13.333,13.55,11.866,12.4,51.149
35,Erin Modaro,Australia,13.4,12.4,12.633,12.6,51.033
36,Martina Dominici,Argentina,13.466,13.033,12.166,12.333,50.998
37,Diana Varinska,Ukraine,13.966,10.533,13.3,12.666,50.465
38,Filipa Martins,Portugal,13.4,13.066,11.4,12.5,50.366
39,Georgia-Rose Brown,Australia,13.466,13.4,11.133,12.366,50.365
40,Vera van Pol,Netherlands,13.766,13,11.066,12.5,50.332
41,Ioana Crisan,Romania,13.266,12.233,12.666,12.033,50.198
42,Aneta Holasova,Czech Republic,13.466,12.033,11.866,12.8,50.165
43,Irene Lanza,Italy,12.566,12.1,12.766,12.666,50.098
44,Helena Bonilla,Spain,13.3,12.933,11.5,12.2,49.933
45,Kim Su Jong,North Korea,14.233,12.666,11.5,11.533,49.932
46,Gabriela Janik,Poland,13.233,12.766,11.866,12,49.865
47,Jessica Castles,Sweden,12.825,12,12.233,12.8,49.858
48,Emily Whitehead,Australia,12.666,12.9,11.566,12.533,49.665
49,Katarzyna Jurkowska-Kowalska,Poland,13.4,11.841,12.366,12,49.607
50,Cintia Rodriguez,Spain,13.133,13.066,10.7,12.6,49.499
51,Pyon Rye Yong,North Korea,14,12.9,10.733,11.866,49.499
52,Dorina Böczögö,Hungary,13.466,12.366,10.8,12.766,49.398
53,Yun Narae,South Korea,13.366,12.366,11.533,12.1,49.365
54,Dominika Ponizilova,Czech Republic,13.333,11.766,12,12.2,49.299
55,Simona Castro,Chile,13.133,12.2,11.766,12.2,49.299
56,Valeriia Osipova,Ukraine,13.466,11.7,11.466,12.666,49.298
57,Rifda Irfanaluthfi,Indonesia,13.433,10.6,12.7,12.533,49.266
58,Ilaria Käslin,Switzerland,13.233,12.133,12.6,11.3,49.266
59,Caitlin Rooskrantz,South Africa,13.133,12.466,11.933,11.666,49.198
60,Tutya Yilmaz,Turkey,13.1,11.533,12,12.533,49.166
61,Marta Pihan-Kulesza,Poland,11.5,11.633,13.1,12.833,49.066
62,Leonie Meier,Switzerland,12.8,12.433,11.8,12.033,49.066
63,Mandy Mohamed,Egypt,13.366,11.533,12.233,11.9,49.032
64,Yana Fedorova,Ukraine,13.6,12.466,11.133,11.733,48.932
65,Ayelen Tarabini,Argentina,13.1,12.133,13.133,10.5,48.866
66,Ting Hua-Tien,Chinese Taipei,12.733,11.833,13.466,10.833,48.865
67,Kim Jury,South Korea,13.1,11.233,12.566,11.633,48.532
68,Farah Hussein,Egypt,12.566,11.7,11.966,12.133,48.365
69,Hanna Traukova,Belarus,12.933,12.1,11.133,12.066,48.232
70,Marina Nekrasova,Azerbaijan,12.808,10.633,12.733,12.033,48.207
71,Danusia Francis,Jamaica,13.333,10.766,12.033,12.066,48.198
72,Nora Feher,Hungary,11.966,12.766,11.033,12.433,48.198
73,Julie Erichsen,Norway,13.4,11.266,11.966,11.466,48.098
74,Elina Vihrova,Latvia,12.8,11.9,11.166,11.8,47.666
75,Angelina Radivilova,Ukraine,13.5,12.066,10.266,11.8,47.632
76,Jasmin Mader,Austria,13.2,12.1,10.4,11.766,47.466
77,Farah Salem,Egypt,12.566,11.8,11.6,11.5,47.466
78,Dayana Ardila,Colombia,13.566,10.966,11.533,11.4,47.465
79,Tienna Nguyen,Vietnam,13.4,11.733,11.133,11.133,47.399
80,Maija Leinonen,Finland,12.766,11.766,11.1,11.733,47.365
81,Lucie Jirikova,Czech Republic,11.266,11.833,11.8,12.366,47.265
82,Chiara Bunce,Slovakia,13.066,11.833,10.5,11.8,47.199
83,Ginna Escobar,Colombia,12.966,12.233,9.933,12,47.132
84,Ana Karina Mendez,Peru,13.2,11.133,10.9,11.8,47.033
85,Maia Fishwick,New Zealand,11.833,11.8,12.166,11.2,46.999
86,Meaghan Smith,Ireland,12.7,11.833,9.933,12.4,46.866
87,Angela Maguire,South Africa,12.333,11.3,11.6,11.633,46.866
88,Farah Ann Abdul Hadi,Malaysia,12.966,9.966,11.866,12.033,46.831
89,Agnes Suto-Tuuha,Iceland,13.133,10.833,11.166,11.633,46.765
90,Naveen Daries,South Africa,13.133,11.466,10.5,11.633,46.732
91,Nancy Taman,Egypt,13.433,11.5,9.833,11.933,46.699
92,Demet Mutlu,Turkey,13.066,11.85,10.8,10.866,46.582
93,Tjasa Kysselef,Slovenia,13.533,9.733,11.1,12.166,46.532
94,Heika Del Sol Salas,Costa Rica,12.366,12.133,9.933,11.8,46.232
95,Nadine Joy Nathan,Singapore,13.166,10.933,12.233,9.8,46.132
96,Janna Mouffok,Algeria,12.566,11.233,11.3,10.966,46.065
97,Corinne Bunagan,Philippines,13.266,10.991,9.5,12.133,45.89
98,Veronika Valastiakova,Slovakia,12.9,9.5,11.833,11.633,45.866
99,Ilayda Sahin,Turkey,12.633,10.266,11.266,11.7,45.865
100,Wiktoria Lopuszanska,Poland,12.6,11.666,10.1,11.466,45.832
101,Marcela Torres,Sweden,13.333,11.533,9.666,11.266,45.798
102,Mariana Pitrez,Portugal,12.5,11.1,10.466,11.7,45.766
103,Beatriz Dias,Portugal,11.766,11.1,10.9,12,45.766
104,Enni Kettunen,Finland,12.633,10.1,10.8,12.133,45.666
105,Thelma Adalsteinsdottir,Iceland,12.1,11.1,10.366,11.766,45.332
106,Ioanna Xoulogi,Greece,12.333,9.366,11.133,12.4,45.232
