Rank,Athlete,Nation,D,E,ND,Total,Average
1,Boglarka Devai,Hungary,6,8.733,-0.1,14.633,14.349
1,Boglarka Devai,Hungary,5.4,8.966,-0.3,14.066,14.349
2,Angelina Melnikova,Russia,5.4,9.166,,14.566,14.233
2,Angelina Melnikova,Russia,5.2,8.8,-0.1,13.9,14.233
3,Denisa Golgota,Romania,5.4,9.1,,14.5,14.166
3,Denisa Golgota,Romania,4.8,9.033,,13.833,14.166
4,Sarah Voss,Germany,5.4,9.033,,14.433,14.083
4,Sarah Voss,Germany,4.8,8.933,,13.733,14.083
5,Lilia Akhaimova,Russia,5.8,8.566,,14.366,14.066
5,Lilia Akhaimova,Russia,4.8,8.966,,13.766,14.066
6,Coline Devillard,France,5.8,8.966,,14.766,13.933
6,Coline Devillard,France,5.4,7.7,,13.1,13.933
7,Tisha Volleman,Netherlands,5.4,8.533,,13.933,13.799
7,Tisha Volleman,Netherlands,4.8,8.866,,13.666,13.799
8,Teja Belak,Slovenia,5.4,7.666,,13.066,13.533
8,Teja Belak,Slovenia,5,9,,14,13.533
