Tm,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,BA,OBP,SLG,OPS,TB,HBP,SF,year
Arizona Diamondbacks,5.01,162,6224,5525,812,1405,314,39,220,776,578,1456,0.254,0.329,0.445,0.774,2457,54,27,2017
Atlanta Braves,4.52,162,6216,5584,732,1467,289,26,165,706,474,1184,0.263,0.326,0.412,0.738,2303,66,32,2017
Baltimore Orioles,4.59,162,6140,5650,743,1469,269,12,232,713,392,1412,0.26,0.312,0.435,0.747,2458,50,37,2017
Boston Red Sox,4.85,162,6338,5669,785,1461,302,19,168,735,571,1224,0.258,0.329,0.407,0.736,2305,53,36,2017
Chicago Cubs,5.07,162,6283,5496,822,1402,274,29,223,785,622,1401,0.255,0.338,0.437,0.775,2403,82,32,2017
Chicago White Sox,4.36,162,6059,5513,706,1412,256,37,186,670,401,1397,0.256,0.314,0.417,0.731,2300,76,33,2017
Cincinnati Reds,4.65,162,6213,5484,753,1390,249,38,219,715,565,1329,0.253,0.329,0.433,0.761,2372,72,42,2017
Cleveland Indians,5.05,162,6234,5511,818,1449,333,29,212,780,604,1153,0.263,0.339,0.449,0.788,2476,50,45,2017
Colorado Rockies,5.09,162,6201,5534,824,1510,293,38,192,793,519,1408,0.273,0.338,0.444,0.781,2455,44,41,2017
Detroit Tigers,4.54,162,6150,5556,735,1435,289,35,187,699,503,1313,0.258,0.324,0.424,0.748,2355,52,27,2017
Houston Astros,5.53,162,6271,5611,896,1581,346,20,238,854,509,1087,0.282,0.346,0.478,0.823,2681,70,61,2017
Kansas City Royals,4.33,162,6027,5536,702,1436,260,24,193,660,390,1166,0.259,0.311,0.42,0.731,2323,45,37,2017
Los Angeles Angels,4.38,162,6073,5415,710,1314,251,14,186,678,523,1198,0.243,0.315,0.397,0.712,2151,70,46,2017
Los Angeles Dodgers,4.75,162,6191,5408,770,1347,312,20,221,730,649,1380,0.249,0.334,0.437,0.771,2362,64,38,2017
Miami Marlins,4.8,162,6248,5602,778,1497,271,31,194,743,486,1282,0.267,0.331,0.431,0.761,2412,67,41,2017
Milwaukee Brewers,4.52,162,6135,5467,732,1363,267,22,224,695,547,1571,0.249,0.322,0.429,0.751,2346,53,26,2017
Minnesota Twins,5.03,162,6261,5557,815,1444,286,31,206,781,593,1342,0.26,0.334,0.434,0.768,2410,46,39,2017
New York Mets,4.54,162,6169,5510,735,1379,286,28,224,713,529,1291,0.25,0.32,0.434,0.755,2393,57,37,2017
New York Yankees,5.3,162,6354,5594,858,1463,266,23,241,821,616,1386,0.262,0.339,0.447,0.785,2498,64,56,2017
Oakland Athletics,4.56,162,6126,5464,739,1344,305,15,234,708,565,1491,0.246,0.319,0.436,0.755,2381,43,40,2017
Philadelphia Phillies,4.26,162,6133,5535,690,1382,287,36,174,654,494,1417,0.25,0.315,0.409,0.723,2263,47,36,2017
Pittsburgh Pirates,4.12,162,6136,5458,668,1331,249,36,151,635,519,1213,0.244,0.318,0.386,0.704,2105,88,28,2017
San Diego Padres,3.73,162,5954,5356,604,1251,227,31,189,576,460,1499,0.234,0.299,0.393,0.692,2107,53,33,2017
Seattle Mariners,4.63,162,6166,5551,750,1436,281,17,200,714,487,1267,0.259,0.325,0.424,0.749,2351,78,35,2017
San Francisco Giants,3.94,162,6137,5551,639,1382,290,28,128,612,467,1204,0.249,0.309,0.38,0.689,2112,36,52,2017
St. Louis Cardinals,4.7,162,6219,5470,761,1402,284,28,196,728,593,1348,0.256,0.334,0.426,0.76,2330,65,44,2017
Tampa Bay Rays,4.28,162,6147,5478,694,1340,226,32,228,671,545,1538,0.245,0.317,0.422,0.739,2314,55,48,2017
Texas Rangers,4.93,162,6122,5430,799,1326,255,21,237,756,544,1493,0.244,0.32,0.43,0.75,2334,81,39,2017
Toronto Blue Jays,4.28,162,6154,5499,693,1320,269,5,222,661,542,1327,0.24,0.312,0.412,0.724,2265,51,35,2017
Washington Nationals,5.06,162,6214,5553,819,1477,311,31,215,796,542,1327,0.266,0.332,0.449,0.782,2495,31,45,2017
Arizona Diamondbacks,4.28,162,6157,5460,693,1283,259,50,176,658,560,1460,0.235,0.31,0.397,0.707,2170,52,45,2018
Atlanta Braves,4.69,162,6251,5582,759,1433,314,29,175,717,511,1290,0.257,0.324,0.417,0.742,2330,66,43,2018
Baltimore Orioles,3.84,162,6034,5507,622,1317,242,15,188,593,422,1412,0.239,0.298,0.391,0.689,2153,57,35,2018
Boston Red Sox,5.41,162,6302,5623,876,1509,355,31,208,829,569,1253,0.268,0.339,0.453,0.792,2550,55,48,2018
Chicago Cubs,4.67,163,6369,5624,761,1453,286,34,167,722,576,1388,0.258,0.333,0.41,0.744,2308,78,46,2018
Chicago White Sox,4.05,162,6071,5523,656,1332,259,40,182,639,425,1594,0.241,0.302,0.401,0.703,2217,66,32,2018
Cincinnati Reds,4.3,162,6240,5532,696,1404,251,25,172,665,559,1376,0.254,0.328,0.401,0.729,2221,65,35,2018
Cleveland Indians,5.05,162,6300,5595,818,1447,297,19,216,786,554,1189,0.259,0.332,0.434,0.766,2430,80,44,2018
Colorado Rockies,4.79,163,6178,5541,780,1418,280,42,210,748,507,1397,0.256,0.322,0.435,0.757,2412,51,37,2018
Detroit Tigers,3.89,162,6029,5494,630,1326,284,35,135,597,428,1341,0.241,0.3,0.38,0.68,2085,52,40,2018
Houston Astros,4.92,162,6146,5453,797,1390,278,18,205,763,565,1197,0.255,0.329,0.425,0.754,2319,61,45,2018
Kansas City Royals,3.94,162,6063,5505,638,1350,283,29,155,606,427,1310,0.245,0.305,0.392,0.697,2156,67,40,2018
Los Angeles Angels,4.45,162,6108,5472,721,1323,249,23,214,690,514,1300,0.242,0.313,0.413,0.726,2260,73,39,2018
Los Angeles Dodgers,4.93,163,6358,5572,804,1394,296,33,235,756,647,1436,0.25,0.333,0.442,0.774,2461,61,39,2018
Miami Marlins,3.66,161,6083,5488,589,1303,222,24,128,554,455,1384,0.237,0.303,0.357,0.659,1957,73,31,2018
Milwaukee Brewers,4.63,163,6210,5542,754,1398,252,24,218,711,537,1458,0.252,0.323,0.424,0.747,2352,58,41,2018
Minnesota Twins,4.56,162,6154,5526,738,1379,317,22,166,704,534,1328,0.25,0.318,0.405,0.723,2238,37,38,2018
New York Mets,4.17,162,6177,5468,676,1282,265,34,170,649,566,1404,0.234,0.312,0.389,0.701,2125,73,42,2018
New York Yankees,5.25,162,6271,5515,851,1374,269,23,267,821,625,1421,0.249,0.329,0.451,0.781,2490,62,59,2018
Oakland Athletics,5.02,162,6255,5579,813,1407,322,20,227,778,550,1381,0.252,0.325,0.439,0.764,2450,76,44,2018
