Rank,Gymnast,vt,ub,bb,fx,Total,year
1,Jordyn Wieber,15.716,13.6,15.266,14.8,59.382,2011
2,Viktoria Komova,14.933,15.4,14.683,14.333,59.349,2011
3,Yao Jinnan,14.966,14.933,13.933,14.766,58.598,2011
4,Aly Raisman,15.233,12.9,14.525,14.9,57.558,2011
5,Huang Qiushuang,14.733,14.966,13.633,14.1,57.432,2011
6,Ana Porgras,14.1,14.133,15.1,13.966,57.299,2011
7,Ksenia Afanasyeva,14.466,14.2,13.4,14.666,56.732,2011
8,Lauren Mitchell,14.6,13.133,13.933,15.033,56.699,2011
9,Hannah Whelan,14.4,13.258,14.333,14.133,56.124,2011
10,Nadine Jarosch,14.3,13.733,14.0,14.0,56.033,2011
11,Elisabeth Seitz,14.758,13.933,13.366,13.766,55.823,2011
12,Vanessa Ferrari,12.733,13.833,14.466,14.5,55.532,2011
13,Daniele Hypólito,14.3,12.866,14.333,13.866,55.365,2011
14,Carlotta Ferlito,14.2,12.866,14.616,13.4,55.082,2011
15,Koko Tsurumi,13.8,12.533,14.7,13.966,54.999,2011
16,Giulia Steingruber,14.866,13.433,13.4,13.233,54.932,2011
17,Céline van Gerner,13.7,13.766,13.766,13.633,54.865,2011
18,Raluca Haidu,13.466,13.366,14.416,13.566,54.814,2011
19,Peng-Peng Lee,13.933,13.9,12.933,13.966,54.732,2011
20,Rie Tanaka,14.233,13.833,13.933,12.7,54.699,2011
21,Aurélie Malaussena,14.133,13.266,13.933,13.166,54.498,2011
22,Ana María Izurieta,13.966,13.466,12.933,13.366,53.731,2011
23,Emily Little,13.633,13.3,13.566,13.1,53.599,2011
24,Jessica López,14.0,10.3,14.266,13.733,52.299,2011
1,Simone Biles,15.85,14.7,14.433,15.233,60.216,2013
2,Kyla Ross,15.366,15.1,14.533,14.333,59.332,2013
3,Aliya Mustafina,14.891,15.233,14.166,14.566,58.856,2013
4,Larisa Iordache,15.033,14.2,13.833,14.7,57.766,2013
5,Yao Jinnan,14.8,15.333,13.633,13.866,57.632,2013
6,Vanessa Ferrari,14.4,13.7,14.166,14.466,56.732,2013
7,Giulia Steingruber,15.3,13.2,13.733,14.466,56.699,2013
8,Shang Chunsong,14.0,14.466,13.7,13.966,56.132,2013
9,Asuka Teramoto,14.0,14.033,14.033,13.466,55.532,2013
10,Victoria Moors,14.733,13.8,12.3,14.633,55.466,2013
11,Carlotta Ferlito,14.333,13.233,14.1,13.733,55.399,2013
12,Roxana Popa,14.8,13.533,12.933,14.1,55.366,2013
13,Ellie Black,14.533,12.866,14.133,13.433,54.965,2013
14,Noémi Makra,13.7,13.633,13.9,13.533,54.766,2013
15,Elisabeth Seitz,14.833,13.733,12.433,12.666,53.665,2013
16,Anna Rodionova,14.141,13.758,12.066,13.333,53.298,2013
17,Ruby Harrold,13.9,14.533,11.066,13.7,53.199,2013
18,Gaelle Mys,13.958,12.366,13.666,12.966,52.956,2013
19,Rebecca Tunney,14.866,13.033,11.966,13.0,52.865,2013
20,Noël van Klaveren,14.966,10.633,12.733,13.633,51.965,2013
21,Laura Waem,13.8,13.533,12.233,12.366,51.932,2013
22,Ilaria Kaeslin,13.8,13.1,12.433,12.233,51.566,2013
23,Natsumi Sasada,13.966,10.366,13.5,13.233,51.065,2013
24,Vasiliki Millousi,13.166,10.5,12.8,13.066,49.532,2013
1,Simone Biles,15.866,14.533,14.766,15.066,60.231,2014
2,Larisa Iordache,15.066,14.866,15.1,14.733,59.765,2014
3,Kyla Ross,15.166,14.7,14.433,13.933,58.232,2014
4,Aliya Mustafina,15.1,15.041,14.341,13.433,57.915,2014
5,Yao Jinnan,14.533,15.533,14.566,12.833,57.465,2014
6,Vanessa Ferrari,14.866,13.7,13.9,14.7,57.166,2014
7,Alla Sosnitskaya,14.833,13.933,13.5,13.9,56.166,2014
8,Jessica López,14.4,14.5,14.133,13.1,56.133,2014
9,Elsabeth Black,13.9,13.833,14.533,13.866,56.132,2014
10,Claudia Fragapane,14.6,13.066,14.166,14.266,56.098,2014
11,Ruby Harrold,14.683,14.4,13.066,13.466,55.615,2014
12,Shang Chunsong,14.0,12.3,15.033,14.166,55.499,2014
13,Roxana Popa,14.9,14.3,13.066,13.033,55.299,2014
14,Marta Pihan-Kulesza,13.966,13.691,14.133,13.366,55.156,2014
15,Giulia Steingruber,15.033,12.633,13.833,13.633,55.132,2014
16,Ana Filipa Martins,13.8,13.966,13.533,13.433,54.732,2014
17,Erika Fasana,14.5,13.3,13.466,12.733,53.999,2014
18,Asuka Teramoto,13.766,13.766,12.866,13.466,53.864,2014
19,Ștefania Stănilă,14.5,12.733,12.7,13.6,53.533,2014
20,Natsumi Sasada,14.0,13.233,12.7,13.233,53.166,2014
21,Georgia Rose Brown,14.066,12.3,13.5,12.966,52.832,2014
22,Lisa Katharina Hill,14.033,13.633,11.366,13.166,52.198,2014
23,Elsa García,13.933,11.266,13.766,13.066,52.031,2014
24,Laura Waem,13.9,13.8,13.633,10.633,51.966,2014
1,Simone Biles,15.833,14.9,14.4,15.266,60.399,2015
2,Gabby Douglas,15.3,15.033,14.4,14.583,59.316,2015
3,Larisa Iordache,15.066,14.8,14.766,14.475,59.107,2015
4,Shang Chunsong,13.866,15.166,14.7,14.533,58.265,2015
5,Giulia Steingruber,15.6,13.9,13.333,14.5,57.333,2015
6,Mai Murakami,14.966,13.8,14.033,14.333,57.132,2015
7,Ellie Black,15.033,14.0,13.3,14.425,56.758,2015
8,Laura Jurca,15.133,13.733,13.966,13.9,56.732,2015
9,Asuka Teramoto,15.166,14.366,13.233,13.366,56.131,2015
10,Elisabeth Seitz,14.133,15.233,13.433,12.966,55.765,2015
11,Wang Yan,14.875,13.566,13.8,13.5,55.741,2015
12,Carlotta Ferlito,14.066,13.6,14.441,13.633,55.74,2015
13,Lieke Wevers,13.733,14.333,14.2,13.366,55.632,2015
14,Tea Ugrin,14.066,14.0,13.766,13.733,55.565,2015
15,Seda Tutkhalyan,14.866,14.3,12.7,13.566,55.432,2015
16,Isabela Onyshko,14.233,14.4,13.066,13.633,55.332,2015
17,Lisa Verschueren,14.133,13.9,13.6,13.666,55.299,2015
18,Lorrane Oliveira,15.166,13.733,12.966,13.166,55.031,2015
19,Pauline Schäfer,14.633,13.433,13.133,13.766,54.965,2015
19,Rune Hermans,14.033,13.466,13.866,13.6,54.965,2015
21,Noémi Makra,13.933,14.266,12.833,13.833,54.865,2015
22,Ruby Harrold,14.633,14.533,12.433,13.1,54.699,2015
23,Amy Tinkler,14.866,13.033,12.233,13.966,54.098,2015
24,Flávia Saraiva,14.233,13.7,12.266,13.033,53.232,2015
1,Morgan Hurd,14.533,14.3,12.666,13.733,55.232,2017
2,Ellie Black,14.6,14.233,12.866,13.433,55.132,2017
3,Elena Eremina,13.866,14.2,13.133,13.6,54.799,2017
4,Mai Murakami,14.666,13.8,12.0,14.233,54.699,2017
