Rank,Athlete,Nation,D,E,ND,Total,round
1,Jade Carey,United States,5.9,8.2,-0.1,14,Qual
2,Marine Boyer,France,5,8.2,,13.2,Qual
3,Kim Bui,Germany,5.2,8,,13.2,Qual
4,Lara Mori,Italy,5.3,7.866,,13.166,Qual
5,Varvara Zubova,Russia,5.1,7.966,,13.066,Qual
6,Marta Pihan-Kulesza,Poland,5.2,7.933,-0.1,13.033,Qual
7,Vanessa Ferrari,Italy,5.3,7.833,-0.1,13.033,Qual
8,Coline Devillard,France,4.8,8.033,,12.833,Qual
9,Phoebe Jakubczyk,Great Britain,5,7.833,,12.833,Qual
10,Diana Varinska,Ukraine,4.7,8.066,,12.766,Qual
11,Emily Thomas,Great Britain,4.8,7.966,,12.766,Qual
12,Ana Derek,Croatia,5,7.833,-0.1,12.733,Qual
13,Nazli Savranbasi,Turkey,5,7.6,,12.6,Qual
14,Paula Mejias,Puerto Rico,5.1,7.466,-0.1,12.466,Qual
15,Aneta Holasova,Czech Republic,4.7,7.833,-0.1,12.433,Qual
16,Adela Sajn,Slovenia,4.4,8,,12.4,Qual
17,Kim Son Hyang,North Korea,5.3,7.2,-0.1,12.4,Qual
18,Yumika Nakamura,Japan,4.6,7.766,,12.366,Qual
19,Soyoka Hanawa,Japan,4.8,7.466,,12.266,Qual
20,Zhao Shiting,China,5.1,7.1,,12.2,Qual
21,Lai Pin-Ju,Chinese Taipei,4.7,7.3,,12,Qual
22,An Chang Ok,North Korea,5,6.933,,11.933,Qual
23,Csenge Bacskay,Hungary,4.4,7.433,-0.1,11.733,Qual
24,Demet Mutlu,Turkey,4.6,6.9,,11.5,Qual
25,Wu Sing-Fen,Chinese Taipei,4.1,7.366,,11.466,Qual
26,Ominakhon Khalilova,Uzbekistan,4.6,7.166,-0.3,11.466,Qual
27,Lucie Jirikova,Czech Republic,4.7,6.5,,11.2,Qual
28,Gabriela Janik,Poland,4.5,6.933,-0.3,11.133,Qual
29,Marina Nekrasova,Azerbaijan,4.1,6.666,,10.766,Qual
30,Marcia Vidiaux,Cuba,2.5,7.5,-0.1,9.9,Qual
