Name,Average Total,Apparatus
donnell whittenburg,14.592714285714285,SR
asher hong,14.1999,SR
alex diab,14.158333333333333,SR
stephen nedoroscik,14.726142857142857,PH
brody malone,13.9298,PH
ian skirkey,13.783199999999999,PH
khoi young,13.459999999999999,PH
patrick hoopes,13.419999999999998,PH
curran phillips,15.15625,PB
colt walker,15.019333333333334,PB
yul moldauer,14.678571428571429,PB
blake sun,13.973714285714285,PB
frederick richard,14.183333333333332,HB
brody malone,14.171285714285714,HB
frederick nathaniel richard,13.911000000000001,HB
fred richard,13.2125,HB
paul juda,14.65,FX
khoi young,14.0,FX
brody malone,13.97475,FX
yul moldauer,13.954125,FX
shane wiskus,13.891666666666666,FX
asher hong,13.825777777777779,FX
donnell whittenburg,13.694333333333333,FX
khoi young,14.86,VT
dallas hale,14.6625,VT
asher hong,14.595142857142857,VT
curran phillips,14.52,VT
taylor burkhart,14.48,VT
riley loos,14.283333333333333,VT
