Week	Bag_Weight
1	109.16
1	111.36
1	108.54
1	111.56
1	109.94
2	110.07
2	109.73
2	109.54
2	109.94
2	109.97
3	109.82
3	108.65
3	109.90
3	110.64
3	111.23
4	109.92
4	109.78
4	109.83
4	111.10
4	109.99
5	109.55
5	110.07
5	110.12
5	108.80
5	109.41
6	108.37
6	110.95
6	111.03
6	109.86
6	110.18
7	108.69
7	111.13
7	109.14
7	109.70
7	110.12
8	111.35
8	109.30
8	110.53
8	110.38
8	110.58
9	109.39
9	109.87
9	108.79
9	110.28
9	110.83
10	109.90
10	108.39
10	110.55
10	112.04
10	110.26
11	109.62
11	111.46
11	109.85
11	110.36
11	110.55
12	109.57
12	109.65
12	109.71
12	109.97
12	109.86
13	108.93
13	110.19
13	108.93
13	109.55
13	109.31
14	109.64
14	110.51
14	111.41
14	109.27
14	109.27
15	108.84
15	109.58
15	110.60
15	109.99
15	109.94
16	111.00
16	110.32
16	111.47
16	109.41
16	108.93
17	109.39
17	110.53
17	110.14
17	110.15
17	110.12
18	110.69
18	109.47
18	110.01
18	109.28
18	109.67
19	109.43
19	110.89
19	110.76
19	108.62
19	110.21
20	110.11
20	110.58
20	110.29
20	109.68
20	110.53
21	109.69
21	107.60
21	110.77
21	110.55
21	109.65
22	109.37
22	110.10
22	110.87
22	110.12
22	109.71
23	109.37
23	109.22
23	108.81
23	109.39
23	110.57
24	110.33
24	109.59
24	110.67
24	110.58
24	110.57
25	109.85
25	108.54
25	111.53
25	109.08
25	109.55
26	110.51
26	108.95
26	109.86
26	110.92
26	112.18
27	110.65
27	109.15
27	109.05
27	111.70
27	109.61
28	111.37
28	109.99
28	110.04
28	109.93
28	109.46
29	108.45
29	111.87
29	109.75
29	108.59
29	110.92
30	109.40
30	110.06
30	108.20
30	110.48
30	111.08
