Rank,Gymnast,vt,ub,bb,fx,Total
1,Simone Biles(USA),15.866(1),14.966(7),15.433(1),15.933(1),62.198
2,Aly Raisman(USA),15.633(2),14.166(=14),14.866(2),15.433(2),60.098
3,Aliya Mustafina(RUS),15.200(5),15.666(1),13.866(12),13.933(16),58.665
4,Shang Chunsong(CHN),13.883(23),15.233(=3),14.833(3),14.600(5),58.549
5,Elsabeth Black(CAN),14.866(=8),14.500(10),14.566(5),14.366(7),58.298
6,Wang Yan(CHN),14.733(=13),13.733(23),14.666(4),14.900(3),58.032
7,Jessica López(VEN),14.833(=11),15.100(5),13.800(=13),14.233(9),57.966
8,Asuka Teramoto(JPN),15.100(=6),14.566(9),14.266(7),14.033(14),57.965
9,Eythora Thorsdottir(NED),14.833(=11),14.200(13),14.066(9),14.533(6),57.632
10,Giulia Steingruber(SUI),15.366(4),13.800(20),13.666(18),14.733(4),57.565
11,Rebeca Andrade(BRA),15.566(3),14.033(=17),13.600(19),13.766(19),56.965
12,Carlotta Ferlito(ITA),14.733(=13),14.100(16),14.000(10),14.125(12),56.958
13,Ellie Downie(GBR),15.100(=6),13.783(21),13.700(=16),14.300(8),56.883
14,Mai Murakami(JPN),14.866(=8),13.766(22),13.900(11),14.133(=10),56.665
15,Marine Brevet(FRA),14.166(16),14.300(11),14.133(8),14.000(15),56.599
16,Vanessa Ferrari(ITA),14.633(15),14.033(=17),13.800(=13),14.075(13),56.541
17,Elisabeth Seitz(GER),14.100(17),15.233(=3),13.200(=21),13.833(18),56.366
18,Isabela Onyshko(CAN),13.933(22),14.166(=14),14.366(6),13.900(17),56.365
19,Nina Derwael(BEL),13.966(21),15.300(2),13.300(20),13.733(20),56.299
20,Lieke Wevers(NED),14.066(18),14.600(8),13.066(23),14.133(=10),55.865
21,Louise Vanhille(FRA),14.000(20),14.233(12),13.200(=21),13.233(22),54.666
22,Seda Tutkhalyan(RUS),14.866(=8),15.033(6),13.800(=13),10.966(23),54.665
23,Sophie Scheder(GER),14.033(19),13.950(19),12.666(24),13.258(21),53.907
24,Jade Barbosa(BRA),--1(24),--1(24),13.700(=16),7.500(24),DNF
