"youtube"	"facebook"	"newspaper"	"sales"
"1"	276.12	45.36	83.04	26.52
"2"	53.4	47.16	54.12	12.48
"3"	20.64	55.08	83.16	11.16
"4"	181.8	49.56	70.2	22.2
"5"	216.96	12.96	70.08	15.48
"6"	10.44	58.68	90	8.64
"7"	69	39.36	28.2	14.16
"8"	144.24	23.52	13.92	15.84
"9"	10.32	2.52	1.2	5.76
"10"	239.76	3.12	25.44	12.72
"11"	79.32	6.96	29.04	10.32
"12"	257.64	28.8	4.8	20.88
"13"	28.56	42.12	79.08	11.04
"14"	117	9.12	8.64	11.64
"15"	244.92	39.48	55.2	22.8
"16"	234.48	57.24	63.48	26.88
"17"	81.36	43.92	136.8	15
"18"	337.68	47.52	66.96	29.28
"19"	83.04	24.6	21.96	13.56
"20"	176.76	28.68	22.92	17.52
"21"	262.08	33.24	64.08	21.6
"22"	284.88	6.12	28.2	15
"23"	15.84	19.08	59.52	6.72
"24"	273.96	20.28	31.44	18.6
"25"	74.76	15.12	21.96	11.64
"26"	315.48	4.2	23.4	14.4
"27"	171.48	35.16	15.12	18
"28"	288.12	20.04	27.48	19.08
"29"	298.56	32.52	27.48	22.68
"30"	84.72	19.2	48.96	12.6
"31"	351.48	33.96	51.84	25.68
"32"	135.48	20.88	46.32	14.28
"33"	116.64	1.8	36	11.52
"34"	318.72	24	0.36	20.88
"35"	114.84	1.68	8.88	11.4
"36"	348.84	4.92	10.2	15.36
"37"	320.28	52.56	6	30.48
"38"	89.64	59.28	54.84	17.64
"39"	51.72	32.04	42.12	12.12
"40"	273.6	45.24	38.4	25.8
"41"	243	26.76	37.92	19.92
"42"	212.4	40.08	46.44	20.52
"43"	352.32	33.24	2.16	24.84
"44"	248.28	10.08	31.68	15.48
"45"	30.12	30.84	51.96	10.2
"46"	210.12	27	37.8	17.88
"47"	107.64	11.88	42.84	12.72
"48"	287.88	49.8	22.2	27.84
"49"	272.64	18.96	59.88	17.76
"50"	80.28	14.04	44.16	11.64
"51"	239.76	3.72	41.52	13.68
"52"	120.48	11.52	4.32	12.84
"53"	259.68	50.04	47.52	27.12
"54"	219.12	55.44	70.44	25.44
"55"	315.24	34.56	19.08	24.24
"56"	238.68	59.28	72	28.44
"57"	8.76	33.72	49.68	6.6
"58"	163.44	23.04	19.92	15.84
"59"	252.96	59.52	45.24	28.56
"60"	252.84	35.4	11.16	22.08
"61"	64.2	2.4	25.68	9.72
"62"	313.56	51.24	65.64	29.04
"63"	287.16	18.6	32.76	18.84
"64"	123.24	35.52	10.08	16.8
"65"	157.32	51.36	34.68	21.6
"66"	82.8	11.16	1.08	11.16
"67"	37.8	29.52	2.64	11.4
"68"	167.16	17.4	12.24	16.08
"69"	284.88	33	13.2	22.68
"70"	260.16	52.68	32.64	26.76
"71"	238.92	36.72	46.44	21.96
"72"	131.76	17.16	38.04	14.88
"73"	32.16	39.6	23.16	10.56
"74"	155.28	6.84	37.56	13.2
"75"	256.08	29.52	15.72	20.4
"76"	20.28	52.44	107.28	10.44
"77"	33	1.92	24.84	8.28
"78"	144.6	34.2	17.04	17.04
"79"	6.48	35.88	11.28	6.36
"80"	139.2	9.24	27.72	13.2
"81"	91.68	32.04	26.76	14.16
"82"	287.76	4.92	44.28	14.76
"83"	90.36	24.36	39	13.56
"84"	82.08	53.4	42.72	16.32
"85"	256.2	51.6	40.56	26.04
"86"	231.84	22.08	78.84	18.24
"87"	91.56	33	19.2	14.4
"88"	132.84	48.72	75.84	19.2
"89"	105.96	30.6	88.08	15.48
"90"	131.76	57.36	61.68	20.04
"91"	161.16	5.88	11.16	13.44
"92"	34.32	1.8	39.6	8.76
"93"	261.24	40.2	70.8	23.28
"94"	301.08	43.8	86.76	26.64
"95"	128.88	16.8	13.08	13.8
"96"	195.96	37.92	63.48	20.28
"97"	237.12	4.2	7.08	14.04
"98"	221.88	25.2	26.4	18.6
"99"	347.64	50.76	61.44	30.48
"100"	162.24	50.04	55.08	20.64
"101"	266.88	5.16	59.76	14.04
"102"	355.68	43.56	121.08	28.56
"103"	336.24	12.12	25.68	17.76
"104"	225.48	20.64	21.48	17.64
"105"	285.84	41.16	6.36	24.84
"106"	165.48	55.68	70.8	23.04
"107"	30	13.2	35.64	8.64
"108"	108.48	0.36	27.84	10.44
"109"	15.72	0.48	30.72	6.36
"110"	306.48	32.28	6.6	23.76
"111"	270.96	9.84	67.8	16.08
"112"	290.04	45.6	27.84	26.16
