"ID","Price","Sqft","Bedroom","Bathroom","Airconditioning","Garage","Pool","YearBuild","Quality","Lot","AdjHighway"
"1",1,360000,3032,4,4,1,2,0,1972,2,22221,0
"2",2,340000,2058,4,2,1,2,0,1976,2,22912,0
"3",3,250000,1780,4,3,1,2,0,1980,2,21345,0
"4",4,205500,1638,4,2,1,2,0,1963,2,17342,0
"5",5,275500,2196,4,3,1,2,0,1968,2,21786,0
"6",6,248000,1966,4,3,1,5,1,1972,2,18902,0
"7",7,229900,2216,3,2,1,2,0,1972,2,18639,0
"8",8,150000,1597,2,1,1,1,0,1955,2,22112,0
"9",9,195000,1622,3,2,1,2,0,1975,3,14321,0
"10",10,160000,1976,3,3,0,1,0,1918,3,32358,0
"11",11,190000,2812,7,5,0,2,1,1966,3,56639,0
"12",12,559000,2791,3,4,1,3,0,1992,1,30595,0
"13",13,535000,3381,5,4,1,3,0,1988,1,23172,0
"14",14,525000,3459,5,4,1,2,0,1978,1,35351,0
"15",15,299900,2090,3,3,1,2,0,1987,2,24025,0
"16",16,527000,3232,5,5,1,2,0,1984,2,21445,0
"17",17,169900,1502,2,2,1,2,0,1956,2,28958,0
"18",18,335250,2747,3,4,1,2,0,1993,2,22241,0
"19",19,323900,2890,4,3,1,2,0,1954,2,41992,0
"20",20,200000,1825,3,3,1,2,0,1957,2,30266,0
"21",21,211000,1578,4,3,1,2,0,1986,2,18829,0
"22",22,212000,1763,3,3,1,2,0,1959,2,24726,0
"23",23,245000,2517,4,3,1,2,0,1965,2,23261,0
"24",24,140400,1872,3,2,1,2,0,1985,2,24017,0
"25",25,295000,3266,3,3,1,2,0,1908,2,24881,0
"26",26,170900,2020,1,2,1,1,0,1956,2,21385,0
"27",27,229000,2164,4,2,1,2,0,1965,2,28291,0
"28",28,218500,2080,3,2,1,2,1,1959,2,14752,0
"29",29,160000,2208,2,2,1,2,0,1985,2,8058,0
"30",30,259000,3048,6,4,1,3,0,1960,2,29307,0
"31",31,164500,1460,3,2,1,2,0,1978,2,9999,0
"32",32,280000,2540,3,2,0,2,0,1940,2,42428,0
"33",33,154000,2208,2,2,1,2,0,1985,2,6746,0
"34",34,272000,2560,4,2,1,3,0,1977,2,36100,0
"35",35,180000,2061,4,2,0,2,0,1958,2,20138,0
"36",36,157500,1980,3,2,1,2,0,1957,2,32519,0
"37",37,242500,3308,5,4,1,2,0,1928,2,47323,0
"38",38,182000,2616,5,3,0,2,0,1955,3,11123,0
"39",39,178000,1460,4,2,1,2,0,1961,3,27095,0
"40",40,171900,1580,2,1,0,1,0,1951,3,12417,0
"41",41,165500,1460,3,2,1,2,0,1960,3,22493,0
"42",42,183500,1540,3,2,1,2,0,1992,3,15801,0
"43",43,135000,1388,2,1,0,2,0,1951,3,26106,0
"44",44,175000,1624,3,2,1,2,0,1948,3,39219,0
"45",45,149500,1580,2,1,1,2,0,1966,3,11166,0
"46",46,177500,1820,3,2,1,2,0,1960,3,22104,0
"47",47,155000,1733,4,1,1,1,0,1936,3,22398,0
"48",48,145000,1896,3,2,0,2,0,1925,3,32753,0
"49",49,178000,2038,2,2,0,2,0,1918,3,47884,0
"50",50,156000,1436,3,2,0,3,0,1920,3,43594,0
"51",51,159000,1690,3,2,0,1,0,1922,3,28518,0
"52",52,160000,1496,2,2,0,1,0,1900,3,43335,0
"53",53,112000,1668,2,1,0,1,0,1948,3,19612,0
"54",54,84000,980,1,1,0,1,0,1951,3,17686,0
"55",55,155000,2562,3,2,0,2,0,1885,3,40800,0
"56",56,360000,2304,5,4,1,3,0,1978,2,70240,0
"57",57,104000,1268,2,1,0,1,0,1947,3,21067,0
"58",58,420000,2283,3,3,1,3,0,1997,1,18524,1
"59",59,355000,2060,2,3,1,2,0,1997,2,38623,1
"60",60,165000,2087,2,2,1,2,0,1966,2,24764,1
"61",61,244000,2081,4,2,1,2,0,1980,2,24993,1
"62",62,179900,1696,3,3,1,2,0,1978,2,22294,1
"63",63,253000,2222,4,2,0,2,0,1955,2,71527,1
"64",64,200000,2110,5,3,1,2,0,1957,2,15332,1
"65",65,200000,1774,4,2,0,2,0,1963,3,15528,1
"66",66,147700,1592,3,2,1,2,0,1957,3,11221,1
"67",67,188700,1748,3,2,1,2,0,1972,3,23939,1
"68",68,177000,1985,3,1,0,2,0,1948,3,69975,1
"69",69,585000,2558,2,4,1,3,1,1984,1,24601,0
"70",70,549900,4000,6,5,1,3,1,1979,1,23595,0
"71",71,675000,3942,4,3,1,2,0,1990,1,18920,0
"72",72,830000,3889,4,4,1,3,0,1991,1,28378,0
"73",73,920000,3857,4,5,1,3,0,1997,1,32793,0
"74",74,855000,4756,4,4,1,3,0,1990,1,22215,0
"75",75,585500,3302,4,3,1,3,0,1982,1,26463,0
"76",76,399000,2629,3,3,1,2,0,1989,1,24778,0
"77",77,790000,4418,5,5,1,3,0,1997,1,22024,0
"78",78,665000,4746,4,4,1,3,0,1996,1,23368,0
"79",79,725000,3242,3,3,1,3,0,1989,1,27173,0
"80",80,647000,2464,3,3,1,3,0,1992,1,31703,0
"81",81,780000,4419,4,5,1,7,0,1987,1,56127,0
"82",82,657500,3877,3,3,1,3,0,1992,1,24639,0
"83",83,578000,3808,5,4,1,3,0,1982,1,23324,0
"84",84,500000,3376,5,4,1,2,0,1947,1,18452,0
"85",85,484530,2940,3,3,1,3,1,1979,1,20639,0
"86",86,609000,2654,5,3,1,3,0,1997,1,12821,0
"87",87,635000,2672,4,3,1,3,0,1995,1,28049,0
