"","game1","game2","game3","game4","game5","game6","game7","game8","game9","game10"
"1",32577,23042,32978,32634,27487,15760,19428,23231,24965,39427
"2",29581,20205,18114,23263,23204,22530,26513,19648,27614,17574
"3",23654,27264,25800,29825,24657,28021,31514,20854,17292,25280
"4",23585,21742,22400,21103,29360,31911,30952,22422,32429,23323
"5",35547,28364,22283,20007,18000,18606,15617,31939,29992,23636
"6",26596,22739,39648,20227,24670,26500,28709,23964,11656,17418
"7",27152,24933,19356,24305,20110,26453,16449,27195,26490,25391
"8",25114,26544,21105,24284,28984,31605,25862,24293,19527,16374
"9",20217,32524,29632,23682,22451,22486,30981,23345,32536,28880
"10",32795,19760,25050,19714,28577,25718,23306,33735,26374,30979
"11",29691,20339,21304,25279,18217,28460,17315,34752,21995,35069
"12",22524,19166,25152,25164,14918,31322,18282,27013,27968,25828
"13",24287,26186,18587,20180,18317,34480,33986,26575,17602,24977
"14",34070,22145,29787,19155,29136,19264,17609,19258,19781,19535
"15",29447,25411,23057,18480,18904,20393,18281,22310,27830,17917
"16",33821,17131,24420,39218,30343,23486,19805,28495,24924,22750
"17",26907,22067,40951,35081,29677,29279,21742,30314,22908,18951
"18",36299,19426,23234,21310,19317,28593,15858,23762,21554,16659
"19",24577,22414,21446,30886,28194,24457,25938,20576,23791,31613
"20",24899,25970,37148,20777,30764,35742,18615,25105,22660,22055
"21",18725,19622,32616,28563,29653,34344,22807,29899,24636,21991
"22",30556,25221,18602,23569,33971,32032,16253,25570,30085,15253
"23",33451,21749,26671,23836,34456,16146,24132,18549,27439,38375
"24",15913,24629,24116,34249,19108,27979,35181,23435,20764,24032
"25",28007,18918,34688,25033,7570,18357,34285,19139,24390,25255
"26",15419,27945,27529,36243,31207,25490,24504,28636,19675,25632
"27",27117,28302,18194,33774,29212,40042,13659,21461,14712,22474
"28",26860,35215,22339,17808,23155,28726,26091,32910,23206,15110
"29",30708,18321,28701,28080,27216,35343,23763,17114,25380,23608
"30",28810,34807,14150,23716,25422,28298,20819,27343,27288,24925
"31",24253,33800,29043,36738,23385,17532,22625,25584,23569,22529
"32",15536,20216,18422,26849,27068,34237,23022,30690,22124,15910
"33",27607,21882,19992,20460,31537,34434,31044,23361,17141,26335
"34",31680,30024,26887,26333,19938,27662,25334,25407,23788,18051
"35",21443,29596,25233,25087,23882,33403,25110,26495,25895,19220
"36",24601,32721,27748,16287,25464,28359,24550,29696,23963,18692
"37",29376,26575,28261,31246,26185,15222,25726,15175,21813,30722
