Date,Competition,,VT,UB,BB,FX,AA
Aug 24-27,U.S. Championships,AA,14.55,11.8,13.2,13.6,53.15
Aug 24-27,U.S. Championships,QF,14.65,11.8,13.2,13.3,52.95
Aug 4-6,U.S. Classic,AA,14.65,11.1,14.3,14,54.05
Jul 9-12,July National Team Camp,AA,14.25,12.9,13,14,54.15
May 26-28,Pan American Championships,TF,13.8,0,13.733,14.067,0
May 26-28,Pan American Championships,AA,13.733,0,13.267,14.1,0
Apr 27-30,Cairo World Cup,EF,13.983*,0,13.233,13.7,0
Apr 27-30,Cairo World Cup,QF,14.016*,11.4,12.833,14.066,0
Mar 17-19,DTB Pokal Team Challenge,EF,14.083*,0,0,13.3,0
Mar 17-19,DTB Pokal Team Challenge,AA,14.2,13,12.5,14.15,53.85
Feb 23-26,Winter Cup,AA,14,10.85,13.3,13.55,51.7
