Rank,Athlete,Nation,D,E,ND,Total,Average
1,Marcia Videaux,Cuba,6,9,,15,15.112
1,Marcia Videaux,Cuba,,,,15.225,15.112
2,Alexa Moreno,Mexico,6,8.725,,14.725,14.9
2,Alexa Moreno,Mexico,,,,15.075,14.9
3,Makarena Pinto,Chile,5.3,9.1,,14.4,14.387
3,Makarena Pinto,Chile,,,,14.375,14.387
4,Franchesca Santi,Chile,5.8,9.1,,14.9,14.337
4,Franchesca Santi,Chile,,,,13.775,14.337
5,Marcela Torres,Sweden,5.2,9.025,-0.1,14.125,14.287
5,Marcela Torres,Sweden,,,,14.45,14.287
6,Teja Belak,Slovenia,5.3,9.1,,14.4,14.075
6,Teja Belak,Slovenia,,,,13.75,14.075
7,Yesenia Ferrera,Cuba,6.2,8.675,,14.875,7.437
7,Yesenia Ferrera,Cuba,,,,0,7.437
8,Paula Mejias,Puerto Rico,4,8.47,,12.375,6.187
8,Paula Mejias,Puerto Rico,,,,0,6.187
