Rank,Gymnast,fx,ph,sr,vt,pb,hb,Total
1,Daiki Hashimoto(JPN),14.833,15.166,13.533,14.7,15.3,14.933,88.465
2,Xiao Ruoteng(CHN),14.7,14.7,14.533,14.7,15.366,14.066,88.065
3,Nikita Nagornyy(ROC),14.433,14.266,14.666,14.9,15.4,14.366,88.031
4,Sun Wei(CHN),14.5,14.966,14.066,14.9,14.966,14.4,87.798
5,Takeru Kitazono(JPN),14.566,14.5,13.5,14.666,15.066,14.4,86.698
6,Artur Dalaloyan(ROC),14.05,13.9,14.666,14.466,15.033,14.133,86.248
7,Tang Chia-hung(TPE),14.366,13.333,14.1,14.433,13.8,14.766,84.798
8,James Hall(GBR),14.466,13.433,13.966,14.3,14.433,14,84.598
9,Joe Fraser(GBR),14.1,13.3,14.433,13.133,15.133,14.4,84.499
10,Brody Malone(USA),14.3,14.1,13.833,14.366,13.466,14.4,84.465
11,Illia Kovtun(UKR),14.133,14.266,13.133,13.833,14.666,13.766,83.797
12,Sam Mikulak(USA),12.933,13.566,13.533,14.533,14.966,13.633,83.164
13,Benjamin Gischard(SUI),14.3,13.666,13.433,14.3,13.7,13.333,82.732
14,Milad Karimi(KAZ),15.033,13.266,12.866,14.066,13.966,13.333,82.53
15,Adem Asil(TUR),14.3,13.166,13.7,15.133,12.6,13.6,82.499
16,Eddy Yusof(SUI),13.8,13.866,13.3,13.033,14.533,13.2,81.732
17,Caio Souza(BRA),12.933,12.133,14.5,14.2,14.5,13.266,81.532
18,Lukas Dauser(GER),13.533,13.566,13.325,13.433,15.4,12.033,81.29
19,Petro Pakhniuk(UKR),13.9,13.633,13.2,14.233,13.266,13.033,81.265
20,Diogo Soares(BRA),14.133,12.833,13.233,13.833,13.7,13.466,81.198
21,Lee Chih-kai(TPE),14.4,12.666,12.733,14.4,13.9,12.6,80.699
22,Lee Jun-ho(KOR),13.966,12.766,13.466,13.8,14.166,12.3,80.464
23,Philipp Herder(GER),13.133,12.1,12.833,13.666,14,12.833,78.565
WD,Ahmet Önder(TUR),–,12.9,13.866,14.333,–,–,DNF
