Part	Operator	Value
1	1	213.802
2	1	217.996
3	1	212.636
4	1	190.491
5	1	200.87
6	1	213.868
7	1	213.706
8	1	203.25
9	1	205.182
10	1	191.264
11	1	203.707
12	1	211.146
13	1	201.05
14	1	210.582
15	1	197.83
16	1	214.564
17	1	228.146
18	1	197.685
19	1	187.43
20	1	189.364
21	1	214.292
22	1	208.123
23	1	199.423
24	1	201.809
25	1	201.163
1	2	203.299
2	2	223.337
3	2	192.152
4	2	197.89
5	2	200.818
6	2	196.018
7	2	209.06
8	2	205.57
9	2	214.776
10	2	190.514
11	2	210.135
12	2	220.056
13	2	193.523
14	2	207.336
15	2	221.321
16	2	221.297
17	2	200.354
18	2	209.673
19	2	207.629
20	2	210.833
21	2	226.509
22	2	207.943
23	2	223.446
24	2	208.015
25	2	195.426
1	3	187.414
2	3	221.518
3	3	201.462
4	3	188.191
5	3	208.302
6	3	177.496
7	3	209.567
8	3	194.908
9	3	221.188
10	3	226.315
11	3	221.97
12	3	206.48
13	3	192.906
14	3	200.919
15	3	202.515
16	3	201.849
17	3	209.794
18	3	189.835
19	3	192.446
20	3	203.377
21	3	203.791
22	3	205.946
23	3	207.664
24	3	208.655
25	3	202.071
1	1	214.444
2	1	218.705
3	1	212.622
4	1	191.488
5	1	201.414
6	1	212.972
7	1	212.358
8	1	204.366
9	1	205.539
10	1	190.205
11	1	202.322
12	1	212.338
13	1	201.874
14	1	210.697
15	1	196.646
16	1	215.537
17	1	226.591
18	1	197.041
19	1	189.263
20	1	189.027
21	1	215.435
22	1	207.347
23	1	199.137
24	1	200.533
25	1	199.544
1	2	203.319
2	2	221.663
3	2	191.503
4	2	197.051
5	2	199.634
6	2	198.745
7	2	207.352
8	2	204.542
9	2	216.492
10	2	192.374
11	2	209.353
12	2	220.524
13	2	192.156
14	2	206.176
15	2	221.474
16	2	221.58
17	2	200.176
18	2	208.041
19	2	207.695
20	2	209.711
21	2	224.905
22	2	207.935
23	2	221.786
24	2	205.442
25	2	196.946
1	3	188.847
2	3	222.434
3	3	200.653
4	3	188.25
5	3	210.279
6	3	177.062
7	3	211.011
8	3	194.207
9	3	220.844
10	3	226.072
11	3	220.847
12	3	207.37
13	3	193.811
14	3	202.169
15	3	202.268
16	3	203.505
17	3	209.67
18	3	190.643
19	3	193.842
20	3	202.947
21	3	206.73
22	3	205.885
23	3	207.19
24	3	208.363
25	3	203.973
1	1	211.5
2	1	219.006
3	1	210.835
4	1	191.625
5	1	199.442
6	1	212.011
7	1	209.895
8	1	204.707
9	1	204.239
10	1	189.069
11	1	205.224
12	1	212.69
13	1	203.647
14	1	211.845
15	1	197.474
16	1	218.684
17	1	226.536
18	1	195.561
19	1	188.268
20	1	191.324
21	1	213.519
22	1	208.949
23	1	199.784
24	1	199.494
25	1	198.651
1	2	201.746
2	2	222.557
3	2	188.855
4	2	197.574
5	2	198.606
6	2	198.438
7	2	208.218
8	2	205.651
9	2	217.694
10	2	192.782
11	2	210.395
12	2	219.967
13	2	192.617
14	2	207.912
15	2	220.981
16	2	220.71
17	2	199.131
18	2	211.134
19	2	206.759
20	2	208.627
21	2	224.377
22	2	207.561
23	2	220.391
24	2	206.187
25	2	197.584
1	3	188.828
2	3	222.601
3	3	200.598
4	3	187.82
5	3	207.086
6	3	177.325
7	3	209.681
8	3	193.278
9	3	220.185
10	3	226.704
11	3	222.055
12	3	204.853
13	3	192.667
14	3	200.94
15	3	202.313
16	3	202.286
17	3	210.03
18	3	189.782
19	3	194.87
20	3	204.171
21	3	206.5
22	3	206.932
23	3	206.726
24	3	208.239
25	3	203.914
1	1	212.364
2	1	220.407
3	1	211.207
4	1	191.792
5	1	200.526
6	1	211.584
7	1	211.881
8	1	204.712
9	1	206.782
10	1	191.12
11	1	204.566
12	1	212.574
13	1	202.385
14	1	213.978
15	1	195.252
16	1	217.202
17	1	228.802
18	1	194.671
19	1	189.016
20	1	191.007
21	1	214.201
22	1	207.448
23	1	199.769
24	1	200.248
25	1	198.994
1	2	201.952
2	2	221.569
3	2	190.384
4	2	195.815
5	2	198.663
6	2	199.138
7	2	208.279
8	2	205.963
9	2	215.84
10	2	192.621
11	2	210.267
12	2	219.935
13	2	191.596
14	2	207.394
15	2	219.691
16	2	221.119
17	2	199.282
18	2	210.81
19	2	207.859
20	2	208.266
21	2	225.369
22	2	208.049
23	2	222.321
24	2	206.219
25	2	196.424
1	3	185.428
2	3	223.803
3	3	200.662
4	3	188.725
5	3	208.909
6	3	178.396
7	3	211.065
8	3	193.499
9	3	222.013
10	3	226.782
11	3	222.714
12	3	206.488
13	3	193.073
14	3	201.641
15	3	203.074
16	3	203.023
17	3	209.114
18	3	189.496
19	3	192.056
20	3	202.934
21	3	205.6
22	3	206.398
23	3	207.161
24	3	211.287
25	3	203.231
1	1	214.502
2	1	220.072
3	1	211.234
4	1	192.177
5	1	202.3
6	1	214.916
7	1	210.123
8	1	201.491
9	1	204.318
10	1	191.319
11	1	203.038
12	1	212.069
13	1	202.306
14	1	210.645
15	1	195.917
16	1	216.291
17	1	229.849
18	1	196.96
19	1	186.379
20	1	189.199
21	1	215.177
22	1	208.42
23	1	199.123
24	1	200.472
25	1	197.348
1	2	202.79
2	2	220.996
3	2	189.852
4	2	199.186
5	2	197.801
6	2	198.432
7	2	207.636
8	2	205.218
9	2	214.826
10	2	193.056
11	2	210.577
12	2	222.217
13	2	193.558
14	2	206.776
15	2	220.479
16	2	222.128
17	2	200.606
18	2	209.823
19	2	206.753
20	2	209.277
21	2	225.915
22	2	206.775
23	2	220.871
24	2	208.079
25	2	197.465
1	3	186.458
2	3	225.248
3	3	202.505
4	3	187.514
5	3	208.834
6	3	176.979
7	3	209.635
8	3	194.476
9	3	220.67
10	3	226.439
11	3	221.157
12	3	206.09
13	3	192.278
14	3	204.048
15	3	202.206
16	3	204.582
17	3	210.874
18	3	190.445
19	3	193.196
20	3	203.807
21	3	205.411
22	3	206.497
23	3	208.351
24	3	207.828
25	3	205.313
