Rank,D Score,E Score,Pen.,Total,year,Name,nation,round_AAfinal,round_TeamFinal,round_final,round_qual
44.0,4.4,7.8,0.0,12.2,2023,158,60,False,False,False,True
58.0,4.4,7.266,0.0,11.666,2023,159,60,False,False,False,True
21.0,5.1,6.166,0.0,11.266,2022,366,27,True,False,False,False
55.0,5.2,7.566,0.0,12.766,2022,366,27,False,False,False,True
105.0,5.0,5.5,0.0,10.5,2022,366,27,False,False,False,True
12.0,4.7,8.3,0.0,13.0,2023,366,27,True,False,False,False
28.0,5.0,8.233,0.0,13.233,2023,366,27,False,False,False,True
7.0,5.5,8.166,0.0,13.666,2022,531,43,True,False,False,False
15.0,5.5,8.466,0.0,13.966,2022,531,43,False,False,False,True
61.0,5.0,7.533,0.0,12.533,2022,531,43,False,False,False,True
5.0,5.5,8.333,0.0,13.833,2022,531,43,False,True,False,False
1.0,5.7,8.4,0.0,14.1,2023,531,43,True,False,False,False
6.0,5.7,8.466,0.0,14.166,2023,531,43,False,False,True,False
6.0,5.7,8.566,0.0,14.266,2023,531,43,False,False,False,True
15.0,6.4,7.033,0.0,13.433,2023,531,43,False,False,False,True
55.0,5.2,7.566,0.0,12.766,2022,0,24,False,False,False,True
9.0,5.6,8.5,0.0,14.1,2023,0,24,False,False,False,True
21.0,5.8,7.266,0.0,13.066,2023,0,24,False,False,False,True
37.0,4.9,8.266,0.0,13.166,2022,13,24,False,False,False,True
36.0,4.7,7.366,0.0,12.066,2023,13,24,False,False,False,True
89.0,3.8,7.7,0.0,11.5,2022,448,33,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2023,448,33,False,False,False,True
33.0,4.7,8.3,0.0,13.0,2023,448,33,False,False,False,True
35.0,4.5,7.766,0.0,12.266,2023,448,33,False,False,False,True
39.0,4.5,7.0,0.0,11.5,2023,387,37,False,False,False,True
2.0,6.3,8.566,0.0,14.866,2022,12,46,False,False,True,False
8.0,6.3,8.066,0.0,14.366,2022,12,46,False,False,False,True
26.0,5.1,7.7,0.0,12.8,2023,12,46,False,False,False,True
8.0,5.5,6.3,0.0,11.8,2023,12,46,False,False,True,False
6.0,5.9,8.7,0.0,14.6,2023,12,46,False,False,False,True
16.0,5.6,8.066,0.0,13.666,2023,12,46,False,False,False,True
9.0,4.1,7.7,0.0,11.8,2023,152,17,True,False,False,False
14.0,4.1,7.6,0.0,11.7,2023,152,17,False,False,False,True
36.0,3.0,6.1,0.0,9.1,2022,267,13,False,False,False,True
30.0,5.3,8.0,0.0,13.3,2022,357,24,False,False,False,True
24.0,5.3,7.4,0.0,12.7,2023,357,24,False,False,False,True
34.0,5.3,7.0,0.0,12.3,2023,357,24,False,False,False,True
41.0,2.2,3.9,4.0,2.1,2022,467,7,False,False,False,True
23.0,4.2,7.8,0.0,12.0,2022,359,54,False,False,False,True
38.0,4.7,8.133,0.0,12.833,2023,359,54,False,False,False,True
138.0,3.4,4.133,3.0,4.533,2022,133,48,False,False,False,True
21.0,4.5,6.5,0.0,11.0,2023,133,48,False,False,False,True
132.0,3.4,6.1,0.0,9.5,2022,526,11,False,False,False,True
79.0,4.6,7.3,0.0,11.9,2022,526,11,False,False,False,True
126.0,4.5,5.966,0.0,10.466,2023,526,11,False,False,False,True
100.0,3.5,7.366,0.0,10.866,2022,149,66,False,False,False,True
123.0,4.2,6.166,0.0,10.366,2022,238,14,False,False,False,True
100.0,3.6,8.166,0.0,11.766,2022,168,20,False,False,False,True
73.0,3.9,8.1,0.0,12.0,2022,168,20,False,False,False,True
38.0,4.3,8.266,0.0,12.566,2023,168,20,False,False,False,True
120.0,3.4,7.266,0.0,10.666,2023,168,20,False,False,False,True
12.0,3.9,8.65,0.0,12.55,2023,168,20,True,False,False,False
33.0,4.1,6.6,0.0,10.7,2022,168,20,False,False,False,True
22.0,3.8,6.85,0.0,10.65,2023,523,85,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2023,349,67,False,False,False,True
44.0,5.4,7.6,0.0,13.0,2022,146,81,False,False,False,True
5.0,5.8,8.466,0.0,14.266,2022,146,81,False,False,True,False
7.0,5.8,8.5,0.0,14.3,2022,146,81,False,False,False,True
3.0,5.9,8.366,0.0,14.266,2022,146,81,False,True,False,False
12.0,5.8,8.0,0.0,13.8,2023,146,81,False,False,False,True
4.0,5.8,8.133,0.0,13.933,2023,146,81,False,False,True,False
6.0,5.8,8.0,0.0,13.8,2023,146,81,False,False,False,True
16.0,5.8,8.033,0.0,13.833,2023,146,81,False,False,False,True
9.0,5.8,8.333,0.0,14.133,2023,146,81,False,False,False,True
21.0,5.3,8.266,0.0,13.566,2022,315,5,False,False,False,True
37.0,5.0,7.6,0.0,12.6,2023,315,5,False,False,False,True
48.0,5.0,7.933,0.0,12.933,2022,7,81,False,False,False,True
27.0,5.0,8.3,0.0,13.3,2022,7,81,False,False,False,True
23.0,5.0,7.033,0.0,12.033,2022,7,81,False,True,False,False
60.0,4.4,7.2,0.0,11.6,2023,7,81,False,False,False,True
9.0,5.0,8.166,0.0,13.166,2023,7,81,True,False,False,False
59.0,5.1,7.6,0.0,12.7,2023,7,81,False,False,False,True
22.0,5.1,7.8,0.0,12.9,2023,7,81,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2022,340,40,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2023,432,62,True,False,False,False
8.0,4.6,6.25,0.0,10.85,2023,432,62,False,False,True,False
9.0,4.6,7.75,0.0,12.35,2023,432,62,False,False,False,True
17.0,4.1,7.95,0.0,12.05,2023,226,30,False,False,False,True
71.0,3.7,7.3,0.0,11.0,2023,43,84,False,False,False,True
9.0,6.1,8.2,0.0,14.3,2022,2,84,False,False,False,True
2.0,6.1,8.4,0.0,14.5,2023,2,84,False,False,True,False
7.0,6.1,7.5,0.0,13.6,2023,2,84,False,False,False,True
1.0,6.2,8.666,0.0,14.866,2023,2,84,False,False,True,False
4.0,6.1,8.7,0.0,14.8,2023,2,84,False,False,False,True
12.0,5.8,8.2,0.0,14.0,2023,2,84,False,False,False,True
39.0,5.3,7.8,0.0,13.1,2022,199,48,False,False,False,True
8.0,5.3,8.233,0.0,13.533,2023,199,48,True,False,False,False
22.0,5.8,7.266,0.0,13.066,2023,199,48,False,False,False,True
18.0,6.0,7.166,0.0,13.166,2023,199,48,False,False,False,True
13.0,5.7,8.233,0.0,13.933,2023,199,48,False,False,False,True
6.0,6.0,8.1,0.0,14.1,2023,199,48,False,False,True,False
8.0,5.9,8.266,0.0,14.166,2023,199,48,False,False,False,True
11.0,5.0,7.0,0.0,12.0,2023,366,27,False,False,False,True
22.0,4.8,7.8,0.0,12.6,2023,133,88,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2022,223,83,False,False,False,True
21.0,4.0,8.15,0.0,12.15,2023,123,83,True,False,False,False
13.0,5.8,7.5,0.0,13.3,2023,146,81,False,False,False,True
4.0,5.8,7.4,0.0,13.2,2023,146,81,False,False,True,False
4.0,5.8,7.85,0.0,13.65,2023,146,81,False,False,False,True
