Rank,D Score,E Score,Pen.,Total,year,Name,nation,round_AAfinal,round_TeamFinal,round_final,round_qual
54.0,4.0,8.566,0.0,12.566,2023,154,59,False,False,False,True
13.0,5.5,8.3,0.0,13.8,2022,354,27,True,False,False,False
48.0,5.5,7.9,0.0,13.4,2022,354,27,False,False,False,True
86.0,5.4,7.133,0.1,12.433,2022,354,27,False,False,False,True
24.0,5.4,7.233,0.0,12.633,2023,354,27,True,False,False,False
94.0,4.6,8.0,0.1,12.5,2023,354,27,False,False,False,True
17.0,5.1,8.466,0.0,13.566,2022,513,43,True,False,False,False
34.0,5.1,8.566,0.0,13.666,2022,513,43,False,False,False,True
19.0,5.4,8.433,0.0,13.833,2022,513,43,False,False,False,True
11.0,5.5,8.266,0.0,13.766,2023,513,43,True,False,False,False
11.0,5.5,8.466,0.0,13.966,2023,513,43,False,False,False,True
11.0,5.5,8.033,0.0,13.533,2023,513,43,False,False,False,True
113.0,5.2,7.2,0.4,12.0,2022,0,24,False,False,False,True
116.0,5.4,7.433,0.9,11.933,2022,12,24,False,False,False,True
33.0,5.1,7.266,0.3,12.066,2023,12,24,False,False,False,True
38.0,5.2,6.333,0.0,0.4,2023,12,24,False,False,False,True
104.0,5.3,6.3,0.0,11.6,2022,433,33,False,False,False,True
27.0,4.9,7.866,0.0,12.766,2023,433,33,False,False,False,True
28.0,5.3,7.733,0.0,13.033,2023,433,33,False,False,False,True
33.0,5.2,6.533,0.0,11.733,2023,433,33,False,False,False,True
14.0,4.3,8.2,0.0,12.5,2023,148,17,True,False,False,False
19.0,4.3,8.0,0.0,12.3,2023,148,17,False,False,False,True
34.0,4.0,6.6,0.0,10.6,2022,259,12,False,False,False,True
65.0,5.1,8.0,0.0,13.1,2022,344,24,False,False,False,True
39.0,2.9,5.5,0.0,8.4,2022,347,61,False,False,False,True
38.0,3.5,5.9,0.3,9.1,2022,450,6,False,False,False,True
33.0,5.3,5.6,0.0,10.9,2022,349,53,False,False,False,True
129.0,5.7,5.4,0.5,10.6,2022,127,47,False,False,False,True
3.0,5.8,8.0,0.0,13.8,2023,127,47,False,False,True,False
8.0,5.7,7.3,0.0,13.0,2023,127,47,False,False,False,True
93.0,4.9,7.666,0.0,12.566,2022,510,10,False,False,False,True
102.0,5.1,6.733,0.2,11.633,2022,510,10,False,False,False,True
61.0,4.9,8.166,0.0,13.066,2023,510,10,False,False,False,True
51.0,5.1,8.333,0.3,13.133,2022,145,66,False,False,False,True
94.0,5.1,7.466,0.0,12.566,2022,231,14,False,False,False,True
120.0,4.8,7.266,0.4,11.666,2022,162,20,False,False,False,True
77.0,4.8,7.866,0.0,12.666,2022,162,20,False,False,False,True
71.0,4.5,7.466,0.4,11.566,2023,162,20,False,False,False,True
95.0,4.4,8.066,0.0,12.466,2023,162,20,False,False,False,True
12.0,4.8,7.45,0.0,12.25,2023,162,20,True,False,False,False
26.0,4.8,7.4,0.4,11.8,2022,162,20,False,False,False,True
11.0,5.1,7.7,0.0,12.8,2023,507,85,False,False,False,True
14.0,4.7,8.0,0.0,12.7,2023,339,67,False,False,False,True
14.0,5.2,9.1,0.1,14.2,2022,141,81,False,True,False,False
65.0,4.5,8.333,0.0,12.833,2022,308,4,False,False,False,True
17.0,5.8,8.333,0.0,14.133,2022,8,81,False,False,False,True
6.0,5.8,7.866,0.3,13.366,2022,8,81,False,False,True,False
7.0,5.8,8.466,0.0,14.266,2022,8,81,False,False,False,True
1.0,6.0,9.233,0.0,15.233,2022,8,81,False,True,False,False
20.0,5.8,7.833,0.1,13.533,2023,8,81,False,False,False,True
3.0,5.8,8.133,0.0,13.933,2023,8,81,True,False,False,False
16.0,5.8,8.066,0.1,13.766,2023,8,81,False,False,False,True
14.0,5.8,8.3,0.1,14.0,2023,8,81,False,False,False,True
4.0,5.8,8.2,0.1,13.9,2023,8,81,False,False,True,False
6.0,5.8,7.9,0.1,13.6,2023,8,81,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2022,332,40,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2023,415,62,True,False,False,False
33.0,5.1,5.15,0.6,9.65,2023,415,62,False,False,False,True
14.0,4.9,7.75,0.0,12.65,2023,219,30,False,False,False,True
28.0,5.0,8.266,0.0,13.266,2023,44,84,False,False,False,True
30.0,5.1,7.333,0.0,12.433,2023,44,84,False,False,False,True
61.0,4.9,8.266,0.0,13.166,2022,3,84,False,False,False,True
11.0,4.7,8.1,0.0,12.8,2023,3,84,False,False,False,True
50.0,5.8,7.866,0.3,13.366,2022,194,47,False,False,False,True
15.0,5.8,7.333,0.0,13.133,2023,194,47,True,False,False,False
37.0,5.8,7.366,0.1,13.066,2023,194,47,False,False,False,True
35.0,5.1,7.033,0.1,12.033,2023,194,47,False,False,False,True
16.0,5.8,7.666,0.4,13.066,2023,194,47,False,False,False,True
26.0,5.7,5.65,0.0,11.35,2023,127,88,False,False,False,True
0.0,0.0,0.0,0.0,0.0,2022,217,83,False,False,False,True
0.0,5.0,9.05,0.0,14.05,2023,217,83,False,False,False,True
0.0,5.0,8.95,0.0,13.95,2023,217,83,False,False,True,False
12.0,5.0,8.2,0.0,13.2,2023,217,83,True,False,False,False
0.0,5.1,8.4,0.0,13.5,2022,335,83,False,False,False,True
0.0,4.2,8.1,0.0,12.3,2022,335,83,False,False,True,False
18.0,5.1,7.6,0.0,12.7,2022,335,83,True,False,False,False
0.0,5.1,8.4,0.0,13.5,2023,335,83,False,False,False,True
0.0,5.1,8.6,0.0,13.7,2023,335,83,False,False,True,False
69.0,5.3,8.033,0.3,13.033,2022,209,3,False,False,False,True
24.0,5.8,6.4,0.1,12.1,2022,209,3,False,False,False,True
43.0,4.9,8.5,0.0,13.4,2023,94,21,False,False,False,True
4.0,4.6,8.75,0.0,13.35,2023,149,70,True,False,False,False
6.0,4.6,8.966,0.0,13.566,2022,149,70,False,False,True,False
8.0,4.6,8.7,0.0,13.3,2022,149,70,False,False,False,True
22.0,5.3,7.633,0.1,12.833,2022,277,37,True,False,False,False
63.0,5.3,7.866,0.0,13.166,2022,277,37,False,False,False,True
