Name,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Total_Score
Jana ABDELSALAM,w,EGY,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,100.0,4.8,6.2,0.0,11.0,11.0
Jana ABDELSALAM,w,EGY,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,109.0,4.4,7.466,0.1,11.766,11.766
Jana ABDELSALAM,w,EGY,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,52.0,4.8,8.0,0.0,12.8,12.8
Jana ABDELSALAM,w,EGY,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,110.0,4.2,8.433,0.3,12.333,12.332999999999998
Jana ABDELSALAM,w,EGY,2023-03-12,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",BB,22.0,4.8,6.733,0.0,11.533,11.533
Jana ABDELSALAM,w,EGY,2023-04-30,FIG Apparatus World Cup 2023,final,"Cairo, Egypt",BB,8.0,4.8,6.566,0.0,11.366,11.366
Jana ABDELSALAM,w,EGY,2023-04-30,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",BB,9.0,4.7,7.466,0.0,12.166,12.166
Jana ABDELSALAM,w,EGY,2023-03-04,FIG Apparatus World Cup 2023,final,"Doha, Qatar",BB,4.0,5.0,8.0,0.0,13.0,13.0
Jana ABDELSALAM,w,EGY,2023-03-04,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",BB,6.0,5.0,7.933,0.0,12.933,12.933
Jana ABDELSALAM,w,EGY,2023-03-12,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",FX,22.0,4.5,7.366,0.0,11.866,11.866
Jana ABDELSALAM,w,EGY,2023-04-30,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",UB,29.0,4.5,6.266,0.0,10.766,10.766
Jana ABDELSALAM,w,EGY,2023-03-04,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",UB,21.0,3.8,5.533,0.0,9.333,9.333
Ayesha ABDULLAHI,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,41.0,3.7,6.5,0.0,10.2,10.2
Ayesha ABDULLAHI,w,GBR,2022-03-27,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,45.0,3.5,6.7,0.0,10.2,10.2
Kumudi Imanya ABEYRATNE,w,SRI,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",BB,36.0,3.9,5.2,0.0,9.1,9.1
Kumudi Imanya ABEYRATNE,w,SRI,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",FX,39.0,2.9,4.45,0.0,7.35,7.35
Kumudi Imanya ABEYRATNE,w,SRI,2022-08-02,BIRMINGHAM 2022 Commonwealth Games,qual,"Birmingham, England",UB,39.0,1.2,4.3,0.0,5.5,5.5
Jana ABOELHASAN,w,EGY,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",BB,116.0,4.6,5.9,0.0,10.5,10.5
Jana ABOELHASAN,w,EGY,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",FX,74.0,4.4,7.866,0.0,12.266,12.266
Jana ABOELHASAN,w,EGY,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",UB,113.0,4.4,6.5,0.0,10.9,10.9
Jana ABOELHASAN,w,EGY,2022-11-06,2022 51st FIG Artistic Gymnastics World Championships,qual,"Liverpool, England",VT1,138.0,3.2,8.4,0.0,11.6,11.600000000000001
