Rank,D Score,E Score,Pen.,Total,year,Name,nation,round_aafinal,round_final,round_qual,round_teamfinal
100.0,4.8,6.2,0.0,11.0,2022,227,22,False,False,True,False
22.0,4.8,6.733,0.0,11.533,2023,227,22,False,False,True,False
8.0,4.8,6.566,0.0,11.366,2023,227,22,False,True,False,False
9.0,4.7,7.466,0.0,12.166,2023,227,22,False,False,True,False
4.0,5.0,8.0,0.0,13.0,2023,227,22,False,True,False,False
6.0,5.0,7.933,0.0,12.933,2023,227,22,False,False,True,False
41.0,3.7,6.5,0.0,10.2,2022,73,28,False,False,True,False
36.0,3.9,5.2,0.0,9.1,2022,290,68,False,False,True,False
116.0,4.6,5.9,0.0,10.5,2022,228,22,False,False,True,False
15.0,5.7,7.266,0.0,12.966,2022,425,28,False,False,True,False
4.0,5.1,7.7,0.0,12.8,2022,425,28,False,True,False,False
1.0,5.9,7.75,0.0,13.65,2022,425,28,False,False,True,False
2.0,5.5,7.9,0.0,13.4,2022,425,28,False,True,False,False
7.0,5.5,7.766,0.0,13.266,2022,425,28,False,False,True,False
4.0,5.7,8.0,0.0,13.7,2022,425,28,False,False,False,True
1.0,5.7,8.1,0.0,13.8,2023,425,28,False,True,False,False
2.0,5.5,8.3,0.0,13.8,2023,425,28,False,False,True,False
4.0,5.9,7.633,0.0,13.533,2023,425,28,False,True,False,False
4.0,5.7,7.666,0.0,13.366,2023,425,28,False,False,True,False
4.0,5.7,6.8,0.0,12.5,2023,425,23,True,False,False,False
4.0,5.7,7.6,0.0,13.3,2022,425,23,False,False,True,False
69.0,4.7,7.0,0.1,11.6,2022,509,40,False,False,True,False
35.0,4.7,7.533,0.0,12.233,2022,509,40,False,False,True,False
57.0,4.8,6.466,0.1,11.166,2023,509,40,False,False,True,False
54.0,4.3,5.4,0.0,9.7,2022,237,28,False,False,True,False
22.0,4.2,7.3,0.0,11.5,2023,375,28,False,False,True,False
26.0,4.9,5.433,0.1,10.233,2023,322,78,False,False,True,False
17.0,4.9,7.2,0.0,12.1,2023,322,78,False,False,True,False
117.0,4.7,3.533,0.0,8.233,2022,39,47,False,False,True,False
72.0,4.6,6.1,0.0,10.7,2023,39,47,False,False,True,False
3.0,6.0,7.533,0.0,13.533,2022,444,8,True,False,False,False
8.0,6.0,6.733,0.0,12.733,2022,444,8,False,True,False,False
8.0,5.8,7.6,0.0,13.4,2022,444,8,False,False,True,False
21.0,6.1,6.566,0.0,12.666,2022,44,42,False,False,True,False
25.0,4.4,6.933,0.0,11.333,2023,387,26,False,False,True,False
25.0,4.3,7.366,0.0,11.666,2023,391,26,False,False,True,False
26.0,4.2,7.066,0.0,11.266,2023,390,26,False,False,True,False
8.0,5.2,5.1,0.0,10.3,2022,481,28,False,True,False,False
5.0,5.2,7.3,0.0,12.5,2022,481,28,False,False,True,False
3.0,5.2,7.5,0.0,12.7,2023,481,64,True,False,False,False
16.0,5.3,6.65,0.0,11.95,2022,481,64,False,False,True,False
0.0,0.0,0.0,0.0,0.0,2022,134,78,False,False,True,False
30.0,4.3,5.833,0.0,10.133,2023,134,78,False,False,True,False
8.0,5.0,6.066,0.0,11.066,2023,134,78,False,True,False,False
7.0,5.2,7.766,0.0,12.966,2023,134,78,False,False,True,False
31.0,5.0,6.033,0.0,11.033,2023,134,78,False,False,True,False
9.0,4.2,7.35,0.0,11.55,2023,522,79,False,False,True,False
22.0,4.8,7.3,0.0,12.1,2023,497,18,False,False,True,False
11.0,4.6,8.066,0.0,12.666,2023,497,18,False,False,True,False
2.0,5.8,8.266,0.0,14.066,2023,520,44,False,True,False,False
4.0,5.5,7.633,0.0,13.133,2023,520,44,False,False,True,False
36.0,4.7,5.85,0.0,10.55,2022,31,28,False,False,True,False
25.0,4.4,6.033,0.0,10.433,2023,395,22,False,False,True,False
0.0,5.7,7.9,0.0,13.6,2022,118,77,False,False,True,False
0.0,5.7,8.25,0.0,13.95,2022,118,77,False,True,False,False
17.0,5.6,6.65,0.0,12.25,2022,118,77,True,False,False,False
12.0,4.5,6.9,0.1,11.3,2023,532,34,False,False,True,False
92.0,4.7,6.433,0.0,11.133,2022,508,17,False,False,True,False
52.0,4.5,7.266,0.0,11.766,2022,508,17,False,False,True,False
12.0,4.5,6.7,0.0,11.2,2023,508,17,True,False,False,False
30.0,4.0,6.2,0.1,10.1,2022,508,17,False,False,True,False
82.0,4.7,6.666,0.0,11.366,2022,123,35,False,False,True,False
77.0,4.6,6.533,0.0,11.133,2022,123,35,False,False,True,False
35.0,4.6,6.0,0.0,10.6,2022,460,28,False,False,True,False
31.0,4.2,6.4,0.0,10.6,2023,460,28,False,False,True,False
40.0,4.0,6.3,0.0,10.3,2022,482,28,False,False,True,False
19.0,5.1,6.55,0.0,11.65,2023,482,28,False,False,True,False
76.0,4.3,6.133,0.0,10.433,2023,5,70,False,False,True,False
10.0,5.6,7.133,0.0,12.733,2022,34,62,True,False,False,False
34.0,5.7,6.8,0.0,12.5,2022,34,62,False,False,True,False
8.0,5.3,6.566,0.3,11.566,2022,34,62,False,True,False,False
1.0,5.6,7.933,0.0,13.533,2022,34,62,False,False,True,False
8.0,5.8,7.133,0.0,12.933,2023,34,62,True,False,False,False
9.0,5.3,7.5,0.0,12.8,2023,34,62,False,False,True,False
0.0,0.0,0.0,0.0,0.0,2023,502,61,False,False,True,False
97.0,4.9,6.166,0.0,11.066,2022,10,45,False,False,True,False
9.0,5.1,7.6,0.0,12.7,2023,10,45,False,False,True,False
10.0,4.8,7.266,0.0,12.066,2023,10,45,False,False,True,False
10.0,4.8,7.9,0.0,12.7,2023,10,45,False,False,True,False
36.0,4.1,6.1,0.0,10.2,2023,153,28,False,False,True,False
95.0,4.2,5.533,0.0,9.733,2023,100,19,False,False,True,False
52.0,4.3,5.45,0.0,9.75,2022,544,28,False,False,True,False
33.0,4.4,6.0,0.0,10.4,2023,504,63,False,False,True,False
90.0,5.1,4.9,0.0,10.0,2023,310,69,False,False,True,False
57.0,4.3,7.333,0.0,11.633,2022,519,48,False,False,True,False
120.0,4.0,4.166,0.1,8.066,2023,519,48,False,False,True,False
4.0,5.8,7.633,0.0,13.433,2022,156,10,True,False,False,False
2.0,5.5,8.066,0.0,13.566,2022,156,10,False,True,False,False
9.0,5.5,7.766,0.0,13.266,2022,156,10,False,False,True,False
5.0,6.2,7.1,0.0,13.3,2022,493,77,False,True,False,False
2.0,6.0,7.733,0.0,13.733,2022,493,77,False,False,True,False
84.0,4.8,5.366,0.0,10.166,2023,311,4,False,False,True,False
138.0,4.4,5.2,0.0,9.6,2022,150,52,False,False,True,False
105.0,4.4,5.1,0.0,9.5,2022,150,52,False,False,True,False
101.0,4.4,5.033,0.0,9.433,2023,150,52,False,False,True,False
145.0,4.2,4.3,0.0,8.5,2022,179,0,False,False,True,False
4.0,5.5,7.8,0.0,13.3,2022,367,27,False,True,False,False
4.0,5.7,7.966,0.0,13.666,2022,367,27,False,False,True,False
12.0,5.5,7.5,0.0,13.0,2022,367,27,False,False,True,False
9.0,5.6,7.266,0.0,12.866,2022,367,27,False,False,False,True
17.0,5.5,6.866,0.0,12.366,2023,367,27,False,False,True,False
2.0,5.8,8.066,0.0,13.866,2023,367,27,False,True,False,False
2.0,5.6,8.033,0.0,13.633,2023,367,27,False,False,True,False
58.0,4.7,4.45,0.0,9.15,2022,223,28,False,False,True,False
19.0,5.2,6.533,0.0,11.733,2022,340,7,True,False,False,False
59.0,5.1,6.733,0.0,11.833,2022,340,7,False,False,True,False
3.0,5.6,7.8,0.0,13.4,2023,340,7,True,False,False,False
58.0,5.2,5.933,0.0,11.133,2023,340,7,False,False,True,False
2.0,5.3,7.833,0.0,13.133,2023,340,7,False,True,False,False
3.0,5.4,7.9,0.0,13.3,2023,340,7,False,False,True,False
18.0,4.7,6.85,0.1,11.45,2022,160,28,False,False,True,False
20.0,4.7,6.8,0.0,11.5,2022,160,64,False,False,True,False
66.0,4.0,2.75,0.0,6.75,2022,49,28,False,False,True,False
45.0,4.0,6.05,0.0,10.05,2022,373,28,False,False,True,False
23.0,4.7,6.5,0.0,11.2,2022,449,3,True,False,False,False
42.0,4.7,7.566,0.0,12.266,2022,449,3,False,False,True,False
13.0,4.8,7.8,0.0,12.6,2023,449,3,False,False,True,False
17.0,4.9,7.933,0.0,12.833,2022,282,32,False,False,True,False
6.0,5.5,7.6,0.0,13.1,2022,502,77,True,False,False,False
15.0,4.6,7.066,0.0,11.666,2023,388,4,False,False,True,False
0.0,6.4,8.05,0.0,14.45,2023,491,77,False,False,True,False
0.0,6.5,8.35,0.0,14.85,2023,491,77,False,True,False,False
25.0,5.6,4.866,0.0,10.466,2023,102,75,False,False,True,False
0.0,6.3,7.15,0.0,13.45,2022,493,77,False,False,True,False
0.0,5.8,7.15,0.0,12.95,2022,493,77,False,True,False,False
3.0,6.0,7.5,0.0,13.5,2022,493,77,True,False,False,False
0.0,6.1,7.95,0.0,14.05,2023,493,77,False,False,True,False
0.0,6.1,8.1,0.0,14.2,2023,493,77,False,True,False,False
1.0,5.9,7.6,0.1,13.4,2023,493,77,True,False,False,False
0.0,5.2,7.5,0.0,12.7,2022,104,77,False,False,True,False
0.0,5.1,7.25,0.0,12.35,2022,104,77,False,True,False,False
24.0,4.9,5.7,0.0,10.6,2022,104,77,True,False,False,False
0.0,4.8,7.7,0.0,12.5,2023,104,77,False,False,True,False
0.0,4.8,6.5,0.0,11.3,2023,104,77,False,True,False,False
12.0,4.9,7.15,0.0,12.05,2023,104,77,True,False,False,False
1.0,5.4,8.433,0.0,13.833,2023,367,27,False,False,True,False
1.0,5.4,8.167,0.0,13.567,2023,367,27,False,True,False,False
17.0,4.6,6.833,0.0,11.433,2023,55,3,False,False,True,False
32.0,4.1,6.433,0.1,10.433,2023,220,25,False,False,True,False
96.0,4.6,6.466,0.0,11.066,2022,432,51,False,False,True,False
1.0,5.0,7.75,0.1,12.65,2023,432,51,False,True,False,False
1.0,5.0,7.4,0.1,12.3,2023,432,51,False,False,True,False
35.0,4.1,3.3,0.0,7.4,2023,458,16,False,False,True,False
11.0,5.2,7.433,0.0,12.633,2022,224,77,True,False,False,False
11.0,5.4,7.733,0.0,13.133,2022,224,77,False,False,True,False
46.0,4.8,7.3,0.0,12.1,2022,82,1,False,False,True,False
24.0,5.0,2.6,0.1,7.5,2022,298,25,True,False,False,False
15.0,5.7,7.266,0.0,12.966,2022,298,25,False,False,True,False
56.0,5.2,6.533,0.0,11.733,2022,298,25,False,False,True,False
20.0,5.1,6.833,0.0,11.933,2022,298,25,False,False,False,True
15.0,5.5,6.8,0.0,12.3,2023,298,25,True,False,False,False
36.0,5.5,6.3,0.0,11.8,2023,298,25,False,False,True,False
14.0,5.1,7.533,0.1,12.533,2023,298,25,False,False,True,False
42.0,4.5,6.3,0.6,10.2,2022,105,28,False,False,True,False
44.0,5.1,6.366,0.0,11.466,2023,99,69,False,False,True,False
11.0,4.6,7.2,0.0,11.8,2022,421,28,False,False,True,False
132.0,4.5,5.533,0.0,10.033,2022,107,34,False,False,True,False
9.0,4.6,7.633,0.0,12.233,2023,107,34,False,False,True,False
20.0,4.6,7.033,0.0,11.633,2023,107,34,False,False,True,False
39.0,4.0,6.4,0.0,10.4,2023,107,34,False,False,True,False
12.0,4.6,7.766,0.0,12.366,2023,107,34,False,False,True,False
121.0,4.4,3.2,0.0,7.6,2023,190,17,False,False,True,False
33.0,4.2,4.65,0.0,8.85,2023,93,24,False,False,True,False
83.0,5.2,6.166,0.0,11.366,2022,245,77,False,False,True,False
19.0,4.2,7.466,0.0,11.666,2023,128,46,False,False,True,False
