Rank,D Score,E Score,Pen.,Total,year,Name,nation,round_AAfinal,round_TeamFinal,round_final,round_qual
54.0,4.4,8.066,0.0,12.466,2023,157,56,False,False,False,True
12.0,5.8,8.4,0.0,14.2,2022,356,26,True,False,False,False
26.0,5.8,8.5,0.0,14.3,2022,356,26,False,False,False,True
9.0,5.8,8.6,0.0,14.4,2022,356,26,False,False,False,True
10.0,5.8,8.266,0.0,14.066,2022,356,26,False,True,False,False
10.0,5.8,8.033,0.0,13.833,2023,356,26,True,False,False,False
23.0,5.8,8.1,0.0,13.9,2023,356,26,False,False,False,True
20.0,5.3,7.766,0.0,13.066,2022,509,41,True,False,False,False
52.0,5.3,8.4,0.0,13.7,2022,509,41,False,False,False,True
91.0,4.7,7.333,0.0,12.033,2022,509,41,False,False,False,True
8.0,5.3,8.7,0.0,14.0,2023,509,41,True,False,False,False
40.0,5.3,8.2,0.0,13.5,2023,509,41,False,False,False,True
122.0,4.3,8.1,0.0,12.4,2022,0,23,False,False,False,True
92.0,5.2,7.8,0.0,13.0,2022,12,23,False,False,False,True
12.0,5.2,8.266,0.0,13.466,2023,12,23,False,False,False,True
28.0,6.0,8.233,0.0,14.233,2022,405,79,False,False,False,True
1.0,5.5,8.733,0.0,14.23,2023,405,79,False,False,True,False
1.0,5.5,9.0,0.0,14.5,2023,405,79,False,False,False,True
7.0,5.9,8.366,0.0,14.266,2023,405,79,False,False,True,False
8.0,5.9,8.366,0.0,14.266,2023,405,79,False,False,False,True
56.0,6.0,7.166,0.0,13.166,2022,430,32,False,False,False,True
99.0,4.5,7.566,0.0,12.066,2023,430,32,False,False,False,True
21.0,5.2,7.7,0.0,12.9,2023,430,32,False,False,False,True
23.0,5.0,7.7,0.0,12.7,2023,430,32,False,False,False,True
18.0,5.7,7.166,0.0,12.866,2023,430,32,False,False,False,True
29.0,4.8,6.2,0.3,10.7,2023,374,36,False,False,False,True
9.0,4.5,8.4,0.0,12.9,2023,151,16,True,False,False,False
10.0,4.5,8.5,0.0,13.0,2023,151,16,False,False,False,True
35.0,3.5,7.65,0.0,11.15,2022,261,12,False,False,False,True
39.0,5.8,8.066,0.0,13.866,2022,349,23,False,False,False,True
4.0,6.0,8.533,0.0,14.533,2023,349,23,False,False,True,False
7.0,6.0,8.433,0.0,14.433,2023,349,23,False,False,False,True
2.0,6.0,8.066,0.0,14.066,2023,349,23,False,False,True,False
3.0,6.0,8.033,0.0,14.033,2023,349,23,False,False,False,True
15.0,5.8,7.333,0.0,13.133,2023,349,23,False,False,False,True
37.0,2.4,7.1,3.0,6.5,2022,450,6,False,False,False,True
91.0,4.7,8.3,0.0,13.0,2022,134,45,False,False,False,True
17.0,4.8,7.6,0.0,12.4,2023,134,45,False,False,False,True
105.0,5.9,6.8,0.0,12.7,2022,504,10,False,False,False,True
87.0,5.5,6.7,0.0,12.2,2022,504,10,False,False,False,True
24.0,5.7,8.133,0.0,13.833,2023,504,10,False,False,False,True
2.0,5.7,8.533,0.0,14.23,2023,504,10,False,False,True,False
3.0,5.7,8.7,0.0,14.4,2023,504,10,False,False,False,True
11.0,4.9,8.433,0.0,13.333,2023,13,0,False,False,False,True
106.0,3.3,6.933,0.0,10.233,2022,148,62,False,False,False,True
96.0,5.3,7.633,0.0,12.933,2022,231,13,False,False,False,True
82.0,3.7,8.8,0.0,12.5,2022,228,56,False,False,False,True
99.0,4.8,8.0,0.0,12.8,2022,166,19,False,False,False,True
36.0,5.1,8.566,0.0,13.666,2022,166,19,False,False,False,True
26.0,4.8,8.633,0.0,13.433,2023,166,19,False,False,False,True
64.0,4.8,8.166,0.0,12.966,2023,166,19,False,False,False,True
12.0,5.0,7.55,0.0,12.55,2023,166,19,True,False,False,False
32.0,4.9,7.15,0.0,12.05,2022,166,19,False,False,False,True
22.0,4.4,7.8,0.0,12.2,2023,502,80,False,False,False,True
24.0,3.8,8.2,0.0,12.0,2023,341,63,False,False,False,True
4.0,6.6,8.466,0.0,15.066,2022,145,76,False,False,True,False
5.0,6.6,8.6,0.0,15.2,2022,145,76,False,False,False,True
7.0,6.5,7.2,0.0,13.7,2022,145,76,False,False,True,False
5.0,6.5,8.2,0.0,14.7,2022,145,76,False,False,False,True
