mID,title,year,Doc,Com,Hor,Adv,Wes,Dra,Ani,War,Chi,Cri,Thr,Sci,Mys,Rom,Fil,Fan,Act,Mus
1,Toy Story,1995,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2,Jumanji,1995,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,Grumpier Old Men,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Waiting to Exhale,1995,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Father of the Bride Part II,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Heat,1995,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
7,Sabrina,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Tom and Huck,1995,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,Sudden Death,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,GoldenEye,1995,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
11,"American President, The",1995,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
12,Dracula: Dead and Loving It,1995,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Balto,1995,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
14,Nixon,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,Cutthroat Island,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
16,Casino,1995,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
17,Sense and Sensibility,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
18,Four Rooms,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,Ace Ventura: When Nature Calls,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Money Train,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,Get Shorty,1995,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
22,Copycat,1995,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
23,Assassins,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,Powder,1995,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
25,Leaving Las Vegas,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
26,Othello,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,Now and Then,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,Persuasion,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,"City of Lost Children, The",1995,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,Dangerous Minds,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,Twelve Monkeys,1995,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
33,Wings of Courage,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34,Babe,1995,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
35,Carrington,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
36,Dead Man Walking,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,Across the Sea of Time,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,It Takes Two,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Clueless,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,"Cry, the Beloved Country",1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,Richard III,1995,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
42,Dead Presidents,1995,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
43,Restoration,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,Mortal Kombat,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45,To Die For,1995,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,How to Make an American Quilt,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
47,Seven (Se7en),1995,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
48,Pocahontas,1995,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
49,When Night Is Falling,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
50,"Usual Suspects, The",1995,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
51,Guardian Angel,1994,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
52,Mighty Aphrodite,1995,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Lamerica,1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,"Big Green, The",1995,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
55,Georgia,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,Kids of the Round Table,1995,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
57,Home for the Holidays,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,"Postino, Il (The Postman)",1994,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
59,"Confessional, The (Le Confessionnal)",1995,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
60,"Indian in the Cupboard, The",1995,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
61,Eye for an Eye,1996,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
62,Mr. Holland's Opus,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Two if by Sea,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
