Rank,Athlete,Nation,D,E,ND,Total,year,round,medal
1,Epke Zonderland ,NED,7.7,8.525,0.0,16.225,2014,final,0
2,Kōhei Uchimura ,JPN,7.2,8.525,0.0,15.725,2014,final,0
3,Marijo Možnik ,CRO,6.7,8.3,0.0,15.0,2014,final,0
4,Nile Wilson ,GBR,6.2,8.566,0.0,14.766,2014,final,1
5,David Belyavskiy ,RUS,6.4,8.333,0.0,14.733,2014,final,0
6,Nikolai Kuksenkov ,RUS,6.9,7.633,0.0,14.533,2014,final,0
7,Zhang Chenglong ,CHN,7.4,6.966,0.0,14.366,2014,final,0
8,Jossimar Calvo ,COL,6.7,6.6,0.0,13.3,2014,final,0
1,Epke Zonderland ,NED,7.3,8.566,0.0,15.866,2014,final,0
2,Sam Oldham ,GBR,6.5,8.366,0.0,14.866,2014,final,0
3,Kristian Thomas ,GBR,6.5,8.308,0.0,14.808,2014,final,0
4,Oliver Hegi ,SUI,6.2,8.6,0.0,14.8,2014,final,0
5,Kristof Schroe ,BEL,6.3,8.466,0.0,14.766,2014,final,0
6,Hamilton Sabot ,FRA,6.2,8.3,0.0,14.5,2014,final,0
7,Maxim Semiankiv ,UKR,5.2,6.566,0.0,11.766,2014,final,0
8,Fabian Hambuechen ,GER,2.4,8.725,-6.0,5.125,2014,final,0
1,Kōhei Uchimura ,JPN,7.1,8.733,0.0,15.833,2015,final,0
2,Danell Leyva ,USA,7.3,8.4,0.0,15.7,2015,final,1
3,Manrique Larduet ,CUB,7.0,8.6,0.0,15.6,2015,final,0
4,Arthur Mariano ,BRA,6.5,8.666,0.0,15.166,2015,final,0
5,Andreas Bretschneider ,GER,7.2,7.766,0.0,14.966,2015,final,0
6,Chris Brooks ,USA,6.4,7.4,0.0,13.8,2015,final,0
7,Fabian Hambüchen ,GER,7.2,6.3,0.0,13.5,2015,final,1
8,Oliver Hegi ,SUI,6.0,7.5,0.0,13.5,2015,final,0
1,Marijo Možnik ,CRO,6.7,8.133,0.0,14.833,2015,final,0
2,Sam Oldham ,GBR,6.5,8.266,0.0,14.766,2015,final,0
3,Vlasios Maras ,GRE,6.6,8.066,0.0,14.666,2015,final,0
4,Aliaksandr Tsarevich ,BLR,6.7,7.933,0.0,14.633,2015,final,0
5,Alexander Shatilov ,ISR,6.5,8.066,0.0,14.566,2015,final,0
6,Kristian Thomas ,GBR,6.5,7.533,0.0,14.033,2015,final,0
7,Axel Augis ,FRA,6.3,7.466,0.0,13.766,2015,final,0
8,Pablo Brägger ,SUI,6.0,6.433,0.0,12.433,2015,final,0
9,Dzmitry Barkalau ,BLR,5.8,6.233,0.0,12.033,2015,final,0
