Rank,Athlete,Nation,D,E,ND,Total,year,round,medal
1,Denis Ablyazin ,RUS,7.1,8.65,0.0,15.75,2014,final,0
2,Kenzo Shirai ,JPN,7.4,8.433,0.1,15.733,2014,final,0
3,Diego Hypólito ,BRA,7.0,8.7,0.0,15.7,2014,final,1
4,Jacob Dalton ,USA,6.7,8.9,0.0,15.6,2014,final,0
5,Kim Han-sol ,KOR,6.5,9.0,0.0,15.5,2014,final,0
6,Ryohei Kato ,JPN,7.1,8.366,0.0,15.466,2014,final,0
7,Eleftherios Kosmidis ,GRE,6.6,8.55,0.1,15.05,2014,final,0
8,Rayderley Zapata ,ESP,6.6,7.3,0.0,13.9,2014,final,0
1,Denis Ablyazin ,RUS,7.1,8.6,0.0,15.7,2014,final,0
2,Eleftherios Kosmidis ,GRE,6.6,8.933,0.0,15.533,2014,final,0
3,Daniel Purvis ,GBR,6.5,8.9,0.0,15.4,2014,final,0
4,Alexander Shatilov ,ISR,6.5,8.9,0.0,15.4,2014,final,0
5,Max Whitlock ,GBR,6.7,8.733,-0.1,15.333,2014,final,1
6,Dzmitry Barkalau ,BLR,6.4,8.841,0.0,15.241,2014,final,0
7,Claudio Capelli ,SUI,6.4,8.5,0.0,14.9,2014,final,0
8,David Belyavskiy ,RUS,6.5,8.366,0.0,14.866,2014,final,0
1,Kenzo Shirai ,JPN,7.6,8.633,0.0,16.233,2015,final,0
2,Max Whitlock ,GBR,6.8,8.766,0.0,15.566,2015,final,1
3,Rayderley Zapata ,ESP,6.7,8.5,0.0,15.2,2015,final,0
4,Deng Shudi ,CHN,6.7,8.466,0.0,15.166,2015,final,0
5,Daniel Purvis ,GBR,6.5,8.6,0.0,15.1,2015,final,0
6,Kim Han-sol ,KOR,6.8,8.133,0.0,14.933,2015,final,0
7,Manrique Larduet ,CUB,6.8,8.0,0.0,14.8,2015,final,0
8,Tomás González ,CHI,6.8,8.033,-0.1,14.733,2015,final,0
1,Kristian Thomas ,GBR,6.2,8.966,0.0,15.166,2015,final,0
2,David Belyavskiy ,RUS,6.6,8.466,0.0,15.066,2015,final,0
3,Pablo Brägger ,SUI,6.5,8.541,0.1,14.941,2015,final,0
4,Alexander Shatilov ,ISR,6.5,8.433,0.0,14.933,2015,final,0
5,Rayderley Zapata ,ESP,6.7,8.3,0.1,14.9,2015,final,0
6,Bart Deurloo ,NED,6.5,8.366,0.0,14.866,2015,final,0
7,Tomislav Markovic ,CRO,6.3,7.433,0.0,13.733,2015,final,0
8,Andrej Korosteljev ,CRO,6.4,6.333,0.3,12.433,2015,final,0
