Country,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score,year,name
NOR,2023 FISU World University Games,qual,FX,54.0,4.0,8.566,0.0,12.566,2023,fredrik bjornevik aas
ESP,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,FX,13.0,5.5,8.3,0.0,13.8,2022,nestor abad
ESP,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,48.0,5.5,7.9,0.0,13.4,2022,nestor abad
ESP,2022 Senior European Championships,qual,FX,86.0,5.4,7.133,0.1,12.433,2022,nestor abad
ESP,2023 Senior European Championships,AAfinal,FX,24.0,5.4,7.233,0.0,12.633,2023,nestor abad
ESP,2023 Senior European Championships,qual,FX,94.0,4.6,8.0,0.1,12.5,2023,nestor abad
ITA,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,FX,17.0,5.1,8.466,0.0,13.566,2022,yumin abbadini
ITA,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,34.0,5.1,8.566,0.0,13.666,2022,yumin abbadini
ITA,2022 Senior European Championships,qual,FX,19.0,5.4,8.433,0.0,13.833,2022,yumin abbadini
ITA,2023 Baku World Cup,qual,FX,11.0,5.5,8.033,0.0,13.533,2023,yumin abbadini
ITA,2023 Senior European Championships,AAfinal,FX,11.0,5.5,8.266,0.0,13.766,2023,yumin abbadini
ITA,2023 Senior European Championships,qual,FX,11.0,5.5,8.466,0.0,13.966,2023,yumin abbadini
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,113.0,5.2,7.2,0.4,12.0,2022,abdelrahman abdelhaleem
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,116.0,5.4,7.433,0.9,11.933,2022,ahmed abdelrahman
EGY,2023 Baku World Cup,qual,FX,33.0,5.1,7.266,0.3,12.066,2023,ahmed abdelrahman
EGY,2023 Cairo World Cup,qual,FX,38.0,5.2,6.333,0.0,0.4,2023,ahmed abdelrahman
GEO,2022 Senior European Championships,qual,FX,104.0,5.3,6.3,0.0,11.6,2022,saba abesadze
GEO,2023 Baku World Cup,qual,FX,27.0,4.9,7.866,0.0,12.766,2023,saba abesadze
GEO,2023 Cottbus World Cup,qual,FX,28.0,5.3,7.733,0.0,13.033,2023,saba abesadze
GEO,2023 Doha World Cup,qual,FX,33.0,5.2,6.533,0.0,11.733,2023,saba abesadze
CRC,2023 Central American and Caribbean Games,AAfinal,FX,14.0,4.3,8.2,0.0,12.5,2023,francisco acuna
CRC,2023 Central American and Caribbean Games,qual,FX,19.0,4.3,8.0,0.0,12.3,2023,francisco acuna
CAY,BIRMINGHAM 2022 Commonwealth Games,qual,FX,34.0,4.0,6.6,0.0,10.6,2022,karthik adapa
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,65.0,5.1,8.0,0.0,13.1,2022,mohamed afify
PAK,BIRMINGHAM 2022 Commonwealth Games,qual,FX,39.0,2.9,5.5,0.0,8.4,2022,muhammad afzal
BAN,BIRMINGHAM 2022 Commonwealth Games,qual,FX,38.0,3.5,5.9,0.3,9.1,2022,shishir ahmed
MAS,BIRMINGHAM 2022 Commonwealth Games,qual,FX,33.0,5.3,5.6,0.0,10.9,2022,muhammad sharul aimy
KAZ,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,129.0,5.7,5.4,0.5,10.6,2022,emil akhmejanov
KAZ,2023 Varna World Challenge Cup,final,FX,3.0,5.8,8.0,0.0,13.8,2023,emil akhmejanov
KAZ,2023 Varna World Challenge Cup,qual,FX,8.0,5.7,7.3,0.0,13.0,2023,emil akhmejanov
BUL,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,93.0,4.9,7.666,0.0,12.566,2022,yordan aleksandrov
BUL,2022 Senior European Championships,qual,FX,102.0,5.1,6.733,0.2,11.633,2022,yordan aleksandrov
BUL,2023 Senior European Championships,qual,FX,61.0,4.9,8.166,0.0,13.066,2023,yordan aleksandrov
POR,2022 Senior European Championships,qual,FX,51.0,5.1,8.333,0.3,13.133,2022,filipe almeida
CHI,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,94.0,5.1,7.466,0.0,12.566,2022,joel alvarez
CYP,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,120.0,4.8,7.266,0.4,11.666,2022,georgios angonas
CYP,2022 Senior European Championships,qual,FX,77.0,4.8,7.866,0.0,12.666,2022,georgios angonas
CYP,2023 FISU World University Games,qual,FX,71.0,4.5,7.466,0.4,11.566,2023,georgios angonas
CYP,2023 Senior European Championships,qual,FX,95.0,4.4,8.066,0.0,12.466,2023,georgios angonas
CYP,BIRMINGHAM 2022 Commonwealth Games,AAfinal,FX,12.0,4.8,7.45,0.0,12.25,2022,georgios angonas
CYP,BIRMINGHAM 2022 Commonwealth Games,qual,FX,26.0,4.8,7.4,0.4,11.8,2022,georgios angonas
VEN,2023 Central American and Caribbean Games,qual,FX,11.0,5.1,7.7,0.0,12.8,2023,yefferson anton
PUR,2023 Central American and Caribbean Games,qual,FX,14.0,4.7,8.0,0.0,12.7,2023,miguel aquino iii
TUR,2022 Senior European Championships,TeamFinal,FX,14.0,5.2,9.1,0.1,14.2,2022,ferhat arican
AUT,2022 Senior European Championships,qual,FX,65.0,4.5,8.333,0.0,12.833,2022,manuel helmut arnold
TUR,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,17.0,5.8,8.333,0.0,14.133,2022,adem asil
TUR,2022 Senior European Championships,final,FX,6.0,5.8,7.866,0.3,13.366,2022,adem asil
TUR,2022 Senior European Championships,qual,FX,7.0,5.8,8.466,0.0,14.266,2022,adem asil
TUR,2022 Senior European Championships,TeamFinal,FX,1.0,6.0,9.233,0.0,15.233,2022,adem asil
TUR,2023 Doha World Cup,final,FX,4.0,5.8,8.2,0.1,13.9,2023,adem asil
TUR,2023 Doha World Cup,qual,FX,6.0,5.8,7.9,0.1,13.6,2023,adem asil
TUR,2023 FISU World University Games,qual,FX,20.0,5.8,7.833,0.1,13.533,2023,adem asil
TUR,2023 Senior European Championships,AAfinal,FX,3.0,5.8,8.133,0.0,13.933,2023,adem asil
TUR,2023 Senior European Championships,qual,FX,16.0,5.8,8.066,0.1,13.766,2023,adem asil
TUR,EnBW DTB Pokal Team Challenge 2023,qual,FX,14.0,5.8,8.3,0.1,14.0,2023,adem asil
PAN,2023 Central American and Caribbean Games,qual,FX,33.0,5.1,5.15,0.6,9.65,2023,richard atencio
GBR,2023 British Gymnastics Championships,qual,FX,14.0,4.9,7.75,0.0,12.65,2023,jaydon attygalle
UZB,2023 Baku World Cup,qual,FX,30.0,5.1,7.333,0.0,12.433,2023,asadbek azamov
UZB,2023 FISU World University Games,qual,FX,28.0,5.0,8.266,0.0,13.266,2023,asadbek azamov
UZB,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,61.0,4.9,8.266,0.0,13.166,2022,abdulla azimov
UZB,2023 Varna World Challenge Cup,qual,FX,11.0,4.7,8.1,0.0,12.8,2023,abdulla azimov
KAZ,2022 51st FIG Artistic Gymnastics World Championships,qual,FX,50.0,5.8,7.866,0.3,13.366,2022,ilyas azizov
KAZ,2023 Baku World Cup,qual,FX,35.0,5.1,7.033,0.1,12.033,2023,ilyas azizov
KAZ,2023 Cairo World Cup,qual,FX,16.0,5.8,7.666,0.4,13.066,2023,ilyas azizov
KAZ,2023 FISU World University Games,qual,FX,37.0,5.8,7.366,0.1,13.066,2023,ilyas azizov
KAZ,2023 FISU World University Games,AAfinal,FX,15.0,5.8,7.333,0.0,13.133,2023,ilyas azizov
EGY,2022 Cairo World Cup,qual,FX,9.0,5.4,7.966,0.1,13.266,2022,ahmed abdelrahman
GEO,2022 Baku World Cup,qual,FX,28.0,5.1,6.966,0.3,11.766,2022,saba abesadze
GEO,2022 Doha World Cup,qual,FX,21.0,5.4,7.033,0.0,12.433,2022,saba abesadze
none,2023 Osijek World Challenge Cup,qual,FX,26.0,5.7,5.65,0.0,11.35,2023,emil akhmejanov
USA,2023 Winter Cup,AAfinal,FX,12.0,5.0,8.2,0.0,13.2,2023,javier alfonso
USA,2022 Winter Cup,AAfinal,FX,18.0,5.1,7.6,0.0,12.7,2022,michael artlip
TUR,2022 Baku World Cup,final,FX,8.0,5.8,8.0,0.2,13.6,2022,adem asil
TUR,2022 Baku World Cup,qual,FX,8.0,5.8,7.966,0.1,13.666,2022,adem asil
