Name,Country,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Jana ABDELSALAM,EGY,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",BB,22.0,4.8,6.733,0.0,11.533
Jana ABDELSALAM,EGY,FIG Apparatus World Cup 2023,final,"Cairo, Egypt",BB,8.0,4.8,6.566,0.0,11.366
Jana ABDELSALAM,EGY,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",BB,9.0,4.7,7.466,0.0,12.166
Jana ABDELSALAM,EGY,FIG Apparatus World Cup 2023,final,"Doha, Qatar",BB,4.0,5.0,8.0,0.0,13.0
Jana ABDELSALAM,EGY,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",BB,6.0,5.0,7.933,0.0,12.933
Jana ABDELSALAM,EGY,FIG Apparatus World Cup 2023,qual,"Baku, Azerbaijan",FX,22.0,4.5,7.366,0.0,11.866
Jana ABDELSALAM,EGY,FIG Apparatus World Cup 2023,qual,"Cairo, Egypt",UB,29.0,4.5,6.266,0.0,10.766
Jana ABDELSALAM,EGY,FIG Apparatus World Cup 2023,qual,"Doha, Qatar",UB,21.0,3.8,5.533,0.0,9.333
Ayesha ABDULLAHI,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,41.0,3.7,6.5,0.0,10.2
Ayesha ABDULLAHI,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,45.0,3.5,6.7,0.0,10.2
Ondine ACHAMPONG,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",BB,4.0,5.1,7.7,0.0,12.8
Ondine ACHAMPONG,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",BB,1.0,5.9,7.75,0.0,13.65
Ondine ACHAMPONG,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",FX,12.0,5.2,7.6,0.3,12.5
Ondine ACHAMPONG,GBR,2022 British Gymnastics Championships,final,"Liverpool, England",UB,5.0,5.6,7.3,0.0,12.9
Ondine ACHAMPONG,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",UB,7.0,5.6,7.5,0.0,13.1
Ondine ACHAMPONG,GBR,2022 British Gymnastics Championships,qual,"Liverpool, England",VT,1.0,5.0,9.25,0.0,14.25
Ondine ACHAMPONG,GBR,2022 Senior European Championships,final,"Munich, Germany",BB,2.0,5.5,7.9,0.0,13.4
Ondine ACHAMPONG,GBR,2022 Senior European Championships,qual,"Munich, Germany",BB,7.0,5.5,7.766,0.0,13.266
Ondine ACHAMPONG,GBR,2022 Senior European Championships,TeamFinal,"Munich, Germany",BB,4.0,5.7,8.0,0.0,13.7
Ondine ACHAMPONG,GBR,2022 Senior European Championships,qual,"Munich, Germany",FX,25.0,5.3,7.566,0.2,12.666
Ondine ACHAMPONG,GBR,2022 Senior European Championships,qual,"Munich, Germany",UB,43.0,5.8,6.433,0.0,12.233
Ondine ACHAMPONG,GBR,2022 Senior European Championships,TeamFinal,"Munich, Germany",UB,24.0,5.6,6.833,0.0,12.433
Ondine ACHAMPONG,GBR,2022 Senior European Championships,qual,"Munich, Germany",VT,4.0,5.0,8.933,0.0,13.933
Ondine ACHAMPONG,GBR,2022 Senior European Championships,TeamFinal,"Munich, Germany",VT,7.0,5.0,8.9,0.0,13.9
Ondine ACHAMPONG,GBR,2023 British Gymnastics Championships,final,"Liverpool, England",BB,1.0,5.7,8.1,0.0,13.8
Ondine ACHAMPONG,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",BB,2.0,5.5,8.3,0.0,13.8
Ondine ACHAMPONG,GBR,2023 British Gymnastics Championships,final,"Liverpool, England",FX,8.0,5.2,6.75,0.0,11.95
Ondine ACHAMPONG,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",FX,4.0,5.3,7.9,0.0,13.2
Ondine ACHAMPONG,GBR,2023 British Gymnastics Championships,final,"Liverpool, England",UB,5.0,5.8,8.3,0.0,14.1
Ondine ACHAMPONG,GBR,2023 British Gymnastics Championships,qual,"Liverpool, England",UB,2.0,5.7,8.0,0.0,13.7
Ondine ACHAMPONG,GBR,2023 Senior European Championships,final,"Antalya, Turkey",BB,4.0,5.9,7.633,0.0,13.533
Ondine ACHAMPONG,GBR,2023 Senior European Championships,qual,"Antalya, Turkey",BB,4.0,5.7,7.666,0.0,13.366
Ondine ACHAMPONG,GBR,2023 Senior European Championships,qual,"Antalya, Turkey",FX,8.0,5.3,7.866,0.0,13.166
Ondine ACHAMPONG,GBR,2023 Senior European Championships,qual,"Antalya, Turkey",VT,6.0,5.0,8.966,0.0,13.966
Thelma ADALSTEINSDOTTIR,ISL,2022 Senior European Championships,qual,"Munich, Germany",BB,35.0,4.7,7.533,0.0,12.233
Thelma ADALSTEINSDOTTIR,ISL,2022 Senior European Championships,qual,"Munich, Germany",FX,91.0,3.6,7.533,0.0,11.133
Thelma ADALSTEINSDOTTIR,ISL,2022 Senior European Championships,qual,"Munich, Germany",UB,57.0,4.1,7.633,0.0,11.733
Thelma ADALSTEINSDOTTIR,ISL,2022 Senior European Championships,qual,"Munich, Germany",VT,69.0,3.8,8.533,0.0,12.333
Thelma ADALSTEINSDOTTIR,ISL,2023 Senior European Championships,qual,"Antalya, Turkey",BB,57.0,4.8,6.466,0.1,11.166
