Country,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score,year,name
NOR,2023 FISU World University Games,qual,SR,73.0,3.5,8.366,0.0,11.866,2023,fredrik bjornevik aas
ESP,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,SR,12.0,5.3,7.933,0.0,13.233,2022,nestor abad
ESP,2022 51st FIG Artistic Gymnastics World Championships,qual,SR,90.0,4.9,7.666,0.0,12.566,2022,nestor abad
ESP,2022 Senior European Championships,qual,SR,23.0,5.3,8.366,0.0,13.666,2022,nestor abad
ESP,2022 Senior European Championships,TeamFinal,SR,6.0,5.3,8.333,0.0,13.633,2022,nestor abad
ESP,2023 Senior European Championships,qual,SR,17.0,5.3,8.466,0.0,13.766,2023,nestor abad
ESP,2023 Senior European Championships,AAfinal,SR,4.0,5.3,8.366,0.0,13.666,2023,nestor abad
ITA,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,SR,13.0,4.7,8.466,0.0,13.166,2022,yumin abbadini
ITA,2022 51st FIG Artistic Gymnastics World Championships,qual,SR,60.0,4.7,8.3,0.0,13.0,2022,yumin abbadini
ITA,2022 Senior European Championships,TeamFinal,SR,13.0,5.0,8.366,0.0,13.366,2022,yumin abbadini
ITA,2023 Senior European Championships,qual,SR,26.0,4.7,8.8,0.0,13.5,2023,yumin abbadini
ITA,2023 Senior European Championships,AAfinal,SR,10.0,4.7,8.566,0.0,13.266,2023,yumin abbadini
MAS,2023 Cottbus World Cup,qual,SR,46.0,4.8,5.133,0.0,9.933,2023,ally hamuda abdullah
UZB,2023 Varna World Challenge Cup,qual,SR,16.0,4.1,8.4,0.0,12.5,2023,rasuljon abdurakhimov
GEO,2022 Senior European Championships,qual,SR,55.0,4.7,8.333,0.0,13.033,2022,saba abesadze
CRC,2023 Central American and Caribbean Games,AAfinal,SR,10.0,4.0,7.8,0.0,11.8,2023,francisco acuna
CRC,2023 Central American and Caribbean Games,qual,SR,20.0,4.0,7.7,0.0,11.7,2023,francisco acuna
CAY,BIRMINGHAM 2022 Commonwealth Games,qual,SR,33.0,3.2,7.1,0.3,10.0,2022,karthik adapa
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,SR,62.0,4.9,8.066,0.0,12.966,2022,mohamed afify
EGY,2023 Baku World Cup,qual,SR,26.0,4.9,7.9,0.0,12.8,2023,mohamed afify
PAK,BIRMINGHAM 2022 Commonwealth Games,qual,SR,35.0,2.7,5.85,4.3,4.25,2022,muhammad afzal
IRI,2023 Baku World Cup,final,SR,2.0,6.0,8.5,0.0,14.5,2023,mahdi ahmad kohani
IRI,2023 Baku World Cup,qual,SR,2.0,6.0,8.5,0.0,14.5,2023,mahdi ahmad kohani
IRI,2023 Cottbus World Cup,final,SR,2.0,6.0,8.766,0.0,14.766,2023,mahdi ahmad kohani
IRI,2023 Cottbus World Cup,qual,SR,2.0,6.0,8.666,0.0,14.666,2023,mahdi ahmad kohani
IRI,2023 Doha World Cup,final,SR,6.0,6.0,8.6,0.0,14.6,2023,mahdi ahmad kohani
IRI,2023 Doha World Cup,qual,SR,5.0,6.0,8.666,0.0,14.666,2023,mahdi ahmad kohani
IRI,2023 FISU World University Games,final,SR,8.0,6.0,7.766,0.0,13.76,2023,mahdi ahmad kohani
