Name,Country,Gender,Date,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Simone BILES,USA,w,2021-07-25,qual,BB,7.0,6.5,7.566,0.0,14.066
Simone BILES,USA,w,2021-07-25,qual,BB,7.0,6.5,7.566,0.0,14.066
Simone BILES,USA,w,2021-08-01,final,BB,3.0,6.1,7.9,0.0,14.0
Simone BILES,USA,w,2021-07-25,qual,FX,2.0,6.7,7.733,0.3,14.133
Simone BILES,USA,w,2021-07-25,qual,FX,2.0,6.7,7.733,0.3,14.133
Simone BILES,USA,w,2021-07-25,qual,UE,10.0,6.2,8.366,0.0,14.566
Simone BILES,USA,w,2021-07-25,qual,UE,10.0,6.2,8.366,0.0,14.566
Simone BILES,USA,w,2021-07-25,qual,VT,4.0,6.0,9.266,0.3,14.966
Simone BILES,USA,w,2021-07-25,qual,VT1,1.0,6.0,9.266,0.3,14.966
Simone BILES,USA,w,2021-07-25,qual,VT2,1.0,5.8,9.6,0.3,15.4
Mc Grace CALLUM,USA,w,2021-07-25,qual,BB,32.0,5.2,7.866,0.0,13.066
Mc Grace CALLUM,USA,w,2021-07-25,qual,FX,16.0,5.6,7.966,0.1,13.466
Mc Grace CALLUM,USA,w,2021-07-25,qual,UE,22.0,5.8,8.3,0.0,14.1
Jade CAREY,USA,w,2021-07-29,final,BB,23.0,5.1,6.433,0.0,11.533
Jade CAREY,USA,w,2021-07-25,qual,BB,41.0,5.4,7.466,0.0,12.866
Jade CAREY,USA,w,2021-07-25,qual,BB,41.0,5.4,7.466,0.0,12.866
Jade CAREY,USA,w,2021-07-29,final,FX,3.0,6.3,7.766,0.1,13.966
Jade CAREY,USA,w,2021-07-25,qual,FX,3.0,6.2,7.9,0.0,14.1
Jade CAREY,USA,w,2021-07-25,qual,FX,3.0,6.2,7.9,0.3,14.1
Jade CAREY,USA,w,2021-08-01,final,FX,1.0,6.3,8.066,0.0,14.36
Jade CAREY,USA,w,2021-07-29,final,UE,15.0,5.5,8.0,0.0,13.5
