Name,Country,Competition,Location,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score
Jana ABDELSALAM,EGY,World Cup,"Doha, Qatar",final,BB,4.0,5.0,8.0,0.0,13.0
Jana ABDELSALAM,EGY,World Cup,"Doha, Qatar",qual,BB,6.0,5.0,7.933,0.0,12.933
Jana ABDELSALAM,EGY,World Cup,"Doha, Qatar",qual,UB,21.0,3.8,5.533,0.0,9.333
Ayesha ABDULLAHI,BRN,2022 British Gymnastics Championships,"Liverpool, England",qual,BB,41.0,3.7,6.5,0.0,10.2
Ayesha ABDULLAHI,BRN,2022 British Gymnastics Championships,"Liverpool, England",qual,UB,45.0,3.5,6.7,0.0,10.2
Ondine ACHAMPONG,BRN,2022 British Gymnastics Championships,"Liverpool, England",final,BB,4.0,5.1,7.7,0.0,12.8
Ondine ACHAMPONG,BRN,2022 British Gymnastics Championships,"Liverpool, England",qual,BB,1.0,5.9,7.75,0.0,13.65
Ondine ACHAMPONG,BRN,2022 British Gymnastics Championships,"Liverpool, England",qual,FX,12.0,5.2,7.6,0.3,12.5
Ondine ACHAMPONG,BRN,2022 British Gymnastics Championships,"Liverpool, England",final,UB,5.0,5.6,7.3,0.0,12.9
Ondine ACHAMPONG,BRN,2022 British Gymnastics Championships,"Liverpool, England",qual,UB,7.0,5.6,7.5,0.0,13.1
Ondine ACHAMPONG,BRN,2022 British Gymnastics Championships,"Liverpool, England",qual,VT,1.0,5.0,9.25,0.0,14.25
Ondine ACHAMPONG,GBR,2022 Senior European Championships,"Munich, Germany",final,BB,2.0,5.5,7.9,0.0,13.4
Ondine ACHAMPONG,GBR,2022 Senior European Championships,"Munich, Germany",qual,BB,7.0,5.5,7.766,0.0,13.266
Ondine ACHAMPONG,GBR,2022 Senior European Championships,"Munich, Germany",TeamFinal,BB,4.0,5.7,8.0,0.0,13.7
Ondine ACHAMPONG,GBR,2022 Senior European Championships,"Munich, Germany",qual,FX,25.0,5.3,7.566,0.2,12.666
Ondine ACHAMPONG,GBR,2022 Senior European Championships,"Munich, Germany",qual,UB,43.0,5.8,6.433,0.0,12.233
Ondine ACHAMPONG,GBR,2022 Senior European Championships,"Munich, Germany",TeamFinal,UB,24.0,5.6,6.833,0.0,12.433
Ondine ACHAMPONG,GBR,2022 Senior European Championships,"Munich, Germany",qual,VT,4.0,5.0,8.933,0.0,13.933
Ondine ACHAMPONG,GBR,2022 Senior European Championships,"Munich, Germany",TeamFinal,VT,7.0,5.0,8.9,0.0,13.9
Ondine ACHAMPONG,GBR,2023 10th Senior European Championships,"Antalya, Turkey",final,BB,4.0,5.9,7.633,0.0,13.533
Ondine ACHAMPONG,GBR,2023 10th Senior European Championships,"Antalya, Turkey",qual,BB,4.0,5.7,7.666,0.0,13.366
Ondine ACHAMPONG,GBR,2023 10th Senior European Championships,"Antalya, Turkey",qual,FX,8.0,5.3,7.866,0.0,13.166
Ondine ACHAMPONG,GBR,2023 10th Senior European Championships,"Antalya, Turkey",qual,VT,6.0,5.0,8.966,0.0,13.966
