Country,Competition,Round,Apparatus,Rank,D_Score,E_Score,Penalty,Score,year,name
NOR,2023 FISU World University Games,qual,VT1,69.0,4.0,8.966,0.0,12.966,2023,fredrik bjornevik aas
ESP,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,VT,20.0,4.8,9.033,0.1,13.733,2022,nestor abad
ESP,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,97.0,4.8,9.0,0.3,13.5,2022,nestor abad
ESP,2022 Senior European Championships,qual,VT1,36.0,5.2,9.2,0.3,14.1,2022,nestor abad
ESP,2023 Senior European Championships,AAfinal,VT1,22.0,5.2,7.9,0.1,13.0,2023,nestor abad
ESP,2023 Senior European Championships,qual,VT1,69.0,4.8,9.0,0.1,13.7,2023,nestor abad
ITA,2022 51st FIG Artistic Gymnastics World Championships,AAfinal,VT,18.0,4.8,9.066,0.0,13.866,2022,yumin abbadini
ITA,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,84.0,4.8,8.9,0.1,13.6,2022,yumin abbadini
ITA,2023 Senior European Championships,AAfinal,VT1,18.0,4.8,8.866,0.1,13.566,2023,yumin abbadini
ITA,2023 Senior European Championships,qual,VT1,64.0,4.8,8.933,0.0,13.733,2023,yumin abbadini
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,50.0,5.2,8.766,0.0,13.966,2022,ahmed abdelrahman
EGY,2023 Cairo World Cup,qual,VT1,17.0,5.6,7.833,0.0,13.433,2023,ahmed abdelrahman
EGY,2023 Cairo World Cup,qual,VT2,17.0,5.2,7.9,0.0,13.1,2023,ahmed abdelrahman
GEO,2022 Senior European Championships,qual,VT1,96.0,5.2,7.966,0.3,12.866,2022,saba abesadze
CRC,2023 Central American and Caribbean Games,AAfinal,VT1,14.0,4.0,9.0,0.0,13.0,2023,francisco acuna
CRC,2023 Central American and Caribbean Games,qual,VT1,22.0,4.0,8.9,0.0,12.9,2023,francisco acuna
EGY,2022 51st FIG Artistic Gymnastics World Championships,qual,VT1,79.0,4.8,8.966,0.1,13.666,2022,mohamed afify
PAK,BIRMINGHAM 2022 Commonwealth Games,qual,VT2,18.0,2.4,7.8,0.0,10.2,2022,muhammad afzal
